 	il	attache	le	cabri	a	l'	arbre	</S>
w	0.906724	0.0191532	0.0320787	0.0304162	0.00334338	0.00560746	0.00260113	7.60577e-05
a	0.92273	0.00745544	0.0443632	0.013714	0.00218783	0.00702153	0.0025064	2.15542e-05
á	0.461035	0.343616	0.143802	0.006377	0.0152922	0.0184914	0.0018227	0.00956375
m	0.1174	0.569837	0.190703	0.0226086	0.0302123	0.0396277	0.00531875	0.0242918
i	0.0107803	0.413435	0.474572	0.0507803	0.0168917	0.00951032	0.00265559	0.0213747
k	0.00867415	0.6371	0.323069	0.00941555	0.00450174	0.00222608	0.000617975	0.0143954
a	0.00308558	0.663071	0.30728	0.000412692	0.00284536	0.00150382	0.000979193	0.0208219
n	0.00184085	0.658327	0.326046	0.000683073	0.00162613	0.00123456	0.000666358	0.00957569
g	0.00816181	0.489203	0.483797	0.000713426	0.00547567	0.00267083	0.00143825	0.00853977
á	0.141612	0.319339	0.323403	0.00536601	0.0154854	0.00383563	0.0023269	0.188633
m	0.0337608	0.045793	0.667848	0.105003	0.0733619	0.051954	0.0167823	0.00549648
b	0.000379982	0.00162123	0.0300421	0.947487	0.00715817	0.00180107	0.00450959	0.00700077
ó	1.42663e-05	0.000649607	0.00682815	0.984734	0.000831953	0.00025641	0.00526377	0.00142209
s	6.70084e-05	0.00123102	0.00120373	0.996494	0.000231363	4.99029e-05	0.000338401	0.000384922
i	0.0100689	0.0699146	0.23322	0.490492	0.0649491	0.0113365	0.0122873	0.107732
m	0.0603671	0.193091	0.193752	0.0698486	0.320607	0.0949664	0.0364276	0.0309391
ó	0.00898549	0.0141721	0.185201	0.0677072	0.181464	0.271574	0.0571251	0.213771
i	0.00819924	0.0165616	0.100381	0.019207	0.396485	0.231405	0.155105	0.0726566
b	0.00253213	0.0315604	0.0532183	0.00483138	0.0887833	0.127683	0.642006	0.049385
v	0.00165194	0.0111732	0.0398689	0.0342371	0.0197176	0.0562305	0.817686	0.0194352
ú	0.000127893	0.00273899	0.00410852	0.0155711	0.00717177	0.0144572	0.941205	0.0146192
a	0.000420497	0.00395488	0.0143256	0.00323972	0.0295182	0.160469	0.641889	0.146184
</S>	8.1765e-05	0.00605499	0.0102868	0.00017924	0.0660696	0.33695	0.219705	0.360672
