 	notre	maman	est	assise	sur	le	tabouret	</S>
n	0.69061	0.189877	0.084017	0.00933759	0.013071	0.0104878	0.00230235	0.000298128
g	0.260045	0.738798	0.000672565	8.41296e-05	0.000134028	0.000252523	7.55857e-06	5.89544e-06
ó	0.0253991	0.973481	0.000732358	0.00010378	0.000140099	9.05549e-05	4.63381e-05	7.23685e-06
o	0.0766767	0.913352	0.00736084	0.00100051	0.00056153	0.000688424	0.000117452	0.000242455
y	0.615038	0.172135	0.180576	0.0109135	0.00914081	0.00344822	0.00300451	0.00574333
a	0.954696	0.0291894	0.00892977	0.00371885	0.00136555	0.000506244	0.000783358	0.000810853
b	0.994275	0.00225501	0.00223607	0.00043507	9.78334e-05	0.000152833	9.65424e-05	0.000451947
í	0.861557	0.0232255	0.0476203	0.0194102	0.0112905	0.00820164	0.0184271	0.0102677
s	0.952954	0.0133854	0.0208202	0.00308127	0.00100133	0.00191782	0.00458199	0.00225821
í	0.739917	0.12998	0.02868	0.00524665	0.0110931	0.0093772	0.00690525	0.0688007
a	0.0315148	0.0187401	0.709738	0.187361	0.0268608	0.00775081	0.00563384	0.012401
d	0.00456538	0.01121	0.653865	0.176854	0.0828831	0.011302	0.00400287	0.0553178
í	0.015484	0.00323623	0.221802	0.476476	0.131829	0.0129743	0.00193869	0.13626
d	0.0259305	0.000425237	0.173917	0.227617	0.309997	0.0545537	0.011611	0.195948
z	0.00333194	0.00095462	0.0356818	0.861079	0.0843669	0.00550857	0.00392515	0.00515215
a	0.00536959	0.000860811	0.00643524	0.966411	0.0179728	0.00122358	0.00113647	0.000590433
a	0.00457297	0.000137323	0.0103857	0.898287	0.0653809	0.00617076	0.00866485	0.00640031
m	0.00124911	0.000282649	0.0273504	0.0561861	0.600951	0.207767	0.0568732	0.0493403
ó	0.000806991	0.000243637	0.0213953	0.404297	0.171873	0.0823098	0.112635	0.206439
m	0.000427253	0.000824064	0.0147971	0.086902	0.211306	0.0937919	0.532721	0.0592298
b	4.13608e-05	0.000535075	0.0101751	0.0972294	0.10831	0.110923	0.61692	0.0558658
á	1.48265e-05	4.76978e-05	0.00160344	0.00878752	0.0485902	0.0738432	0.835077	0.0320363
r	0.000440215	0.000109176	0.00123164	0.0130692	0.0199079	0.0960328	0.760301	0.108908
á	0.00174668	0.000494772	0.0145908	0.0315304	0.141972	0.413866	0.21462	0.181179
</S>	0.00591065	0.000320297	0.00732404	0.0064613	0.0499517	0.261679	0.122629	0.545724
