 	viens	me	coudre	les	manches	de	la	chemise	</S>
y	0.983497	0.0104443	0.00171685	0.00367249	8.20871e-05	0.000143207	0.000355492	8.35087e-05	5.09228e-06
a	0.980008	0.0101859	0.00782969	0.000930437	1.93289e-05	0.000342754	0.000500663	8.27119e-05	0.000100865
á	0.363193	0.398642	0.116179	0.039172	0.00297442	0.0317054	0.040135	0.00260383	0.00539526
o	0.193849	0.418634	0.132154	0.0596155	0.026884	0.0363932	0.0492556	0.0155702	0.0676454
p	0.059194	0.02117	0.893011	0.00648834	0.00139325	0.00376164	0.00195655	0.0105937	0.00243127
f	0.0021579	0.00564373	0.948826	0.00855974	0.00555858	0.00432182	0.00135293	0.0123334	0.0112459
u	0.000480842	0.00126271	0.986124	0.00567446	0.000397103	0.00238862	0.000818145	0.00146493	0.00138888
r	0.00163947	0.0382526	0.657851	0.155917	0.0162969	0.0307941	0.0212964	0.0117999	0.0661529
á	0.00497825	0.229097	0.404398	0.215962	0.00551636	0.0442137	0.0145532	0.00310902	0.078172
n	0.00468268	0.422548	0.0779717	0.363728	0.0685572	0.0289953	0.0274124	0.00223996	0.00386479
g	0.00262752	0.871408	0.00577428	0.0772424	0.00657612	0.00556648	0.00314951	0.00226887	0.0253868
á	0.038404	0.523179	0.0222112	0.316739	0.0447779	0.0162263	0.00789231	0.0169964	0.0135733
a	0.000950266	0.0254605	0.104516	0.572901	0.0764445	0.126303	0.0751256	0.00824843	0.0100502
b	0.00328033	0.00587501	0.281906	0.21298	0.24851	0.136167	0.0893986	0.0174653	0.00441726
ω	0.00059666	0.00150176	0.0607268	0.118589	0.712706	0.0616933	0.0342736	0.00712666	0.00278644
ω	0.000184236	0.00372868	0.048916	0.0568056	0.583384	0.166942	0.0928123	0.0332405	0.0139871
m	0.000107253	0.00321772	0.0140622	0.0231957	0.0644111	0.43319	0.308667	0.0581299	0.0950192
ó	0.000354816	0.000774473	0.0326505	0.0226722	0.0180748	0.234992	0.229779	0.0213941	0.439309
k	0.000396913	0.00114861	0.0104284	0.0234156	0.0254737	0.143448	0.280891	0.478088	0.0367092
á	5.32823e-05	2.68621e-05	0.00508566	0.0024662	0.015458	0.0493753	0.0565591	0.85125	0.0197259
n	0.000345901	0.00388226	0.0219532	0.0165062	0.0752354	0.193973	0.274419	0.395398	0.0182872
d	6.07954e-05	0.00167706	0.00624357	0.0591933	0.045361	0.284834	0.117936	0.414606	0.0700878
á	0.00472784	0.0124375	0.00888128	0.0773542	0.0303894	0.220153	0.0609157	0.496073	0.089068
</S>	0.000405749	0.00313661	0.00801828	0.0157568	0.00951335	0.0942728	0.262448	0.3009	0.305549
