 	l'	épine	a	fait	éclater	le	pneu	du	vélo	</S>
l	0.402934	0.456285	0.10247	0.0173192	0.00780616	0.0104087	0.000494591	0.00143593	0.000800421	4.58825e-05
l	0.259302	0.636871	0.0333872	0.0274754	0.0153271	0.0146295	0.000568015	0.0102136	0.00165474	0.000571468
ω	0.0137348	0.787652	0.0023443	0.0406212	0.142337	0.00778956	0.00201987	0.00189183	0.000372576	0.00123768
ώ	0.023402	0.83758	0.0228683	0.0242679	0.0612964	0.00800386	0.00163221	0.00863101	0.0092783	0.00304013
í	0.0942663	0.0289071	0.595435	0.131018	0.0855975	0.0169488	0.00391445	0.0112798	0.00116339	0.0314697
b	0.0038428	0.0017265	0.0599359	0.465975	0.436668	0.0174155	0.00788909	0.00176763	0.000348751	0.00443169
ó	0.00468989	0.00210263	0.0162408	0.574017	0.328495	0.061248	0.00311557	0.00267855	0.00262032	0.00479218
m	0.0109542	0.00569419	0.0353367	0.174942	0.626507	0.0972447	0.024546	0.00870051	0.00584063	0.0102334
i	0.0110695	0.00110445	0.0182183	0.140576	0.503934	0.19216	0.0917597	0.026429	0.00168448	0.0130646
s	0.0398714	0.00217798	0.304785	0.0680058	0.0810591	0.388794	0.0561243	0.030851	0.00671531	0.021616
i	0.00778545	0.00183229	0.00521423	0.0929401	0.400161	0.2762	0.0850835	0.0902533	0.00212064	0.0384097
e	0.0182431	0.000300333	0.0797928	0.0481233	0.0483068	0.584771	0.044939	0.128694	0.0161895	0.0306401
k	0.00104505	0.000884038	0.00216782	0.00815105	0.0303423	0.395159	0.458545	0.0631775	0.019783	0.0207458
o	0.000120859	8.57602e-05	3.70513e-05	0.000666726	0.00109908	0.0239285	0.956617	0.00475318	0.00800641	0.00468538
o	2.78995e-05	0.000364998	0.000100499	0.00189662	0.00431704	0.0291706	0.941668	0.00939281	0.00897245	0.00408888
y	0.00148934	0.000198389	0.00254995	0.0031693	0.00455717	0.282404	0.199218	0.443975	0.0175124	0.0449264
á	0.0491479	0.00293365	0.00740256	0.00923149	0.018739	0.174561	0.213522	0.414024	0.0088742	0.101564
b	0.0112052	0.0015795	0.00594723	0.0148279	0.0126573	0.071649	0.0833961	0.664684	0.0831853	0.0508683
i	0.00293104	0.00061807	0.00117031	0.00631496	0.000322238	0.0126648	0.0347922	0.0350624	0.890964	0.0151601
k	0.000184777	0.000147824	0.000150831	0.00119606	0.000241734	0.0173196	0.0679087	0.0236621	0.865675	0.0235136
á	0.000347683	0.000139327	3.43904e-05	0.00060851	0.000200177	0.00730289	0.813496	0.0612036	0.0277099	0.0889572
á	0.000560299	0.000330865	0.000942179	0.00225994	0.00139414	0.0513792	0.462173	0.151415	0.0568686	0.272677
n	0.00438966	0.000393607	0.0182347	0.0101268	0.0139562	0.0350055	0.00914756	0.212707	0.180462	0.515577
i	0.00715751	0.000274762	0.00112257	0.00663461	0.00672064	0.0338281	0.0046654	0.365194	0.135314	0.439089
</S>	0.00150915	0.000103817	0.000701238	0.000841926	0.00200225	0.0114837	0.0032996	0.336219	0.211044	0.432796
