 	la	pirogue	a	abordé	</S>
b	0.670077	0.320353	0.00890001	0.000257794	0.000411864
v	0.0106232	0.984196	0.00480648	0.000214776	0.000159353
á	0.0287968	0.970499	0.00016503	0.000169622	0.000370009
r	0.155985	0.832323	0.00352098	0.0013945	0.00677674
e	0.74855	0.0972555	0.00810133	0.0145556	0.131538
ó	0.11984	0.0435986	0.576945	0.0157041	0.243912
t	0.105102	0.0480071	0.655059	0.034062	0.15777
s	0.0673269	0.0827289	0.579551	0.0526224	0.217771
i	0.236586	0.0905911	0.480072	0.067583	0.125168
n	0.0699876	0.142346	0.232656	0.195757	0.359254
g	0.0655711	0.0443102	0.0745697	0.710653	0.104896
í	0.0136522	0.0138694	0.0443491	0.890476	0.0376533
s	0.0364467	0.0026992	0.359871	0.24394	0.357043
í	0.0103771	0.000614482	0.0588955	0.63519	0.294923
</S>	0.0292803	0.00946852	0.172516	0.43888	0.349855
