 	il	lui	arrache	son	couteau	</S>
w	0.943554	0.0531318	0.00177224	0.00106398	0.000381915	9.64191e-05
a	0.868397	0.0992454	0.00693997	0.0227383	0.00249841	0.00018118
á	0.245266	0.691244	0.0377659	0.0217865	0.00100182	0.00293578
p	0.0466406	0.574014	0.304824	0.0444432	0.0142664	0.0158116
i	0.0161453	0.163235	0.533301	0.0370908	0.0652263	0.185002
n	0.0133268	0.224214	0.690347	0.034402	0.0274199	0.0102898
y	0.134281	0.331017	0.348482	0.158744	0.00629134	0.0211853
i	0.0887564	0.409046	0.414083	0.0570112	0.00219227	0.0289114
w	0.285079	0.272912	0.176414	0.18801	0.044464	0.0331209
á	0.118489	0.14781	0.546881	0.155507	0.00528393	0.0260291
i	0.0557918	0.0487656	0.110712	0.4678	0.213595	0.103336
b	0.00103257	0.003225	0.113586	0.104985	0.742162	0.0350095
á	0.000604123	0.00172528	0.00806569	0.0163365	0.969666	0.00360284
á	0.00101279	0.00806822	0.0400716	0.0212775	0.889331	0.0402387
</S>	0.0126403	0.0268842	0.0655875	0.24268	0.242635	0.409573
