 	je	trie	les	grains	d'	arachide	</S>
n	0.638921	0.201045	0.0895601	0.0269591	0.0426611	0.00025225	0.000600993
g	0.989093	0.00866312	0.00145219	0.000146733	0.000481109	0.000147838	1.61024e-05
á	0.916692	0.0580049	0.00323506	0.00172471	0.000375384	0.0199245	4.31488e-05
l	0.29506	0.431118	0.0573252	0.0181872	0.0383593	0.0414101	0.118541
í	0.275619	0.165434	0.148436	0.0256227	0.0467469	0.00598299	0.332158
i	0.0922274	0.381247	0.248639	0.112727	0.0507922	0.0203867	0.0939808
s	0.0307149	0.62021	0.140985	0.16686	0.00408195	0.00341686	0.0337312
w	0.00238684	0.923639	0.044595	0.0240007	0.000189935	0.000512554	0.00467587
ώ	0.0124692	0.305507	0.239134	0.173527	0.0189552	0.0153716	0.235036
ώ	0.00456388	0.192787	0.600881	0.147985	0.0228697	0.00182295	0.0290913
l	0.0107821	0.0358508	0.421107	0.284501	0.218617	0.0134533	0.0156884
ώ	0.00488197	0.0310199	0.204698	0.524231	0.120774	0.023841	0.090554
n	0.00337693	0.0453709	0.157866	0.465757	0.123157	0.153429	0.0510426
d	0.0173861	0.0728289	0.145017	0.287985	0.238138	0.147662	0.0909836
z	0.00516411	0.0189369	0.0150775	0.0647603	0.0821887	0.753599	0.060273
o	0.00140077	0.0546751	0.0220773	0.0794674	0.0437497	0.663646	0.134983
ó	0.00229797	0.0421768	0.0456544	0.159787	0.056655	0.353485	0.339944
</S>	0.000721811	0.00694284	0.0946857	0.0497496	0.364754	0.0408962	0.44225
