 	il	alla	faire	ses	besoins	loin	de	tout	regard	</S>
w	0.936986	0.0311879	0.021236	0.0099962	5.43566e-05	0.000314792	0.00011621	8.51837e-05	1.40164e-05	9.60974e-06
a	0.916172	0.00756173	0.037097	0.0360136	2.57588e-05	0.000489326	0.00146811	0.000837249	0.000326554	8.85054e-06
a	0.0706708	0.493145	0.373496	0.0502801	0.00330266	0.00340972	0.00115844	0.000822537	0.000303787	0.00341102
d	0.0546461	0.323342	0.381174	0.140201	0.032087	0.0186782	0.00525136	0.00302357	0.00214929	0.0394474
z	0.0150828	0.714274	0.0919788	0.0516439	0.0493957	0.0146283	0.00448865	0.00137848	0.00055406	0.0565758
w	0.0093985	0.954901	0.0208638	0.0077847	0.00379517	0.000495951	0.000403726	0.000262863	0.000189653	0.0019044
é	0.0123237	0.666866	0.120817	0.110843	0.0287598	0.00775233	0.0101066	0.0100101	0.00216429	0.0303576
ω	0.0209853	0.039957	0.369212	0.470924	0.0371603	0.0140318	0.00704077	0.00608839	0.00199723	0.032603
s	0.00209511	0.0169452	0.091937	0.123184	0.668436	0.083789	0.00547293	0.00120525	0.00156219	0.00537305
a	0.000171361	0.0342768	0.00993486	0.0233035	0.897208	0.0247392	0.00198417	0.000414399	0.00116907	0.00679844
a	0.000420586	0.0394121	0.0465857	0.0482984	0.698308	0.109372	0.0101125	0.00118077	0.00277338	0.0435368
l	0.00209693	0.00160391	0.0717648	0.361453	0.108082	0.333101	0.0560641	0.0231988	0.00432874	0.0383065
á	0.00287348	0.00319228	0.0321776	0.0544956	0.130579	0.283359	0.174186	0.0890941	0.00714014	0.222902
n	0.0124215	0.00275516	0.0237028	0.0551663	0.0501481	0.230082	0.365026	0.149306	0.0304727	0.0809188
d	0.00103225	0.0013798	0.00759128	0.0193354	0.00834617	0.13147	0.617035	0.149131	0.0141772	0.0505012
z	0.000723522	0.00185557	0.00257426	0.005329	0.0224661	0.177189	0.649525	0.0862603	0.0164425	0.0376344
ó	0.000113486	0.0208202	0.00347213	0.00522643	0.0178879	0.0695655	0.609139	0.164975	0.0486745	0.0601251
r	0.000211685	0.00362153	0.0122117	0.0109316	0.00743233	0.0512405	0.504441	0.188922	0.039394	0.181593
o	0.000313814	0.00456427	0.0117542	0.00923119	0.00455743	0.0333847	0.33871	0.297779	0.241352	0.0583534
o	0.0012643	0.000394568	0.0132697	0.0140775	0.00370332	0.166569	0.276358	0.247486	0.0468601	0.230018
s	0.00128087	0.00566128	0.0267609	0.0169354	0.0837163	0.243268	0.096911	0.111976	0.268177	0.145314
í	0.000835274	0.0403179	0.00404879	0.00651997	0.178913	0.24194	0.0578121	0.0452997	0.0800536	0.344259
á	0.000724439	0.00525807	0.00653983	0.00984782	0.0177361	0.100324	0.0606452	0.140662	0.14071	0.517553
l	0.00114373	0.00212159	0.0108021	0.0234318	0.00908551	0.0532241	0.0768242	0.196915	0.253039	0.373413
a	0.00189382	0.00125023	0.00823878	0.00852656	0.0173664	0.0870907	0.0965063	0.10104	0.149335	0.528753
b	0.00591337	0.0012588	0.0232087	0.0140179	0.00194704	0.0242696	0.0881247	0.243234	0.192968	0.405058
a	0.00244478	0.000454782	0.0183847	0.0589248	0.0006365	0.00485091	0.0553695	0.136093	0.711164	0.0116773
r	0.000134387	6.84896e-05	0.00183699	0.00260762	4.43063e-05	0.000941987	0.0148561	0.0289176	0.889563	0.0610291
e	7.97835e-05	0.000245758	0.00157642	0.00181102	0.000652134	0.00698727	0.140581	0.191649	0.465459	0.190958
</S>	0.000252447	0.000662005	0.00867098	0.0040778	0.000998993	0.0178553	0.0559713	0.115922	0.0397398	0.755849
