 	cette	femme	tape	ses	enfants	avec	fougue	</S>
o	0.841043	0.0739842	0.00578679	0.00449247	0.0681703	0.00113747	0.00521306	0.000172866
y	0.0109394	0.984883	0.00368589	0.000157287	9.95826e-05	7.39485e-05	5.39833e-05	0.000106386
ú	0.882699	0.108558	0.00419941	0.00254881	0.000167207	0.000766098	0.000138229	0.000923672
r	0.941587	0.0434758	0.0015118	0.00603863	0.000487742	0.00094348	0.000226992	0.00572865
u	0.928935	0.0533744	0.00313969	0.00738178	0.00200062	0.00187833	0.000581573	0.00270838
w	0.443759	0.226559	0.167511	0.048849	0.00837808	0.0416716	0.015753	0.0475201
o	0.234	0.0126085	0.130341	0.0699042	0.0244082	0.168608	0.0615161	0.298615
l	0.0457751	0.00887936	0.737914	0.0582601	0.0049298	0.0698196	0.0148339	0.0595883
á	0.160913	0.0017926	0.203207	0.0773011	0.0107488	0.129777	0.0337573	0.382504
a	0.492824	0.00189593	0.212066	0.132653	0.0623864	0.0393169	0.0178385	0.0410193
b	0.0283921	0.00757312	0.786989	0.114748	0.0221637	0.00685074	0.0210562	0.0122275
έ	0.00202774	0.00166824	0.717581	0.187307	0.0291412	0.00816015	0.041626	0.0124889
r	0.00460643	0.000254044	0.594514	0.200774	0.0315323	0.0238577	0.0301656	0.114297
έ	0.0600534	0.000271074	0.214466	0.453355	0.0166999	0.155944	0.01301	0.0862006
b	0.00685129	4.36744e-05	0.0434818	0.549151	0.306821	0.0601787	0.01563	0.017842
á	0.00044213	2.2968e-05	0.00310835	0.0247892	0.963898	0.00255328	0.00459783	0.000587977
n	0.000671195	1.17697e-05	0.0113173	0.0529801	0.851886	0.0111964	0.0659648	0.00597296
a	0.00746446	0.000468936	0.00677462	0.0825574	0.858931	0.0160594	0.00811141	0.0196325
l	0.00335584	5.66895e-05	0.0367238	0.277092	0.0660912	0.491654	0.0517535	0.0732735
e	0.00513245	0.000114943	0.0206568	0.0720819	0.017591	0.244229	0.0644109	0.575783
k	0.00439825	6.55443e-05	0.0107305	0.0527356	0.078111	0.478548	0.146314	0.229098
á	0.000207523	3.24234e-05	0.00728674	0.0243411	0.0649266	0.031049	0.798707	0.0734497
b	0.000969595	8.36707e-05	0.015589	0.0387475	0.0338153	0.0301779	0.779863	0.100755
h	0.001024	7.62088e-05	0.00384762	0.0240606	0.0339618	0.0487487	0.781644	0.106637
á	0.00332175	0.00048587	0.0296232	0.0540863	0.0945513	0.0540606	0.577645	0.186226
á	0.00611511	2.75209e-05	0.00844997	0.0252959	0.00506761	0.147878	0.24801	0.559156
</S>	0.00979254	0.00176382	0.053699	0.129866	0.00588514	0.12621	0.0978842	0.5749
