 	nyobhosi	est	la	soeur	germaine	d'	ibhobha	</S>
n	0.689098	0.164807	0.0424138	0.070179	0.000958945	0.0189252	0.0132439	0.00037497
y	0.942937	0.0486904	0.00602141	0.00037444	3.64888e-05	0.00162558	0.000274675	3.98047e-05
ω	0.843149	0.110327	0.038141	0.00264382	0.00121082	0.00134513	0.00268427	0.000498929
b	0.93902	0.0180388	0.00794005	0.00644644	0.00178657	0.00470784	0.000210517	0.0218494
h	0.145492	0.543698	0.0804955	0.0291663	0.0376083	0.0189591	0.0125888	0.131992
ω	0.321809	0.322057	0.10855	0.0553285	0.00975135	0.0173027	0.0109252	0.154276
s	0.216295	0.648949	0.0918081	0.017389	0.00246274	0.0100029	0.00027316	0.01282
i	0.212489	0.538102	0.148157	0.0146617	0.0099934	0.00667293	0.000794863	0.0691301
a	0.198509	0.512966	0.154729	0.0469828	0.00349628	0.0113218	0.00411601	0.0678795
d	0.0354816	0.378344	0.389971	0.0898606	0.0710653	0.0057855	0.00304509	0.0264473
í	0.0179972	0.317704	0.541371	0.00582684	0.0236307	0.00524834	0.000126967	0.0880957
b	0.01693	0.200741	0.504801	0.0540661	0.0400919	0.0375239	0.00573812	0.140108
o	0.201136	0.0867941	0.347497	0.275541	0.023659	0.036899	0.0242086	0.00426588
l	0.00744811	0.0348215	0.0976217	0.66338	0.147937	0.0148201	0.0181132	0.0158582
a	0.0450329	0.0762231	0.153682	0.473272	0.136177	0.0384055	0.0287912	0.0484166
b	0.0120877	0.039528	0.110035	0.137451	0.388372	0.152532	0.0336152	0.126378
i	0.022663	0.0231164	0.155364	0.372218	0.184971	0.129487	0.0621434	0.0500371
b	0.00405486	0.0161824	0.0915413	0.124093	0.398794	0.213556	0.0620122	0.0897654
h	0.0123888	0.020695	0.127128	0.213933	0.174568	0.256169	0.0632021	0.131917
o	0.00299233	0.00907253	0.0926836	0.0683762	0.148821	0.252804	0.140834	0.284417
b	0.000485899	0.00274004	0.0163697	0.033255	0.450989	0.301688	0.114322	0.0801498
h	0.00572786	0.0147527	0.0441212	0.0549917	0.246117	0.0701082	0.232525	0.331657
a	0.00188014	0.00295192	0.0157842	0.0186582	0.0951294	0.179813	0.49636	0.189424
b	0.0001906	0.00226015	0.00899705	0.00358672	0.142732	0.464515	0.123423	0.254295
í	0.0101487	0.0142317	0.0929744	0.0304433	0.10437	0.220854	0.170845	0.356133
p	0.00614855	0.00491425	0.0160825	0.00628356	0.0318403	0.200161	0.469237	0.265333
o	0.00284984	0.00416582	0.0065863	0.00961793	0.0260483	0.0256299	0.875697	0.049405
n	0.000182807	0.00102726	0.00321632	0.00562833	0.14478	0.0393657	0.743452	0.062348
g	0.00156827	0.0175298	0.0194261	0.00538878	0.202649	0.0766172	0.311234	0.365587
á	0.00690222	0.0108852	0.00946588	0.0067659	0.029088	0.0480808	0.311301	0.577511
</S>	0.000822541	0.0136345	0.0180567	0.00363468	0.0217123	0.173756	0.065601	0.702782
