 	il	viendra	cet	après-midi	</S>
w	0.997089	0.000724144	0.00190231	0.000222624	6.21732e-05
a	0.981495	0.00044441	0.017335	0.000638994	8.61167e-05
l	0.722221	0.0859656	0.158624	0.00395615	0.0292332
á	0.437869	0.0815632	0.166898	0.00831931	0.30535
a	0.465867	0.055834	0.169856	0.0126617	0.295782
y	0.0095798	0.967763	0.0160704	0.00310432	0.00348286
a	0.0102983	0.931522	0.0427194	0.000230092	0.01523
á	0.230897	0.344496	0.309919	0.000473273	0.114214
p	0.0697321	0.565515	0.326812	0.0201617	0.0177796
á	0.0330645	0.647796	0.0876439	0.169564	0.0619325
b	0.049655	0.50423	0.091412	0.129659	0.225044
h	0.0665892	0.195387	0.355213	0.337627	0.0451847
a	0.0890097	0.27712	0.301057	0.207478	0.125337
l	0.0101758	0.012192	0.619514	0.214688	0.14343
a	0.0106097	0.0389221	0.13982	0.500833	0.309816
ε	0.00757816	0.0239429	0.175193	0.552016	0.24127
k	0.00238979	0.00304897	0.0716172	0.567854	0.35509
ω	0.000107414	0.00291375	0.00702975	0.976962	0.0129872
k	0.000139067	0.00335576	0.015312	0.895622	0.0855716
ω	0.0887937	0.0254887	0.0383758	0.720206	0.127135
ω	0.000586132	0.00998368	0.104159	0.446366	0.438906
</S>	0.0151378	0.00241623	0.273902	0.0694149	0.639129
