 	le	barri	est	un	bon	légume	</S>
n	0.767235	0.210524	0.0104541	0.0022029	0.00848395	0.000925954	0.00017439
d	0.927013	0.0665689	0.00160931	0.00124637	0.00175429	0.00163898	0.000168573
ε	0.804408	0.0967161	0.00267039	0.00739353	0.00210889	0.0825551	0.00414824
b	0.410529	0.329369	0.00898931	0.0131008	0.0172526	0.205148	0.0156115
h	0.390035	0.0994247	0.0383503	0.0288761	0.00939933	0.0395773	0.394337
ε	0.573586	0.230974	0.044969	0.0239121	0.0175727	0.0547785	0.0542083
é	0.0846945	0.0483815	0.740521	0.0554787	0.057647	0.00175787	0.0115195
d	0.025172	0.00297783	0.697733	0.167291	0.0610854	0.00697249	0.0387679
i	0.000705861	0.000844631	0.24557	0.291575	0.0128342	0.00801725	0.440453
t	0.0023449	0.000582644	0.282398	0.361851	0.192532	0.0645349	0.0957566
u	0.000581431	0.00199565	0.0832179	0.352949	0.104837	0.308932	0.147486
n	0.000593924	0.000591326	0.0604948	0.239584	0.0534473	0.11426	0.531029
g	0.0016078	0.000236484	0.013194	0.193682	0.0508769	0.592437	0.147966
u	0.00678487	0.00224545	0.0070008	0.0669466	0.0415255	0.753605	0.121892
m	0.0032117	0.000248542	0.0150116	0.060061	0.144255	0.285151	0.492061
b	0.0135106	0.00362289	0.0096482	0.0351194	0.0531577	0.427011	0.45793
v	0.000704025	0.000592132	0.000980305	0.011474	0.0140903	0.811723	0.160436
έ	0.00223855	0.00291928	0.000980035	0.012555	0.0215818	0.731992	0.227734
</S>	0.000353878	0.000331685	0.00338486	0.0253102	0.022561	0.140755	0.807303
