 	il	paraît	que	la	maison	d'	un	tel	est	incendiée	</S>
n	0.51635	0.304481	0.0391307	0.0327815	0.0226772	0.058486	0.0197215	0.000953108	0.00509804	8.51328e-05	0.000235723
d	0.0726911	0.848467	0.00567674	0.00901776	0.0595991	0.00148943	0.00277826	0.000117706	0.000104856	2.25841e-05	3.58196e-05
é	0.0423697	0.795385	0.0161344	0.0180074	0.104557	0.00527801	0.0122198	0.00512575	0.000110186	0.000370649	0.000441708
e	0.066942	0.456367	0.159024	0.107764	0.0539286	0.0395801	0.0811633	0.0211595	0.00310911	0.00169778	0.00926501
y	0.303713	0.298552	0.233159	0.030686	0.00571333	0.0163631	0.00970734	0.0079148	0.0241588	0.000802793	0.0692299
á	0.142736	0.0973969	0.257844	0.0965906	0.0281388	0.111475	0.0829178	0.0362748	0.0425517	0.00129378	0.102781
s	0.252742	0.56071	0.0625116	0.0448996	0.0200749	0.0170623	0.0137239	0.0105543	0.00888635	0.00104061	0.00779434
í	0.0414855	0.61368	0.114845	0.0869537	0.101137	0.0164917	0.0136214	0.00346788	0.0010218	0.000434228	0.0068612
m	0.0898493	0.278131	0.16571	0.19675	0.0448633	0.0631293	0.0539772	0.0163267	0.0616255	0.00165352	0.0279838
b	0.0793177	0.00224913	0.265471	0.199497	0.0738697	0.0952508	0.0622709	0.186989	0.0178587	0.00389646	0.0133293
ε	0.101468	0.00218393	0.161745	0.216793	0.0568277	0.0498924	0.0355137	0.346078	0.00186237	0.0149805	0.0126556
w	0.102755	0.00491954	0.199882	0.198515	0.0278698	0.0902486	0.0283477	0.230598	0.0189182	0.00617087	0.0917756
á	0.163062	0.0671066	0.215226	0.0561914	0.0383063	0.191107	0.0373777	0.120041	0.00795917	0.000539119	0.103085
r	0.0901559	0.104735	0.0795447	0.136054	0.16192	0.114121	0.0904792	0.112708	0.0438299	0.00644458	0.0600084
e	0.0119848	0.0447708	0.0443167	0.0994928	0.686494	0.0419572	0.0272907	0.020627	0.0018736	0.00106709	0.0201252
é	0.00533468	0.0114215	0.0743894	0.142648	0.143678	0.298299	0.184792	0.0374437	0.0716892	0.00163388	0.02867
m	0.0176735	0.0108596	0.0942491	0.138067	0.0281267	0.30928	0.205797	0.063708	0.109093	0.00378728	0.019358
i	0.00727591	0.000828535	0.0255713	0.0456921	0.00867879	0.0737004	0.151797	0.34108	0.180281	0.0980204	0.0670747
b	0.00373354	0.000733023	0.0474266	0.0332832	0.0055387	0.0325083	0.0470466	0.337689	0.0702203	0.243304	0.178516
o	0.00164945	0.000367065	0.0236365	0.0142288	0.000883652	0.00335696	0.00372256	0.119682	0.00449978	0.800593	0.0273807
n	0.000373045	0.000149408	0.0329785	0.0285957	0.000421169	0.0127804	0.0116298	0.134525	0.0241443	0.580958	0.173445
g	0.00420973	0.000665856	0.0173292	0.0365259	0.019007	0.0523936	0.0430604	0.181503	0.0206992	0.0754881	0.549118
a	0.00859733	0.0063345	0.0196416	0.0634509	0.0551785	0.0843198	0.0938687	0.47351	0.0093078	0.053036	0.132755
</S>	0.00164646	0.000819146	0.00466451	0.0226851	0.0171437	0.141512	0.154936	0.0434212	0.426548	0.0122263	0.174399
