 	il	était	en	train	d'	entasser	les	poissons	pour	les	vendre	</S>
w	0.966063	0.0135301	0.00553098	0.00203148	0.00102086	0.00602019	0.00407363	0.000724099	0.000563564	0.000267435	0.000144714	2.98855e-05
a	0.828207	0.0202289	0.0404933	0.0181655	0.0114313	0.0570673	0.0123572	0.00456623	0.00384908	0.00324121	0.000357197	3.53407e-05
á	0.35507	0.520326	0.0742859	0.00291609	0.0125329	0.00693288	0.00618867	0.00501135	0.00866423	0.0056103	0.000511477	0.00195012
d	0.00974984	0.513649	0.264791	0.133635	0.0293197	0.00998145	0.00293045	0.00498202	0.00759162	0.0102588	0.00273115	0.0103791
z	0.00599227	0.651383	0.136995	0.0099105	0.075365	0.0158837	0.00564541	0.0121809	0.0111805	0.00936776	0.00116788	0.0649289
e	0.322375	0.613042	0.0119538	0.000891774	0.0194488	0.00246937	0.0123434	0.0124119	0.0023745	0.000691656	0.000104786	0.00189324
l	0.0131372	0.0373931	0.327705	0.0682105	0.119021	0.0522695	0.0253515	0.0425157	0.0156432	0.0215499	0.0107429	0.266461
á	0.0250553	0.0294064	0.0854446	0.0229915	0.215809	0.0359588	0.0868203	0.0481486	0.045658	0.0324142	0.00587822	0.366414
a	0.0807851	0.0240102	0.0450169	0.0142936	0.139065	0.273178	0.217155	0.0947449	0.0284155	0.0127498	0.00634635	0.0642392
b	0.00396835	0.0582354	0.0257625	0.0149105	0.0630185	0.562671	0.0601635	0.0555466	0.0445735	0.0212401	0.0356492	0.0542607
v	0.00281842	0.0156089	0.0499606	0.034557	0.0349748	0.720685	0.0419474	0.0575724	0.0167982	0.00508012	0.00493339	0.0150638
u	0.000120972	0.00157472	0.0254251	0.0257014	0.0046827	0.906435	0.0105165	0.0147138	0.00608735	0.00198921	0.00127649	0.00147709
r	0.0875802	0.0162233	0.057716	0.0102797	0.16792	0.310328	0.140714	0.111253	0.0283935	0.0134728	0.0142837	0.0418365
á	0.0426204	0.00834969	0.0280216	0.0012498	0.127066	0.167437	0.318753	0.0848449	0.0852224	0.0252012	0.00451791	0.106716
a	0.00557948	0.00277725	0.00712067	0.00132568	0.0333896	0.0492811	0.2607	0.388352	0.174952	0.0421728	0.0109167	0.0234331
s	0.00204262	0.00902422	0.00757682	0.00207152	0.0153149	0.0153204	0.103905	0.227316	0.43005	0.150437	0.0284783	0.00846378
w	0.00136808	0.0108153	0.00139058	3.78931e-05	0.00571764	0.000561593	0.0381045	0.478427	0.239643	0.12113	0.00353841	0.0992666
é	0.00309268	0.00198196	0.000179931	1.65501e-05	0.00337567	0.00084904	0.132728	0.579246	0.185248	0.0672035	0.00367011	0.022409
m	0.000131389	0.00118645	0.00198743	7.45366e-05	0.010873	0.00477218	0.0491451	0.0954844	0.388083	0.339863	0.0608824	0.0475164
á	0.00118185	0.00190386	0.0013018	0.000100644	0.00218517	0.00115018	0.111713	0.122496	0.326119	0.241618	0.0024929	0.187738
k	0.00304719	0.00104302	0.00166104	0.000346278	0.00724537	0.0105223	0.0567189	0.0351139	0.264187	0.340082	0.255294	0.0247395
a	0.000124429	0.000251596	0.000949696	0.000367377	0.00292654	0.00624196	0.00239521	0.0106394	0.0792886	0.0522873	0.833439	0.0110886
b	0.000139543	0.000186048	0.00175331	0.00134064	0.00133443	0.0140047	0.00375662	0.032768	0.0919818	0.119449	0.639973	0.0933126
h	0.000357611	0.000430165	0.00522144	0.00290414	0.0111535	0.0650906	0.00798065	0.0141188	0.280362	0.191178	0.133001	0.288201
e	0.000592601	0.00105182	0.0117445	0.00545536	0.00450176	0.0196792	0.0110439	0.0215167	0.116947	0.0799866	0.342626	0.384855
b	4.62443e-05	0.000285577	0.00150604	0.000171669	0.00210128	0.00238958	0.0047796	0.00227975	0.0659474	0.128054	0.370029	0.422409
a	0.000776416	0.000722947	0.0180832	0.0124851	0.0420127	0.0400598	0.00723574	0.0124244	0.140374	0.203234	0.325103	0.197488
á	0.00102561	0.000199739	0.00239663	0.00169359	0.00479079	0.00836916	0.0074592	0.0176397	0.0771644	0.111998	0.292023	0.47524
á	0.000695774	0.00222817	0.00835192	0.00200305	0.0134831	0.00538983	0.0259481	0.019717	0.0676479	0.189452	0.0829322	0.582151
k	0.00130229	0.0127004	0.0238301	0.00407776	0.0378779	0.0281043	0.0177164	0.0288892	0.0972713	0.223691	0.264554	0.259986
i	2.68353e-05	0.000857175	0.00730818	0.00147857	0.0105559	0.017619	0.0015501	0.00351325	0.0313151	0.0957473	0.747554	0.0824745
r	7.87987e-05	0.00286213	0.0106102	0.00150913	0.00846079	0.00567828	0.00259459	0.0105315	0.0592867	0.154607	0.469143	0.274637
a	0.000157641	0.000857795	0.00142167	0.000131644	0.00279614	0.00171913	0.00421845	0.00344277	0.0401094	0.098388	0.499492	0.347266
</S>	0.000538404	0.000283981	0.00187391	0.000275114	0.00360372	0.00299598	0.0129737	0.00526035	0.0628734	0.138119	0.0793416	0.691861
