 	il	n'	aime	pas	être	battu	au	jeu	</S>
w	0.808699	0.0897299	0.0139863	0.0315877	0.0426891	0.00765635	0.00468242	0.000798646	0.000170494
a	0.769653	0.110613	0.00459161	0.0529494	0.0256582	0.0207759	0.0147027	0.00099831	5.71537e-05
a	0.258627	0.577147	0.069514	0.0659431	0.00215438	0.0144466	0.00809058	0.000499336	0.00357817
d	0.0704482	0.34283	0.357479	0.0585348	0.0408442	0.0571661	0.0348921	0.00530058	0.0325057
i	0.0164919	0.435644	0.237891	0.106134	0.00282254	0.0183702	0.0113925	0.000907837	0.170346
p	0.0160223	0.137242	0.188872	0.370744	0.0195429	0.0368212	0.055977	0.00580265	0.168975
ó	0.00811626	0.0334803	0.606751	0.0675128	0.153568	0.0566455	0.00565489	0.0258611	0.0424107
s	0.0031361	0.0547379	0.873607	0.0283245	0.00639809	0.00826856	0.00477018	0.00194943	0.0188084
á	0.00946654	0.0586822	0.512265	0.205452	0.0737078	0.0548799	0.02425	0.0172728	0.0440237
b	0.150582	0.0609055	0.0397361	0.275613	0.27036	0.150462	0.032349	0.00909904	0.0108938
á	0.0794504	0.0351308	0.028422	0.0402328	0.570584	0.203639	0.00997762	0.0272052	0.00535787
a	0.0922129	0.0142729	0.00274762	0.0125465	0.677976	0.160328	0.0113901	0.0178069	0.0107195
p	0.00357021	0.0398828	0.0239496	0.232389	0.184669	0.24562	0.149331	0.0243568	0.0962319
é	0.00123505	0.0135163	0.0823424	0.0833372	0.373894	0.138743	0.0203807	0.232612	0.0539399
n	0.000393035	0.0117724	0.191792	0.105306	0.0998051	0.118263	0.039499	0.132971	0.300198
d	0.00181315	0.0063612	0.014007	0.0977691	0.274066	0.37887	0.0593329	0.0807191	0.0870615
á	0.0114142	0.0384121	0.0912802	0.177013	0.0858487	0.347066	0.0523308	0.0907087	0.105926
w	0.0254926	0.0145588	0.00751196	0.133029	0.0613202	0.208005	0.315489	0.0908561	0.143737
a	0.0367911	0.0125513	0.00329357	0.0707236	0.30307	0.252248	0.101278	0.187773	0.0322716
k	0.00887162	0.00406269	0.00239641	0.0548743	0.0554661	0.0781526	0.219415	0.440201	0.13656
a	0.000587336	0.000823641	0.00320825	0.0103943	0.0557338	0.0328982	0.0349066	0.849312	0.0121356
á	0.000499175	0.00171671	0.00594323	0.0164342	0.0627175	0.125584	0.0942932	0.481644	0.211168
</S>	0.00886516	0.0109471	0.00405846	0.0192404	0.00935983	0.0417535	0.237779	0.0782279	0.589768
