 	je	me	gave	d'	oseille	</S>
n	0.884546	0.0773171	0.0129795	0.0128937	0.00916049	0.00310328
g	0.959155	0.0405563	1.90539e-05	0.000176786	3.59917e-05	5.63672e-05
á	0.878893	0.12019	0.000626032	6.29464e-05	0.000155385	7.24382e-05
b	0.097465	0.852022	0.00869867	0.0162639	0.00294714	0.0226032
ó	0.0623576	0.160697	0.261735	0.0522065	0.363307	0.0996961
l	0.0274639	0.468441	0.306523	0.0985155	0.0235307	0.0755254
í	0.284127	0.33328	0.185332	0.0515953	0.0136342	0.132031
i	0.0951149	0.115588	0.560986	0.128382	0.0249911	0.0749372
l	0.000446875	0.0236546	0.960414	0.00853555	0.00107581	0.00587282
e	7.85437e-05	0.00268673	0.986313	0.00506526	0.00216881	0.00368765
b	6.58123e-05	0.00183857	0.874463	0.0153227	0.000383569	0.107926
h	0.00127234	0.00776334	0.732109	0.0444965	0.0120872	0.202272
á	0.00133938	0.00955948	0.315521	0.116038	0.032293	0.52525
á	0.0017819	0.0191074	0.0335295	0.626365	0.126425	0.192791
a	0.0052486	0.0168216	0.0217682	0.380011	0.321697	0.254453
b	0.00152444	0.0104634	0.180835	0.137314	0.582001	0.0878619
v	0.000156148	0.000866766	0.0432139	0.00739684	0.942752	0.00561385
i	1.65582e-05	0.000182274	0.00603589	0.00315485	0.98823	0.0023808
á	0.000362951	0.00110714	0.00936055	0.182691	0.135759	0.67072
</S>	0.000776516	0.0151017	0.0149013	0.217713	0.0534192	0.698088
