 	je	lui	ai	parlé	mais	il	a	refusé	de	me	répondre	</S>
n	0.795182	0.127464	0.0203941	0.00246777	0.0194792	0.0156918	0.00845032	0.00272266	0.00466634	0.003103	0.000302404	7.64715e-05
g	0.908981	0.0360655	0.0248744	0.000411686	0.012797	0.00222775	0.0013628	0.00300271	0.00209075	0.0070851	0.00100696	9.4191e-05
á	0.820203	0.0730087	0.0847124	0.00222075	0.00734931	0.0010052	0.000489034	0.00356534	0.00082277	0.00556079	0.000985342	7.72151e-05
í	0.0293048	0.332155	0.337264	0.0469301	0.0318695	0.0223173	0.0310471	0.0188222	0.0203407	0.0508188	0.018842	0.0602884
t	0.004576	0.0344564	0.0951028	0.798392	0.00208038	0.00205712	0.00377467	0.0169172	0.00677749	0.00515877	0.0126136	0.0180935
i	0.000458625	0.0148543	0.0304724	0.644123	0.00673728	0.0131168	0.0224714	0.112591	0.0445458	0.0160328	0.0452563	0.0493398
i	0.00291078	0.0610713	0.142385	0.716572	0.0108242	0.00754734	0.0130271	0.0131537	0.0125274	0.00574995	0.00540325	0.00882803
l	0.0584214	0.178279	0.191356	0.0670591	0.318205	0.114015	0.0435592	0.00514647	0.00647282	0.00884914	0.00147338	0.00716218
a	0.0137163	0.0704537	0.0997388	0.195875	0.277755	0.120895	0.0468839	0.0338948	0.0355191	0.038945	0.0165772	0.0497465
w	0.00317864	0.0518305	0.0684903	0.0721371	0.439703	0.240524	0.0499889	0.0214017	0.0126819	0.0158267	0.0032088	0.0210287
a	0.0114109	0.0711673	0.107189	0.142636	0.186519	0.224762	0.0797776	0.0520184	0.0451056	0.0246483	0.00587783	0.0488884
n	0.00559707	0.0367902	0.041698	0.0332212	0.255147	0.361475	0.154529	0.0487408	0.0227766	0.00754733	0.00414269	0.028336
d	0.0123083	0.039212	0.181019	0.0101498	0.203852	0.0868016	0.0393241	0.166193	0.0432996	0.112321	0.0254643	0.0800552
z	0.00390902	0.0143085	0.0336003	0.00753628	0.452044	0.12086	0.0369024	0.16334	0.0213738	0.0367802	0.0207813	0.0885649
á	0.000516478	0.00927943	0.00898582	0.00636809	0.487599	0.0929444	0.0146687	0.14655	0.0755575	0.0384531	0.0123825	0.106695
á	0.000195452	0.00898185	0.0160494	0.0154164	0.166786	0.246482	0.0818124	0.0984643	0.171356	0.0279546	0.0323614	0.13414
w	0.0002386	0.00531506	0.0136447	0.00363051	0.0583021	0.194025	0.482244	0.125966	0.0764516	0.0195764	0.0105256	0.0100808
a	0.000891504	0.00181691	0.00712177	0.00818197	0.0532946	0.135402	0.146715	0.308609	0.165607	0.0393756	0.0430159	0.0899684
á	0.000203129	0.0022602	0.0136716	0.00422642	0.0313362	0.111458	0.346647	0.184031	0.212017	0.0375687	0.0254846	0.0310968
t	0.000201488	0.00207529	0.00910986	0.0220485	0.00264198	0.00708618	0.0852514	0.218606	0.21997	0.106188	0.254178	0.0726439
ó	1.47801e-05	0.00105629	0.00398143	0.0121555	0.00709253	0.0226041	0.0957812	0.389242	0.137875	0.055775	0.210536	0.0638857
n	1.82262e-05	0.00040484	0.00236282	0.00512999	0.0033713	0.0147094	0.0948564	0.283456	0.20293	0.077979	0.18943	0.125352
i	9.38778e-05	0.00170792	0.00565891	0.00336667	0.0144523	0.0289395	0.0744091	0.161689	0.163526	0.166931	0.27291	0.106315
o	0.000463229	0.00460185	0.00530394	0.000718433	0.0454366	0.053806	0.104693	0.0284868	0.136453	0.358505	0.111043	0.150489
k	9.14935e-05	0.00166997	0.00409509	0.0035222	0.00186091	0.00163231	0.0043853	0.0161654	0.0708952	0.169151	0.565601	0.16093
a	5.28449e-06	7.79002e-05	0.00021749	0.00145276	0.00143572	0.00208418	0.00630083	0.0268312	0.145659	0.069433	0.621855	0.124647
s	2.62773e-05	0.000650737	0.00134106	0.00121032	0.00425763	0.00859126	0.0110903	0.0249048	0.117284	0.0821953	0.342564	0.405884
i	2.05888e-05	0.000177042	0.000327128	0.00275989	0.00248957	0.00230799	0.00852003	0.0312032	0.331511	0.149741	0.200793	0.27015
l	1.82117e-05	0.00019593	0.000527838	0.000591408	0.00107609	0.00221972	0.0100532	0.00808749	0.0913866	0.120699	0.182826	0.582319
á	0.000334858	0.000480949	0.00146532	0.00259189	0.00181601	0.00351646	0.00818082	0.0159647	0.0511357	0.0822822	0.50132	0.330911
l	0.00105068	0.00866765	0.00777233	0.000940615	0.0271483	0.0151228	0.0385915	0.00953014	0.0648538	0.463636	0.167416	0.195269
a	0.00457259	0.0161462	0.0313734	0.00335024	0.0119565	0.00736455	0.0211482	0.014373	0.0355522	0.253642	0.382604	0.217917
n	0.000362273	0.00587972	0.00330211	0.000421967	0.0363872	0.0124299	0.0149952	0.00848494	0.0905852	0.33082	0.115397	0.380934
g	0.01307	0.00282093	0.00981654	0.000256245	0.00761167	0.0019095	0.0019191	0.0122138	0.0242218	0.694012	0.15698	0.075169
á	0.00237544	0.00101655	0.00321991	0.000241804	0.00314658	0.00175276	0.00324854	0.0210636	0.0251546	0.451831	0.245173	0.241775
</S>	0.000131097	0.0013841	0.0007943	0.000326111	0.00577858	0.00459927	0.0044946	0.00376297	0.071219	0.11921	0.0570587	0.731241
