 	les	eaux	ont	commencé	à	baisser	</S>
m	0.784267	0.202336	0.00925782	0.00237472	0.00144588	0.000206526	0.000111579
á	0.215908	0.732735	0.0259263	0.0160089	0.00271841	0.00198938	0.0047146
a	0.0701258	0.869612	0.0527585	0.00586831	0.00052807	0.000508391	0.000599165
á	0.129521	0.165556	0.600357	0.0520946	0.0153768	0.00296964	0.0341252
b	0.0163246	0.027848	0.510262	0.137023	0.256287	0.0237972	0.0284583
h	0.0180216	0.0508927	0.212681	0.282961	0.32467	0.0146146	0.0961589
i	0.0732242	0.0690257	0.221805	0.221429	0.342379	0.00818016	0.0639566
m	0.0158051	0.0295054	0.0892709	0.158739	0.215523	0.0412293	0.449927
á	0.0747057	0.174006	0.233965	0.274282	0.0771871	0.0475131	0.118341
a	0.074317	0.0358094	0.217325	0.358782	0.0899767	0.164614	0.0591759
s	0.00240668	0.00463331	0.0124406	0.0178608	0.137958	0.765732	0.0589683
u	0.00048658	0.000240938	0.00193023	0.00732033	0.0620922	0.865234	0.0626954
n	0.00792636	0.00170284	0.0115554	0.010926	0.116155	0.670934	0.180801
d	0.0122376	0.00658354	0.0153907	0.0362588	0.107097	0.59244	0.229993
a	0.0160116	0.0127337	0.0441951	0.0586374	0.113028	0.583688	0.171705
</S>	0.0237781	0.00242225	0.0255199	0.0556706	0.134368	0.183795	0.574446
