 	le	vin	est	aigre	</S>
a	0.793677	0.198452	0.0068605	0.000859187	0.000151325
l	0.075312	0.897473	0.0180607	0.00749725	0.00165666
ω	0.0265231	0.859528	0.0266461	0.0158994	0.0714033
i	0.0983816	0.714698	0.0387299	0.118816	0.0293746
á	0.0598007	0.042562	0.795296	0.007667	0.0946747
d	0.0191558	0.0114358	0.743887	0.139766	0.085756
í	0.00588124	0.00338917	0.23575	0.2943	0.460679
l	0.0285314	0.00275536	0.315387	0.305192	0.348134
a	0.00490325	0.00321467	0.141111	0.560527	0.290245
n	0.00911545	0.00420041	0.101788	0.807174	0.0777227
g	0.000372222	0.00014505	0.00361973	0.975951	0.0199118
h	0.00279214	0.00222117	0.0138466	0.91593	0.0652103
a	8.80162e-05	0.000121459	0.000862658	0.948781	0.0501466
n	0.000555781	0.00147138	0.00408852	0.607411	0.386474
y	0.00310314	0.00313329	0.00349825	0.158263	0.832003
i	0.000985143	0.000788832	0.00534664	0.15544	0.837439
</S>	0.00205488	0.00142386	0.0583941	0.0312784	0.906849
