 	elle	lui	posa	un	bandage	autour	de	sa	tête	blessée	</S>
w	0.804029	0.155039	0.0024795	0.00411168	0.00246041	0.00348166	0.0131739	0.00860192	0.00535572	0.000983912	0.000283851
a	0.9695	0.0270309	0.000272642	0.00095857	1.64876e-05	0.000159646	0.000958013	0.000501396	0.000187256	0.000385918	2.86989e-05
a	0.124478	0.760539	0.0307496	0.0237851	0.00227268	0.00456621	0.009408	0.0152166	0.00202764	0.0072852	0.019672
d	0.0494881	0.739926	0.117635	0.0323042	0.0241757	0.00994315	0.00521447	0.00387594	0.00575069	0.000781626	0.0109048
í	0.0132209	0.435614	0.460723	0.0340177	0.00424441	0.00559565	0.00297053	0.00172325	0.0015327	0.00115301	0.0392046
n	0.00965603	0.0767275	0.408854	0.0415374	0.0104162	0.0131619	0.0148897	0.00874882	0.00420108	0.0122995	0.399508
g	0.00831519	0.177878	0.598694	0.129374	0.000973573	0.00351111	0.0127176	0.0139302	0.00111001	0.0194041	0.0340918
í	0.00131867	0.0394284	0.816763	0.119622	0.00101332	0.00314435	0.00337246	0.00530359	0.000466528	0.00249207	0.00707632
l	0.02689	0.081757	0.37185	0.399589	0.00865835	0.0245729	0.0225815	0.0197113	0.00421216	0.00990741	0.0302704
í	0.00102029	0.0302086	0.829934	0.090167	0.0076692	0.00720363	0.00559638	0.00376545	0.000655544	0.00254896	0.0212308
w	0.00512887	0.0961899	0.265291	0.364204	0.136752	0.0305851	0.0202952	0.016889	0.0144057	0.0133465	0.0369132
a	0.0264166	0.112727	0.0849284	0.415388	0.17741	0.0424464	0.0484898	0.0540965	0.0103007	0.00710157	0.0206943
e	0.00358773	0.0209985	0.0755306	0.372534	0.282484	0.077467	0.0410158	0.0328352	0.0154931	0.014244	0.0638098
t	0.00119505	0.00915033	0.0468144	0.0889945	0.726869	0.0848351	0.0175773	0.00818324	0.00613534	0.00357665	0.00666921
é	0.000123326	0.00197692	0.0268972	0.0517829	0.643314	0.206494	0.0356579	0.0149081	0.00842686	0.00230687	0.00811141
n	0.000164422	0.00285522	0.0188696	0.0380373	0.639524	0.134213	0.0310941	0.0134999	0.0221648	0.00380514	0.0957723
d	0.000438484	0.0048153	0.0275869	0.0780076	0.282635	0.361097	0.11906	0.0521311	0.0159926	0.0116687	0.0465665
i	0.000573746	0.0119783	0.0441466	0.0844441	0.141074	0.258774	0.192636	0.0986634	0.0106267	0.0260499	0.131033
m	0.000435051	0.00274723	0.00398568	0.0399842	0.130301	0.250305	0.286953	0.182172	0.0568566	0.0160237	0.0302364
ó	0.00632722	0.00641555	0.00311285	0.0319198	0.0213642	0.19521	0.225011	0.209319	0.160951	0.0335457	0.106824
i	0.0011774	0.00331226	0.00600776	0.010527	0.0253697	0.0853171	0.171288	0.227956	0.311399	0.141299	0.0163468
b	0.000474223	0.00314231	0.0108625	0.00663376	0.053124	0.165006	0.118619	0.11313	0.409432	0.0816359	0.0379399
o	0.00198503	0.00730326	0.0028504	0.00551615	0.0241703	0.076058	0.0580252	0.0383626	0.751908	0.0232908	0.0105299
ó	4.97665e-05	0.000619831	0.00259941	0.00363032	0.0233543	0.166689	0.0704195	0.0617072	0.547558	0.0370596	0.0863134
l	0.000437246	0.00303564	0.00369787	0.0072673	0.00422119	0.031466	0.0910478	0.176064	0.297553	0.135556	0.249654
í	0.000141599	0.00239795	0.01572	0.00528882	0.00551176	0.0436852	0.0544246	0.0585969	0.0125976	0.577404	0.224232
í	0.000581092	0.0025011	0.00272672	0.00473435	0.00095419	0.00897584	0.0362016	0.0663736	0.0197597	0.792874	0.0643182
d	0.000712063	0.013564	0.0198994	0.00927514	0.0191411	0.0674815	0.0778905	0.0582706	0.100437	0.555083	0.0782461
í	0.000269999	0.0051336	0.0232506	0.00378581	0.000663581	0.0143398	0.0336462	0.0229863	0.0328659	0.55753	0.305528
l	8.41636e-05	0.000317528	0.0020395	0.00187697	0.0022429	0.0136167	0.0421717	0.0483689	0.115408	0.44095	0.332923
a	0.000115965	0.00116118	0.0125043	0.00267391	0.00366946	0.0266831	0.0200179	0.0166609	0.00983122	0.608555	0.298127
p	9.74608e-05	0.00102238	0.00651328	0.00276647	0.00046892	0.00843994	0.0164711	0.0179687	0.0067305	0.851446	0.0880748
ó	0.00130539	0.00520366	0.00814184	0.00967552	0.0169387	0.0256111	0.0378864	0.0300013	0.107089	0.401452	0.356696
r	6.27286e-05	0.000222523	0.00272945	0.00185215	0.0136929	0.013272	0.0209062	0.0523557	0.0668415	0.513718	0.314347
á	0.000171334	0.00060928	0.0106102	0.00706542	0.0133992	0.0495347	0.0445551	0.0647392	0.0585387	0.44663	0.304146
</S>	0.000595376	0.00137398	0.00155125	0.0046132	0.00929632	0.0128196	0.0232333	0.0335916	0.0307875	0.469484	0.412654
