 	le	beau-frère	m'	a	apporté	du	vin	de	palme	</S>
b	0.292177	0.691677	0.00591047	0.0057325	0.00254664	0.00114177	0.000147094	0.000510522	0.000101509	5.49398e-05
v	0.0205286	0.971747	0.00521807	0.000837452	0.000721317	0.000126966	0.000135024	0.000534276	8.68028e-05	6.4303e-05
ú	0.00518416	0.973745	0.00157324	0.00735795	0.0101482	0.000824091	0.000432137	0.0001886	0.000505777	4.10363e-05
ε	0.138097	0.806317	0.0187581	0.0129482	0.00231947	0.00514668	0.0016609	0.00182145	0.00558901	0.00734231
ó	0.407254	0.10594	0.147837	0.139402	0.0296298	0.0534239	0.0126132	0.0193498	0.00286537	0.0816842
b	0.0760459	0.0173068	0.09839	0.485145	0.148657	0.0846405	0.0300952	0.0259643	0.0129435	0.0208122
é	0.0114238	0.0765356	0.0242169	0.23844	0.492896	0.0716198	0.0591085	0.0102345	0.00373753	0.0117871
r	0.0351953	0.0188218	0.140466	0.304615	0.229418	0.0616323	0.0266776	0.0269615	0.0184997	0.137714
i	0.16143	0.031863	0.187679	0.280389	0.154703	0.0611744	0.02055	0.015653	0.0161153	0.0704446
n	0.0141059	0.00224993	0.481655	0.176249	0.145512	0.143252	0.0111966	0.0127605	0.00217213	0.0108463
g	0.0202832	0.000813583	0.657391	0.0413794	0.193536	0.0419297	0.00618284	0.00615924	0.00429715	0.0280269
á	0.0147693	0.00110784	0.626641	0.0419686	0.220562	0.0675146	0.0128186	0.00268348	0.00435141	0.00758336
a	0.00910016	0.00244889	0.0356219	0.127545	0.0384161	0.533363	0.131828	0.0508366	0.0178379	0.0530025
l	0.00171807	0.00237933	0.00889073	0.0791913	0.154498	0.299912	0.397704	0.0265041	0.0203015	0.00890052
ω	0.00053663	0.000918948	0.00455536	0.0366315	0.245186	0.131908	0.354425	0.0468495	0.0439718	0.135017
i	0.000546015	0.00040563	0.00213638	0.0106966	0.118483	0.130919	0.562671	0.0485704	0.086408	0.0391634
m	0.00149171	0.000391465	0.0120054	0.0285676	0.0331258	0.162285	0.172704	0.431058	0.0917979	0.0665727
ó	0.0456334	0.00168153	0.00897105	0.0260676	0.0126333	0.0867865	0.113372	0.220416	0.104769	0.37967
l	0.00940887	0.00155828	0.00541998	0.00908739	0.0133701	0.101469	0.139542	0.129315	0.47866	0.112169
έ	0.00194802	0.00137299	0.00475697	0.00646694	0.0283949	0.0270956	0.117969	0.104069	0.5013	0.206627
n	0.00104918	0.000173103	0.000774656	0.00253631	0.00247719	0.0260313	0.0579816	0.101303	0.573829	0.233844
g	0.00562187	0.000479408	0.00977513	0.003184	0.00682879	0.0149477	0.0157273	0.101229	0.620828	0.221378
έ	0.00236796	0.000361576	0.0139973	0.00419599	0.00986761	0.0412126	0.0478327	0.136902	0.479789	0.263474
</S>	0.000111956	2.3942e-05	0.000151294	0.000252799	0.00034952	0.00997135	0.0223491	0.0863392	0.181796	0.698655
