 	ekoko	était	un	chasseur	plein	de	dextérité	quand	il	ouvrait	le	feu	sur	du	gibier	il	l'	atteignait	</S>
e	0.740569	0.114753	0.0298701	0.0117845	0.0146617	0.0473794	0.0226019	0.00872584	0.002146	0.00228034	0.00262296	0.000226865	0.00060995	0.000325247	0.000529083	0.000165107	5.9816e-05	0.000633229	5.58367e-05
k	0.841156	0.127072	0.00452545	0.00421601	0.00356964	0.00251389	0.00431862	0.00179836	0.00160265	0.000707231	0.000109305	0.0003171	0.000500646	0.000433449	5.23832e-05	0.000253182	0.000668685	0.00390431	0.00228167
o	0.9833	0.00380076	0.000638369	0.00358469	0.000630257	0.000711164	0.00293859	0.000880931	0.00102386	0.000539079	0.000139074	6.94462e-05	0.000325881	0.000360633	6.41748e-05	9.21712e-05	0.00012912	0.000304794	0.000467237
k	0.971209	0.00173392	0.00233229	0.00406626	0.000735761	0.0018243	0.00458506	0.0014624	0.00152079	0.00149798	0.00106309	0.000102084	0.000388299	0.000575595	0.000550744	0.00047676	0.000696197	0.00232631	0.00285339
ó	0.721669	0.0170666	0.00388168	0.00128021	0.0116055	0.00893575	0.012317	0.015156	0.0247427	0.00915672	0.00324825	0.00100575	0.0147339	0.0326588	0.00504915	0.00966582	0.0401382	0.0212229	0.0464663
á	0.108083	0.456953	0.137431	0.00895582	0.0488599	0.02722	0.0163798	0.0387883	0.0124935	0.00365848	0.030104	0.00596434	0.0177035	0.0134035	0.00309256	0.0194615	0.0135639	0.00517172	0.0327116
d	0.000941607	0.420592	0.347524	0.0304113	0.0153258	0.0121875	0.00325015	0.0131279	0.0103308	0.00241697	0.00769645	0.00943192	0.0137529	0.00957579	0.00270015	0.00747836	0.0198861	0.0236947	0.049676
z	0.000298134	0.708832	0.104067	0.00732785	0.0116041	0.00307	0.00140431	0.00467545	0.00818414	0.000737859	0.00163638	0.0198452	0.00829935	0.00563793	0.00166934	0.00330166	0.0096822	0.00417265	0.0955549
á	0.000236442	0.434708	0.398606	0.0230599	0.00812858	0.00429282	0.00323147	0.00655972	0.0123044	0.00362147	0.00421742	0.0148132	0.00634462	0.0076825	0.0105109	0.00514081	0.015061	0.00514433	0.0363357
o	0.00561166	0.270959	0.322959	0.0295652	0.0577411	0.0445077	0.0129027	0.0305483	0.0182693	0.00817675	0.0291146	0.0116481	0.0153385	0.0151079	0.0117765	0.0210843	0.0144062	0.0144934	0.0657898
b	0.00971837	0.0671906	0.163372	0.651735	0.0330369	0.00433238	0.0124665	0.00352016	0.00195939	0.00382508	0.0010464	0.00590514	0.00709727	0.00439503	0.000575041	0.0024	0.00678931	0.00604511	0.01459
e	0.000401399	0.000926482	0.00775101	0.967056	0.0041298	0.000421566	0.000726397	0.000882531	0.000764186	0.00286277	0.000438602	0.00213737	0.00333968	0.00207295	2.08151e-05	0.000966131	0.00125143	0.000469481	0.00338173
n	0.00049109	0.00290398	0.02502	0.934569	0.00634623	0.00159957	0.00671666	0.00100368	0.00049989	0.00153533	0.000572212	0.00153878	0.00308827	0.00175386	7.11649e-05	0.000410658	0.0016215	0.00283179	0.0074258
g	0.00507167	0.0154127	0.121542	0.281496	0.111832	0.0683358	0.144062	0.0420989	0.0156916	0.0152414	0.0226919	0.00664917	0.0247447	0.0254902	0.00420894	0.0125535	0.00896746	0.0141474	0.0597628
i	0.0595505	0.0340902	0.0744662	0.139445	0.0569235	0.033225	0.0594656	0.0659791	0.0754075	0.0579829	0.0190813	0.00249037	0.0221952	0.0469264	0.00747046	0.0191709	0.0227675	0.0572508	0.146112
o	0.00131576	0.0150468	0.0880539	0.0485004	0.386285	0.114348	0.0581431	0.132707	0.0318159	0.0165568	0.0168475	0.00876784	0.0126723	0.00954334	0.00164418	0.0148225	0.00636712	0.00651767	0.0300447
p	0.00165146	0.00683781	0.0178058	0.102533	0.512966	0.0536354	0.191062	0.0438602	0.00617568	0.0236114	0.00164049	0.0101217	0.00986185	0.00358644	0.0002746	0.00219238	0.00415189	0.00198524	0.00604706
