 	la	manière	dont	on	nous	paye	est	tardive	</S>
e	0.613922	0.185925	0.0833041	0.0286836	0.032722	0.0349827	0.0131448	0.00120967	0.00610624
f	4.20729e-05	1.7667e-05	2.47665e-05	0.000374894	2.68539e-05	0.995417	0.00298934	0.00101159	9.57418e-05
u	0.000449106	0.000233032	0.000221355	0.00292576	0.000574333	0.982226	0.00393638	0.00909519	0.000338756
r	1.60917e-05	4.33026e-05	4.09876e-05	0.000348267	9.78578e-06	0.994076	0.00218591	0.00288901	0.00039032
ú	0.0277638	0.0180536	0.000846395	0.0315122	0.00340391	0.87556	0.0286815	0.00476852	0.00941004
r	0.0185674	0.0157276	0.00653258	0.037892	0.00851852	0.463788	0.0713308	0.0320628	0.345581
ú	0.176403	0.0537509	0.00994315	0.125127	0.0839712	0.230989	0.0700886	0.0247925	0.224934
y	0.277991	0.290261	0.196544	0.0674472	0.00475738	0.075207	0.0360105	0.00905275	0.0427288
é	0.256557	0.376358	0.191853	0.012047	0.00135795	0.0617833	0.0344938	0.0159006	0.0496493
é	0.0722465	0.0769057	0.28631	0.143263	0.0518255	0.248873	0.0482164	0.0167375	0.0556222
f	0.0039645	0.000961965	0.00219928	0.0281726	0.00471935	0.702454	0.159708	0.0572666	0.040554
u	0.0011255	0.000171163	0.00443142	0.0887444	0.0155091	0.762608	0.118162	0.00364679	0.00560233
r	0.000846865	0.000302247	0.00128467	0.0103958	0.00244152	0.92142	0.0211367	0.0128481	0.0293243
á	0.0378268	0.0056643	0.00897954	0.0645141	0.00617498	0.759096	0.0519472	0.0150206	0.0507762
b	0.00541915	0.0067401	0.0925745	0.348221	0.22355	0.105714	0.192583	0.0138171	0.0113802
á	0.000964677	7.80387e-05	0.00483087	0.370245	0.593488	0.00404027	0.0256995	0.000366589	0.00028716
a	0.000995554	8.32608e-05	0.0102412	0.288689	0.674745	0.000803957	0.0193604	0.000341215	0.00474035
b	0.000363283	0.000241914	0.00494109	0.302384	0.476626	0.0054966	0.198735	0.00182995	0.00938179
í	0.00224071	0.000700819	0.00229166	0.207533	0.687388	0.0175141	0.0736968	0.0060112	0.00262371
s	0.00107457	0.000268551	0.00893686	0.123179	0.840069	0.00112321	0.0161326	0.00128949	0.00792617
í	0.0088071	0.00174483	0.00974847	0.166398	0.614711	0.0108637	0.125272	0.0048966	0.0575581
é	0.00185557	0.000894154	0.00630443	0.116716	0.0637919	0.0325094	0.53004	0.199248	0.0486401
d	0.00195434	0.00104916	0.00238032	0.0416802	0.0408463	0.0658365	0.524922	0.309813	0.0115174
í	0.00151483	0.000209885	0.000591759	0.00633495	0.041621	0.0105232	0.23823	0.479937	0.221038
l	0.0124633	0.00125505	0.00389767	0.0322455	0.0804264	0.0177587	0.171736	0.403454	0.276764
o	0.0017468	0.00029239	0.00086317	0.0053723	0.0154763	0.00650892	0.0150148	0.716706	0.238019
d	0.000834724	0.000616326	0.000202861	0.000722129	0.00502972	0.0100515	0.0173315	0.7997	0.165511
í	0.000502501	0.000511675	0.000170739	0.000714132	0.000765541	0.0535507	0.0288497	0.870672	0.0442626
n	0.000283206	9.13308e-05	0.000128587	0.000753958	0.00166795	0.021584	0.0462612	0.698855	0.230375
g	0.00435933	0.00253101	0.00292932	0.00665722	0.0107605	0.0381871	0.131409	0.285179	0.517988
á	0.00479055	0.00609805	0.00410916	0.00252299	0.00799517	0.00611094	0.0321829	0.25245	0.68374
</S>	0.00239817	0.00107771	0.00529722	0.0121919	0.00801075	0.015058	0.0672653	0.123159	0.765542
