 	le	berger	fait	reposer	les	boeufs	car	ceux-ci	ont	beaucoup	marché	</S>
o	0.797582	0.129958	0.0216813	0.0070819	0.0261021	0.00709602	0.00682355	0.00189492	0.00145138	0.000279605	3.47821e-05	1.40636e-05
k	0.0138228	0.976546	0.00410951	0.00121788	0.000401375	0.00197894	0.000270605	0.000313601	0.000288194	0.000216397	0.000350418	0.000484156
y	0.000652231	0.9955	0.000684046	0.000889304	0.000108187	0.00109343	0.000245541	0.000123799	0.000201837	7.99479e-05	0.000353624	6.77988e-05
έ	0.00169265	0.991617	0.00275097	0.00205814	0.000163419	0.00101537	0.000245129	0.000141206	0.000112529	5.94456e-05	0.000117058	2.71472e-05
έ	0.0407954	0.892974	0.0210591	0.0168167	0.00552566	0.00301571	0.00395252	0.00242304	0.00380046	0.001732	0.000744299	0.00716089
l	0.607125	0.135825	0.165847	0.0327442	0.0179101	0.00259953	0.00885489	0.00568491	0.00905883	0.00597244	0.000753185	0.00762471
i	0.597289	0.0573731	0.0976359	0.0376496	0.0333663	0.0199191	0.0226297	0.0216378	0.0272442	0.0227674	0.0085469	0.0539413
a	0.65386	0.00579959	0.143898	0.0502131	0.0463709	0.009957	0.0220857	0.0201655	0.0105314	0.00982477	0.00292812	0.0243662
n	0.0372784	0.011526	0.452284	0.284436	0.0582176	0.0146292	0.0130072	0.0151846	0.027696	0.0312462	0.0117088	0.0427863
g	0.0722103	0.00392783	0.196672	0.257373	0.0801313	0.183801	0.0185402	0.0405515	0.032011	0.0448297	0.0142334	0.0557178
w	0.0154071	0.0243713	0.235253	0.514765	0.0193595	0.16882	0.00259411	0.00803164	0.0037944	0.00327699	0.00125808	0.00306969
έ	0.0117497	0.00551085	0.146312	0.378922	0.0414857	0.254966	0.0133347	0.0265015	0.0141672	0.0148115	0.0115335	0.0807054
m	0.00889874	0.00573835	0.220179	0.350905	0.0592364	0.0501245	0.00782939	0.0182125	0.0164022	0.0360139	0.0254572	0.201003
b	0.0120973	0.00139512	0.138577	0.195632	0.185422	0.164791	0.0860415	0.126699	0.0224514	0.010401	0.00262108	0.0538716
e	0.113033	0.000568726	0.13649	0.165232	0.326349	0.050152	0.0666982	0.0644313	0.0404603	0.00565312	0.00261264	0.0283196
b	0.0149318	0.000637945	0.108387	0.0813896	0.570296	0.0514158	0.0937335	0.041455	0.0174736	0.00415176	0.00118031	0.0149476
ó	0.00516716	0.00547461	0.0351464	0.0411526	0.272974	0.0586364	0.438825	0.0584632	0.0515438	0.00551814	0.00300303	0.024095
l	0.00592543	0.000114284	0.0287078	0.0253327	0.429455	0.116178	0.238873	0.0644816	0.0405989	0.00760033	0.00304306	0.0396891
á	0.003157	0.000919679	0.0120302	0.0224808	0.128678	0.141247	0.0698764	0.0641922	0.0729713	0.0618018	0.0231465	0.3995
a	0.00250539	0.000274106	0.0109904	0.0166591	0.157011	0.324568	0.251256	0.0969915	0.0400637	0.0351896	0.0126579	0.0518336
y	0.00294725	0.010054	0.02641	0.0713237	0.0951914	0.348918	0.282957	0.0691556	0.0365907	0.0217734	0.0205553	0.0141226
w	0.000716407	0.00176928	0.0208945	0.0504248	0.0841065	0.628753	0.0962716	0.01676	0.0133518	0.0338036	0.0254787	0.0276702
ω	0.000788611	0.000438905	0.0104168	0.0325764	0.0489867	0.571932	0.0611311	0.048707	0.0319078	0.031585	0.0461113	0.115418
