 	j'	ai	la	gorge	sèche	</S>
n	0.801626	0.123256	0.0152186	0.0206622	0.0389003	0.000337174
g	0.912922	0.0691574	0.00239208	0.0153796	0.00010819	4.10205e-05
á	0.748526	0.203159	0.015684	0.0322796	0.000266647	8.46721e-05
o	0.0415077	0.271956	0.39351	0.182354	0.057277	0.0533966
n	0.000905651	0.0214997	0.292324	0.629845	0.0205825	0.034843
g	0.00500653	0.0410371	0.0603593	0.851218	0.0130975	0.0292821
o	0.00281091	0.0131229	0.0740609	0.899803	0.00230539	0.00789733
n	0.00250471	0.00309598	0.00578725	0.931859	0.0428805	0.0138729
g	0.00470569	0.00652613	0.0256668	0.781976	0.0106619	0.170463
a	0.00109816	0.00252676	0.00521276	0.914632	0.0208287	0.0557019
ó	0.00334367	0.0726175	0.295033	0.204129	0.181317	0.24356
m	0.000264002	0.0237375	0.438663	0.0497263	0.163922	0.323687
i	0.000583326	0.00659106	0.0316781	0.00878639	0.163353	0.789009
k	8.4204e-06	0.000843399	0.0214411	0.0723838	0.388259	0.517064
y	2.32383e-07	3.8371e-05	0.0062731	0.237474	0.537029	0.219186
ε	1.39588e-05	0.00138875	0.030798	0.358447	0.513187	0.0961648
m	3.31521e-05	0.000509259	0.0216939	0.133658	0.610949	0.233156
ε	0.000812718	0.000719842	0.00826736	0.0433962	0.402778	0.544026
</S>	0.000180562	0.00318189	0.0257225	0.0049837	0.109104	0.856827
