 	l'	homme	coupe	la	branche	</S>
i	0.743817	0.253276	0.00134083	0.00131595	0.00016977	8.09476e-05
b	0.150298	0.832775	0.012517	0.00261318	0.000816791	0.000979609
a	0.0787515	0.852971	0.0365053	0.00740626	0.0213355	0.00303023
a	0.169188	0.649104	0.0783346	0.0130201	0.00991197	0.0804416
í	0.66849	0.216643	0.0454922	0.0142342	0.000604054	0.054536
k	0.0573773	0.0267093	0.724463	0.0852498	0.0249053	0.0812951
w	0.00541151	0.0243934	0.877913	0.0536557	0.0174168	0.0212091
ε	0.00314853	0.00787722	0.691454	0.0845819	0.116509	0.09643
r	0.0380864	0.0923391	0.339593	0.123079	0.137225	0.269678
í	0.0854354	0.0276744	0.44654	0.376755	0.0357822	0.0278127
e	0.0119559	0.00899266	0.0775394	0.454427	0.350863	0.0962217
t	0.00376915	0.00882283	0.0757094	0.237836	0.536217	0.137645
á	0.012769	0.0178354	0.0132482	0.263179	0.119473	0.573495
b	0.00787154	0.00571195	0.0188461	0.251497	0.410309	0.305764
h	0.00379966	0.00404077	0.0128886	0.0605048	0.89758	0.0211865
e	0.000487287	0.000623886	0.0208771	0.0275053	0.931809	0.0186972
y	0.00209144	0.00104107	0.0644461	0.158973	0.40837	0.365078
í	0.0372911	0.00426127	0.0788569	0.317315	0.248515	0.313761
b	0.00521606	0.00153242	0.0131083	0.144032	0.0805144	0.755597
v	0.00806532	0.00314464	0.0288557	0.0989321	0.787185	0.0738172
ú	0.0123559	0.0020581	0.0207389	0.121562	0.697293	0.145993
a	0.0276493	0.001094	0.0245708	0.158898	0.536414	0.251373
</S>	0.0102041	0.00439415	0.0180767	0.190701	0.0181128	0.758511
