 	il	construit	un	abri	en	forêt	</S>
w	0.986801	0.00692935	0.00342947	0.000300481	0.00133479	0.00117303	3.17478e-05
a	0.971413	0.00608183	0.0164086	0.000128551	0.00469498	0.00125183	2.16272e-05
l	0.387976	0.523082	0.0746201	0.00429973	0.00724958	0.000766777	0.00200544
á	0.144239	0.329662	0.237229	0.0103062	0.103777	0.0165009	0.158286
a	0.172367	0.206681	0.452387	0.0201049	0.0374189	0.0358918	0.0751485
t	0.00572712	0.924466	0.0473851	0.0191247	0.000837519	0.000690296	0.00176943
ó	0.00561112	0.547887	0.215591	0.223975	0.00247989	0.000395517	0.00405969
n	0.00347215	0.271396	0.324177	0.374808	0.00990738	0.0109242	0.00531541
g	0.0383711	0.302388	0.565212	0.0558986	0.0156371	0.00168183	0.0208115
á	0.149068	0.213686	0.380493	0.102063	0.0392845	0.00689429	0.108512
n	0.0245869	0.0867047	0.510191	0.166651	0.14007	0.0613775	0.0104192
d	0.0198994	0.118071	0.270352	0.0120221	0.0577492	0.0572852	0.464622
é	0.00360738	0.0445946	0.137521	0.110652	0.0712055	0.0908638	0.541555
e	0.0020737	0.0501511	0.143242	0.278667	0.124261	0.187815	0.213789
s	0.000711109	0.00245364	0.0781897	0.0975869	0.655628	0.0610796	0.104351
á	0.000364729	0.00169448	0.0485152	0.0809747	0.131984	0.117523	0.618944
k	0.00193433	0.00699638	0.0373405	0.0373831	0.123281	0.749427	0.0436377
ώ	0.000303892	0.000311485	0.00333035	0.0382511	0.00752082	0.930965	0.0193169
</S>	6.35232e-05	0.000250169	0.00207035	0.0587054	0.0071904	0.899167	0.032553
