 	sa	façon	de	parler	m'	énerve	</S>
e	0.33533	0.344029	0.268555	0.0366437	0.00931584	0.00167786	0.00444838
t	0.0120259	0.10754	0.0333939	0.535668	0.0146627	0.2789	0.0178092
i	0.00230236	0.0597557	0.0166007	0.756794	0.000852386	0.146279	0.0174158
i	0.0186422	0.199338	0.0781601	0.582673	0.0104784	0.0850402	0.025668
l	0.200312	0.320227	0.186464	0.138389	0.0186161	0.0625071	0.0734855
í	0.0446485	0.0309871	0.0276786	0.0300014	0.0280373	0.0486118	0.790035
y	0.246177	0.16174	0.353094	0.0545395	0.103605	0.0350856	0.045758
á	0.0846887	0.0446475	0.355093	0.186157	0.0361027	0.062507	0.230804
w	0.0537639	0.0203131	0.166867	0.545308	0.110611	0.081322	0.0218149
a	0.075432	0.0432458	0.312057	0.256527	0.207359	0.0355481	0.0698317
y	0.0307751	0.0283646	0.41945	0.165158	0.168516	0.087995	0.0997419
é	0.175807	0.0586601	0.109567	0.305171	0.0671321	0.21239	0.0712732
e	0.0481212	0.0151849	0.19688	0.242666	0.197184	0.195309	0.104655
f	0.00155611	0.00197752	0.00755279	0.0316125	0.06786	0.642083	0.247358
u	0.00058804	0.00219737	0.00748047	0.0453801	0.00535348	0.818031	0.12097
r	0.000569809	0.0012628	0.00862162	0.0220336	0.00485401	0.584826	0.377832
ú	0.00956627	0.00245537	0.0183268	0.0421128	0.047511	0.766867	0.113161
s	0.0101758	0.00971968	0.0760415	0.0278569	0.193671	0.126937	0.555598
á	0.00989616	0.00349181	0.0264888	0.0215447	0.182799	0.337897	0.417883
n	0.0569646	0.0141396	0.0865238	0.0653533	0.415528	0.214871	0.146619
g	0.00208737	0.000336772	0.00210431	0.00493421	0.937336	0.00724373	0.0459572
á	0.00170484	0.000297166	0.00348804	0.00466052	0.875006	0.00586969	0.108973
ó	0.0313774	0.0145559	0.0511066	0.0443623	0.209742	0.376853	0.272003
t	0.00548813	0.0173398	0.0708635	0.0664369	0.112185	0.422567	0.305119
é	0.00176602	0.0124155	0.0387972	0.0491431	0.0207418	0.58368	0.293457
m	0.000527781	0.00253207	0.010466	0.0120231	0.0183411	0.275741	0.680369
a	0.0127757	0.0101712	0.0357931	0.0151681	0.0322554	0.368852	0.524984
</S>	0.0242011	0.0160522	0.114744	0.0140071	0.230379	0.0475557	0.553062
