 	j'	en	ai	assez	des	doutes	de	mon	père	</S>
n	0.78429	0.0677408	0.0336523	0.0382042	0.0127708	0.017275	0.0239065	0.0211714	0.000837148	0.00015208
g	0.92605	0.0100756	0.0109308	0.00224373	0.000865442	0.00157917	0.00511096	0.0429645	0.000117114	6.23614e-05
á	0.949209	0.0112431	0.00958731	0.00145713	0.00114508	0.00138999	0.00247324	0.0204515	0.00295001	9.35106e-05
í	0.0667449	0.137711	0.166778	0.0686119	0.0932418	0.0857455	0.0802133	0.0736405	0.0302562	0.197056
m	0.00581353	0.350118	0.330602	0.176217	0.0602152	0.0132422	0.00830815	0.00219741	0.00346818	0.0498185
i	0.000643131	0.181514	0.162268	0.288624	0.304137	0.0388542	0.0109706	0.00074862	6.20382e-05	0.0121789
s	0.000331105	0.184322	0.163716	0.346018	0.218907	0.0478032	0.0108508	0.000645477	0.000158285	0.0272477
á	0.000749816	0.100729	0.287223	0.185915	0.163882	0.161784	0.0396268	0.000985329	0.000457584	0.058648
á	0.00142163	0.0369372	0.106558	0.154143	0.26281	0.128294	0.12197	0.0146095	0.00130218	0.171953
o	0.000880081	0.0309275	0.0868355	0.115278	0.24959	0.324118	0.0967431	0.0819131	0.00713105	0.00658337
y	0.000107571	0.00305539	0.00775995	0.0658434	0.16363	0.505601	0.233074	0.00473139	0.00661682	0.00958058
ú	0.000397071	0.0147927	0.0407244	0.0308133	0.0776617	0.576872	0.148153	0.0211506	0.0299431	0.0594926
r	0.00380398	0.00356875	0.012997	0.0283666	0.0863693	0.615038	0.15261	0.0418381	0.0183301	0.0370791
á	2.71824e-05	0.00107337	0.0047043	0.0243178	0.145073	0.500827	0.284613	0.0291673	0.00159969	0.00859792
t	0.000404854	0.00613507	0.0286165	0.0355665	0.067914	0.112439	0.187601	0.498858	0.0284057	0.0340598
á	0.000296793	0.000434246	0.00225912	0.0123578	0.0148389	0.0478843	0.0431659	0.0143012	0.841949	0.0225127
á	0.00034118	0.000177434	0.000514447	0.00124283	0.0020769	0.00408689	0.0144258	0.0158124	0.944812	0.0165104
y	0.000732868	0.00513068	0.00741073	0.0113516	0.0256355	0.0520167	0.165008	0.353946	0.189013	0.189754
a	0.000396056	0.00393034	0.0146917	0.0113722	0.0285039	0.0466011	0.177692	0.492296	0.0932412	0.131276
b	0.000136875	0.00101269	0.00264081	0.00179049	0.00354631	0.00930273	0.0498379	0.792917	0.103667	0.0351482
í	0.00321188	0.00194883	0.0122795	0.0175337	0.0251551	0.0396322	0.215272	0.342926	0.304831	0.03721
s	0.00339837	0.000646226	0.00570008	0.00668638	0.0134474	0.0317321	0.123091	0.36495	0.370342	0.0800059
í	0.000961279	0.000248435	0.00147965	0.00144441	0.00352218	0.0216953	0.22141	0.196987	0.123092	0.42916
m	0.000241964	0.00171887	0.00749818	0.00952881	0.0137611	0.0194298	0.148338	0.219929	0.0332897	0.546264
é	0.00011578	0.0185644	0.0113712	0.0390736	0.0452748	0.0778599	0.172775	0.149165	0.00898479	0.476815
k	8.55857e-05	0.00351632	0.00578964	0.0216666	0.0288027	0.0494968	0.268116	0.101149	0.00915484	0.512223
ú	0.000305556	0.00356619	0.0156661	0.0555652	0.0463657	0.0737286	0.355071	0.0236998	0.0611135	0.364919
n	0.00343828	0.00217029	0.00411158	0.00898915	0.0611173	0.26435	0.455194	0.048008	0.00542784	0.147194
y	0.00152896	0.000741927	0.00416889	0.00694068	0.0250305	0.20184	0.280347	0.078298	0.0126411	0.388463
u	0.00174317	0.000415185	0.00141068	0.00315968	0.0145945	0.204904	0.259343	0.0770305	0.0823191	0.35508
</S>	0.000369346	0.00252299	0.00655892	0.00827743	0.0160012	0.0403897	0.194675	0.44061	0.00632064	0.284276
