 	cet	enfant	ressent	la	fatigue	</S>
m	0.557463	0.428337	0.00682721	0.00267774	0.00450376	0.000190709
w	0.0390241	0.956953	0.00256603	0.000802135	1.72795e-05	0.000637602
á	0.00426294	0.995281	0.000432254	1.35884e-05	5.1318e-06	5.4071e-06
n	0.308293	0.637958	0.0248518	0.00734928	0.0033017	0.0182458
a	0.185474	0.709705	0.0460092	0.00906877	0.00458148	0.0451625
w	0.875907	0.0701034	0.0278987	0.0135523	0.002914	0.00962488
ó	0.47394	0.0961581	0.19752	0.0936486	0.0306092	0.108125
l	0.0777345	0.0266983	0.528742	0.209645	0.0161169	0.141063
á	0.110109	0.0264148	0.093494	0.222019	0.0717767	0.476186
a	0.444872	0.128034	0.114923	0.216617	0.0726054	0.0229474
b	0.0060183	0.00179638	0.888392	0.070822	0.0220333	0.0109375
ó	0.00246689	0.00124467	0.893086	0.0449093	0.0477786	0.0105144
n	0.00459227	0.000581843	0.895586	0.0218252	0.0600402	0.0173743
d	0.0338055	0.00325907	0.601775	0.131187	0.0507715	0.179202
á	0.0419082	0.0085088	0.577737	0.0947072	0.0276778	0.249461
e	0.0289984	0.00595401	0.149065	0.579863	0.198009	0.0381108
s	0.000850154	0.00186824	0.0401311	0.185098	0.726198	0.045855
y	0.00241898	0.000453448	0.126381	0.200501	0.565748	0.104498
έ	0.002845	0.00111948	0.0909851	0.249468	0.446819	0.208763
έ	0.000388367	4.47737e-05	0.0607536	0.0955086	0.53303	0.310275
l	0.000505969	4.23782e-05	0.00788984	0.133873	0.169344	0.688345
έ	0.00129897	6.95826e-05	0.0195976	0.181287	0.268513	0.529233
</S>	0.00660655	0.000422475	0.0183156	0.17515	0.0819021	0.717603
