 	tu	n'	as	pas	bien	cuit	les	aliments	</S>
n	0.464725	0.149153	0.106915	0.0783032	0.0877862	0.0682506	0.0235508	0.0116712	0.00964504
ω	0.9082	0.0256457	0.0212479	0.0127098	0.00558802	0.00862004	0.00808881	0.00863192	0.00126762
ó	0.166665	0.554313	0.123631	0.0521539	0.0194851	0.0313	0.0296686	0.00897932	0.0138036
d	0.0204977	0.166125	0.112342	0.119168	0.137365	0.0960254	0.103059	0.0725957	0.172822
z	0.00111164	0.0180121	0.00880859	0.0241754	0.0219691	0.0330231	0.0260722	0.0236706	0.843157
e	0.439831	0.141583	0.104247	0.0844049	0.0174423	0.0423483	0.0523847	0.0744848	0.0432737
b	0.00611244	0.0590893	0.0819081	0.168569	0.143657	0.0562171	0.173247	0.0907631	0.220436
e	0.00650407	0.0546302	0.13992	0.122503	0.157789	0.0705451	0.15512	0.234708	0.0582806
a	0.00316277	0.111786	0.25448	0.171731	0.18633	0.0529795	0.107992	0.0535878	0.0579516
o	0.00225604	0.0600535	0.102183	0.178521	0.25062	0.119675	0.166541	0.0804013	0.03975
b	3.504e-05	0.00380526	0.0029538	0.0258402	0.182348	0.384418	0.11912	0.183096	0.0983835
h	5.60793e-05	0.00531889	0.00473684	0.0316082	0.252758	0.251892	0.0644689	0.183907	0.205254
y	6.98426e-05	0.00544143	0.00318891	0.0278912	0.246208	0.233761	0.078665	0.182157	0.222618
é	0.00164631	0.0401854	0.0106437	0.0839254	0.203257	0.243474	0.107041	0.155813	0.154014
s	0.000171142	0.0204213	0.0309108	0.100257	0.136739	0.13572	0.0900642	0.253623	0.232094
a	0.000302664	0.0191997	0.0398781	0.138743	0.0914475	0.153518	0.125663	0.27293	0.158319
k	0.000195552	0.0127982	0.0376634	0.0988425	0.0675496	0.054727	0.306785	0.1557	0.265739
a	0.000689737	0.00210626	0.0130437	0.0309168	0.0839065	0.162072	0.0898798	0.359082	0.258303
á	4.54753e-05	0.000852666	0.00581892	0.0156997	0.0690129	0.110262	0.0518374	0.113115	0.633356
</S>	0.0040899	0.0180299	0.0303649	0.0353543	0.0292834	0.049087	0.190905	0.0667464	0.576139
