 	reste	auprès	de	la	maison	</S>
d	0.950361	0.030964	0.00637532	0.0117616	0.000391693	0.000146156
z	0.88711	0.0294664	0.00447692	0.00802315	0.0313195	0.0396045
e	0.909718	0.0294283	0.0118219	0.0103282	0.0236946	0.0150086
e	0.783338	0.0644306	0.0188521	0.00715668	0.00396174	0.122261
m	0.284461	0.291182	0.260408	0.01665	0.00262839	0.14467
á	0.100379	0.304701	0.429079	0.0663566	0.0114387	0.0880455
b	0.1891	0.177312	0.186033	0.222863	0.205706	0.0189869
ε	0.0896232	0.57279	0.19716	0.0980064	0.0293754	0.0130443
έ	0.032365	0.628089	0.233392	0.0610996	0.0223656	0.0226883
b	0.043984	0.0717333	0.476379	0.180681	0.144436	0.0827859
ε	0.0633085	0.346545	0.331165	0.0842301	0.0167362	0.158015
έ	0.0155546	0.102354	0.457703	0.0820281	0.0944481	0.247911
l	0.0112513	0.0362432	0.38158	0.140694	0.201513	0.228718
a	0.00436365	0.00868823	0.266757	0.189045	0.232589	0.298556
n	0.00533094	0.0112095	0.169407	0.324126	0.276478	0.213449
d	0.000713818	0.000523821	0.0296378	0.238027	0.680319	0.0507794
é	0.000113121	0.000132024	0.00295627	0.0251394	0.901638	0.0700213
e	0.0010254	0.00277086	0.0542034	0.114724	0.173422	0.653854
</S>	0.00222642	0.0085021	0.190508	0.147648	0.0317985	0.619318
