 	les	pattes	de	la	perdrix	sont	rouges	</S>
a	0.911668	0.0545308	0.0283755	0.0036908	0.000676505	0.000893388	0.000144769	2.02787e-05
k	0.0500895	0.932957	0.0129706	0.00127383	0.000524191	0.00060049	0.00128457	0.00029935
o	0.0075884	0.984101	0.00346733	0.00100898	0.000286533	0.000185663	0.0027544	0.000607668
o	0.00100554	0.983318	0.0126297	0.00124821	9.67122e-05	0.000305085	0.000534617	0.000862134
m	0.191066	0.0334495	0.648368	0.105171	0.00674342	0.00951543	0.000271095	0.00541612
é	0.182023	0.0235934	0.302954	0.321155	0.0721993	0.0495469	0.00132119	0.0472075
n	0.22687	0.00469144	0.125261	0.284307	0.322885	0.0176794	0.00272365	0.0155829
g	0.0345015	0.000339115	0.0457935	0.12609	0.756895	0.0180401	0.00033727	0.0180035
w	0.000690586	0.000251067	0.00664877	0.0432078	0.943476	0.00284923	0.000608633	0.00226818
a	0.00165907	0.000611997	0.00908594	0.0807935	0.881971	0.00255781	0.000492673	0.0228275
a	0.00622628	0.00463198	0.141373	0.258812	0.238465	0.0587188	0.00724277	0.28453
l	0.0214629	0.000846842	0.214788	0.239392	0.105026	0.32883	0.0137333	0.0759212
é	0.0134464	0.00103078	0.0471537	0.12637	0.266343	0.39442	0.00404406	0.147192
á	0.00738532	0.000265835	0.0367289	0.0850553	0.097184	0.684281	0.0198202	0.0692792
d	0.00628995	0.00363222	0.0144252	0.0269893	0.040678	0.575013	0.256575	0.0763972
í	0.00227993	0.000297119	0.00556987	0.0307116	0.0953882	0.600767	0.0493006	0.215686
t	0.00514533	8.56747e-05	0.0101283	0.0348503	0.0312993	0.272112	0.303058	0.34332
s	0.0013714	0.000404299	0.00307029	0.0182067	0.0335306	0.0325574	0.844051	0.0668086
ω	0.000163352	0.000281784	0.00304728	0.0137237	0.0173197	0.0222319	0.907365	0.0358674
t	5.85713e-05	7.44395e-05	0.00447666	0.0196782	0.0203296	0.0515317	0.514081	0.38977
s	0.000459833	0.000680993	0.00587843	0.00515283	0.00600725	0.0456567	0.797406	0.138758
ω	3.37519e-05	0.000453082	0.00078366	0.00198088	0.00220217	0.00456738	0.973178	0.0168008
</S>	0.00019906	8.23205e-05	0.00235748	0.00798583	0.0105604	0.04044	0.474442	0.463933
