 	notre	mère	est	déjà	arrivée	à	la	maison	</S>
n	0.185015	0.5959	0.146532	0.0107861	0.0148838	0.0111604	0.0279955	0.00448402	0.00324311
g	0.0269055	0.965979	0.00230358	0.000105702	0.000101594	0.000330189	0.00310188	0.00114578	2.6908e-05
ó	0.0337729	0.949139	0.00285439	0.000938411	0.00024789	0.000639159	0.00136954	0.0110198	1.9088e-05
o	0.0393503	0.933096	0.00459852	0.00976711	0.00139881	0.00243279	0.00203166	0.00364367	0.00368101
y	0.375342	0.0993505	0.323704	0.0943382	0.0172226	0.0115953	0.016603	0.00422038	0.0576237
a	0.795026	0.0557181	0.0735795	0.0196638	0.00742247	0.00664505	0.0119251	0.014719	0.0153012
b	0.980364	0.00199579	0.01382	0.00150243	0.00014567	0.000103467	0.000504485	0.000652355	0.000911405
í	0.985616	0.00501692	0.00491914	0.00123394	0.000292689	0.000616103	0.0010036	0.000466333	0.000835202
s	0.983618	0.00299064	0.00522259	0.00115817	9.27033e-05	0.000259797	0.00162568	0.00263191	0.00240024
í	0.489752	0.198293	0.0576556	0.00739256	0.00074781	0.0113099	0.0507816	0.104226	0.0798419
á	0.0694052	0.0120784	0.680475	0.149183	0.0325756	0.0126038	0.00869919	0.00351768	0.0314614
m	0.000991523	0.00233037	0.225372	0.594066	0.137551	0.0220772	0.00298537	0.000639866	0.013986
i	0.000358879	3.61256e-05	0.15134	0.554513	0.241275	0.0347589	0.00767781	0.0004395	0.00960139
s	0.000108247	0.000279887	0.0865754	0.674778	0.195255	0.0352534	0.00240516	0.00114765	0.00419714
á	0.000708964	0.000126091	0.0170855	0.759844	0.150875	0.0574306	0.00646682	0.00160561	0.00585788
á	0.000640835	5.49902e-05	0.184791	0.270901	0.174464	0.103474	0.123337	0.0477746	0.094562
o	0.00034521	0.000925012	0.0551094	0.0618249	0.209732	0.230197	0.250127	0.17514	0.0165988
p	5.16576e-05	7.5211e-05	0.00241793	0.0279532	0.485653	0.435675	0.0292647	0.0124425	0.00646681
f	1.88015e-06	5.25253e-06	0.00236577	0.025902	0.56764	0.374906	0.00986744	0.000417354	0.0188943
a	4.78765e-06	2.13232e-06	0.00226856	0.0229387	0.187257	0.657598	0.0485909	0.00514067	0.0761998
n	4.12764e-05	7.76229e-06	0.00314383	0.00406222	0.0266518	0.237659	0.53349	0.145751	0.049192
d	0.00181017	7.97038e-05	0.00132321	0.00127733	0.00210695	0.0408415	0.178333	0.715838	0.0583898
é	0.000198097	0.000105582	0.00234272	0.00333558	0.00634212	0.125666	0.319614	0.336088	0.206307
e	0.000158751	4.13217e-05	0.0140959	0.0146395	0.0247341	0.135594	0.311585	0.144263	0.354889
</S>	0.000252219	8.70364e-06	0.00398688	0.00319608	0.0355146	0.0995023	0.140135	0.0155143	0.70189
