 	alors	le	soleil	se	mit	à	briller	</S>
l	0.617404	0.256192	0.0630702	0.0253835	0.022796	0.00854391	0.00634407	0.000265934
o	0.767407	0.198629	0.0221107	0.00592624	0.00109563	0.00375327	0.000408261	0.000669496
p	0.598279	0.374685	0.00800719	0.00273447	0.00288261	0.00104373	0.00194301	0.0104253
f	0.703157	0.161443	0.0130667	0.0213147	0.0355653	0.00969367	0.0251006	0.0306589
a	0.516111	0.352251	0.0355721	0.0268669	0.0362383	0.0145945	0.00559325	0.0127728
m	0.193116	0.43043	0.226418	0.0659144	0.0270692	0.0230062	0.00783582	0.0262108
w	0.0188559	0.223666	0.650161	0.0787367	0.00398188	0.00966297	0.00223429	0.0127009
é	0.00634953	0.045142	0.750055	0.124816	0.00823047	0.0037813	0.00877796	0.0528483
s	0.0179337	0.0954581	0.712025	0.101281	0.0122722	0.0146037	0.00365887	0.0427682
é	0.0148928	0.0883192	0.745152	0.0376775	0.00878775	0.00928909	0.0104613	0.08542
t	0.028641	0.116643	0.333974	0.369968	0.0658532	0.069426	0.00217476	0.0133203
i	0.0585409	0.0933399	0.0864729	0.157648	0.480814	0.0461085	0.0387928	0.0382837
ó	0.00435133	0.0148412	0.0541176	0.373296	0.394159	0.10104	0.0259237	0.0322712
y	0.00127809	0.00766343	0.0378622	0.24141	0.327031	0.256871	0.0214933	0.106391
ε	0.00279653	0.0250004	0.125279	0.138859	0.212232	0.391377	0.0162796	0.0881759
í	0.00205845	0.00996517	0.0742946	0.0762631	0.204881	0.307635	0.0390779	0.285824
o	0.00088147	0.00541977	0.0251467	0.0811721	0.213741	0.503734	0.0695179	0.100387
b	0.00429261	0.00993804	0.00411672	0.0116365	0.241674	0.196406	0.509851	0.0220856
á	0.000820196	0.00502988	0.00581984	0.0312882	0.244413	0.0712056	0.625004	0.0164191
n	0.00133966	0.00450012	0.0159467	0.0549242	0.239889	0.213165	0.216129	0.254106
d	0.000845134	0.00462888	0.0160043	0.0906371	0.312137	0.184249	0.270445	0.121053
á	0.0013706	0.00455313	0.0217633	0.0582359	0.0937964	0.193427	0.27863	0.348224
i	0.00334841	0.0036069	0.011825	0.0345993	0.0858042	0.402904	0.102978	0.354934
b	0.00267681	0.0050617	0.00427591	0.0149323	0.0842874	0.183502	0.552435	0.152829
á	0.000263825	0.00268048	0.0085595	0.0213348	0.047912	0.101839	0.801014	0.0163958
l	0.000383713	0.00252806	0.0063433	0.0220507	0.0839503	0.112608	0.516046	0.25609
a	0.000583163	0.00118675	0.000853659	0.01215	0.121979	0.0791912	0.321216	0.46284
</S>	0.000520526	0.00298581	0.00480029	0.0180879	0.0498595	0.243483	0.0844376	0.595826
