 	lève	la	main	en	l'	air	</S>
n	0.574256	0.213444	0.176887	0.0226692	0.00985593	0.00133642	0.00155223
y	0.255871	0.710003	0.0184233	0.00565084	0.00937155	9.06916e-05	0.000589124
á	0.240211	0.709082	0.0113799	0.0103001	0.0144802	0.00242354	0.0121242
r	0.0664226	0.649753	0.157298	0.01116	0.0148063	0.00620843	0.0943511
á	0.271254	0.265074	0.0629618	0.0926205	0.0244653	0.0063486	0.277275
ε	0.170192	0.17276	0.284337	0.206814	0.0971279	0.00887152	0.0598981
b	0.0750193	0.151895	0.584983	0.0956387	0.0573442	0.0148477	0.0202722
ώ	0.0590412	0.0772148	0.764555	0.0502901	0.0174114	0.020656	0.010832
ω	0.0263002	0.0613334	0.729484	0.0797602	0.0387937	0.0363656	0.0279634
l	0.0416449	0.0303337	0.0162555	0.457433	0.421421	0.0118896	0.0210228
a	0.0500621	0.0514299	0.0525975	0.305613	0.213217	0.0584674	0.268614
i	0.0153223	0.0180232	0.0675951	0.217654	0.236632	0.263565	0.181208
k	0.00652188	0.00635178	0.0107688	0.126649	0.129985	0.468669	0.251055
o	0.0039217	0.00522286	0.0132719	0.0353939	0.0364903	0.862167	0.043532
ó	0.00178165	0.00253467	0.0241023	0.0216535	0.0351261	0.831277	0.0835245
</S>	0.00832611	0.00767107	0.024207	0.0665695	0.114088	0.188384	0.590754
