 	seigneur	ait	pitié	de	nous	</S>
o	0.896095	0.0669772	0.0242559	0.0111325	0.0011481	0.000391002
k	0.133748	0.862773	0.00286198	0.000271086	6.74044e-05	0.000278972
o	0.0450269	0.945889	0.00444051	0.00215435	7.1712e-05	0.0024178
n	0.101517	0.878004	0.00980119	0.00599483	0.000410686	0.00427261
d	0.274753	0.65316	0.0376091	0.0211286	0.00136872	0.0119799
z	0.236155	0.752547	0.00481604	0.00121532	9.99311e-05	0.00516615
i	0.0390855	0.942396	0.00403349	0.000914824	6.12558e-05	0.0135089
k	0.110871	0.307618	0.111423	0.204125	0.00673167	0.259232
a	0.135441	0.161216	0.45297	0.150373	0.00575408	0.0942463
y	0.0252486	0.0510894	0.288116	0.204172	0.0367707	0.394603
á	0.0301794	0.140363	0.455682	0.31905	0.00269997	0.0520258
b	0.0040722	0.0021873	0.482233	0.453371	0.0395204	0.0186165
í	0.00346737	0.00103495	0.206304	0.50083	0.197738	0.0906262
s	0.00476512	0.00161956	0.199238	0.295755	0.438851	0.0597708
í	0.000798419	0.00115214	0.322643	0.185163	0.288219	0.202025
n	0.000664962	0.00127535	0.273806	0.545428	0.0567591	0.122067
y	0.00139428	0.000297833	0.589503	0.205889	0.170325	0.0325909
i	0.00057067	0.000321871	0.651752	0.186754	0.138947	0.0216547
n	0.00108793	0.00159079	0.749645	0.132203	0.0548502	0.0606234
g	0.00125457	0.00447686	0.219244	0.475112	0.0147853	0.285127
a	0.00192436	0.0301671	0.532268	0.212438	0.0185152	0.204687
</S>	0.00099092	0.00170927	0.150503	0.212208	0.0672109	0.567378
