 	pourquoi	n'	as-tu	pas	gardé	une	partie	de	la	nourriture	</S>
t	0.83388	0.0970349	0.0266371	0.0167071	0.00919072	0.0082015	0.000476309	0.00269145	0.00432298	0.000778209	7.94756e-05
s	0.627726	0.225887	0.0661736	0.0369305	0.00622918	0.00857103	0.00369978	0.00842007	0.010973	0.00320856	0.00218113
í	0.300055	0.484337	0.112367	0.0384663	0.0116893	0.0260524	0.0107484	0.00667373	0.00532714	0.00178836	0.00249443
n	0.456259	0.119166	0.0196247	0.00847081	0.059088	0.00313147	0.00358239	0.00921599	0.0039153	0.0108766	0.306669
a	0.156756	0.0327831	0.0369988	0.0171594	0.0136707	0.0119947	0.0255146	0.0392502	0.014091	0.0175988	0.634183
n	0.161879	0.331775	0.223396	0.16989	0.0150356	0.0153276	0.0126149	0.0108776	0.00790034	0.005728	0.0455756
d	0.411305	0.0903314	0.190287	0.0710929	0.0188943	0.012779	0.0225319	0.0213793	0.0127601	0.00117776	0.147461
e	0.380725	0.0876481	0.374572	0.0832361	0.0245588	0.00824512	0.0161515	0.00442361	0.00314727	0.000459817	0.0168325
n	0.108698	0.141738	0.344561	0.204588	0.078029	0.0187681	0.0239421	0.0136695	0.00856664	0.00123461	0.0562041
ω	0.207608	0.159863	0.309181	0.168846	0.0419861	0.00972394	0.0118759	0.00934088	0.00561	0.000884711	0.0750818
á	0.0358551	0.110221	0.277155	0.326485	0.0691273	0.0476595	0.0273717	0.0201802	0.0135031	0.00402357	0.0684173
d	0.0127014	0.0983719	0.160206	0.114562	0.387887	0.110558	0.0481544	0.011644	0.00347846	0.00201453	0.0504226
z	0.00290479	0.0389653	0.0848695	0.112849	0.114688	0.0987651	0.122092	0.0480565	0.0124689	0.00564449	0.358697
e	0.04645	0.0690429	0.263837	0.347686	0.00524038	0.095789	0.150278	0.00783162	0.00217944	0.00164904	0.0100162
a	0.0107216	0.0256346	0.125843	0.277297	0.136896	0.226814	0.044923	0.0506225	0.0439822	0.0101909	0.0470757
t	0.00246199	0.0118381	0.0426039	0.0331037	0.102495	0.338105	0.305738	0.087343	0.0192626	0.0120114	0.0450369
ú	0.000529121	0.0080879	0.020579	0.0194732	0.0458582	0.242433	0.371427	0.147404	0.0155603	0.0415767	0.0870722
n	0.000509742	0.00278398	0.0195554	0.0397786	0.0561149	0.299043	0.261333	0.0849604	0.0168562	0.039918	0.179146
g	0.0119459	0.00846643	0.122205	0.134457	0.0586069	0.231346	0.215722	0.0890418	0.0558511	0.0246317	0.047727
u	0.0789201	0.0182015	0.0926478	0.0677464	0.0456034	0.298216	0.226834	0.078768	0.0512778	0.018008	0.0237762
o	0.00194479	0.00171149	0.0182196	0.0299659	0.00566968	0.311748	0.190718	0.225647	0.176898	0.0112599	0.0262177
y	0.000364121	0.00384416	0.00609215	0.00626091	0.00103477	0.0827185	0.338164	0.289941	0.0765043	0.154253	0.0408227
u	0.00121284	0.00626847	0.0173172	0.0157291	0.00184864	0.0805525	0.508038	0.131116	0.0615146	0.0427108	0.133692
l	0.0016675	0.0013544	0.0161893	0.0268308	0.000926159	0.0645123	0.377157	0.157933	0.11565	0.0339009	0.203879
u	0.000282974	0.000501803	0.00987046	0.0230827	0.000635118	0.0543434	0.176602	0.252764	0.302689	0.100038	0.0791911
s	5.63542e-05	0.000280057	0.0026716	0.00538504	0.000429814	0.0237016	0.0349111	0.271045	0.384902	0.0441418	0.232475
a	0.00122304	0.00219365	0.00691311	0.00972323	0.000405078	0.0476008	0.140847	0.169408	0.242479	0.206677	0.172531
k	0.000242609	0.00053998	0.00265402	0.00411417	0.000204419	0.00950328	0.0202439	0.0905014	0.300655	0.278974	0.292367
a	0.000530002	0.00153494	0.00228869	0.00232771	0.000519238	0.00946019	0.0176157	0.0703912	0.0542414	0.755984	0.0851069
á	9.2408e-05	0.000125639	0.000188761	0.000185241	0.000495969	0.00231214	0.00791427	0.0324087	0.0321706	0.468252	0.455855
</S>	0.000723815	0.00404869	0.00891071	0.00649324	0.00282943	0.0100438	0.0144729	0.0744935	0.189629	0.109509	0.578847
