 	je	ne	comprends	pas	la	manière	dont	ma	femme	boude	contre	moi	</S>
e	0.143769	0.0656078	0.0710041	0.128316	0.13838	0.227999	0.0884244	0.00728566	0.00206643	0.00824843	0.0294018	0.00164371	0.0878534
f	0.0009176	0.00901437	0.0105334	0.00579153	0.0127342	0.00524166	0.0822376	0.00324078	0.0322215	0.478118	0.329467	0.0203403	0.0101415
u	0.00216362	0.00938836	0.005595	0.00898688	0.0113572	0.0101201	0.0281461	0.0240218	0.00434342	0.28275	0.569502	0.0224395	0.0211861
u	2.63809e-05	0.000899141	0.000810283	0.000238657	0.000817521	0.00360028	0.0438385	0.00537502	0.000739383	0.486659	0.362266	0.0118316	0.0828981
l	0.00186683	0.0340626	0.0624665	0.0366405	0.054317	0.0305482	0.125267	0.0241751	0.0211153	0.248601	0.272234	0.0273931	0.0613119
ú	0.00844193	0.0407853	0.0378326	0.0179432	0.0360755	0.0147655	0.0481799	0.0696141	0.0669439	0.173446	0.10759	0.0884511	0.289931
l	0.00115618	0.0380409	0.0754687	0.0417775	0.104873	0.0555187	0.0598541	0.0139841	0.0233534	0.260589	0.0765394	0.0189345	0.22991
ú	0.0295792	0.171978	0.116086	0.0309243	0.0488186	0.0181159	0.0809092	0.0260944	0.041992	0.124938	0.0388798	0.0704217	0.201264
y	0.0127438	0.217104	0.165825	0.0721829	0.0962651	0.0656396	0.0956268	0.0238791	0.0306705	0.0696845	0.0386681	0.0157324	0.095978
é	0.0178162	0.262672	0.214184	0.0775795	0.079088	0.0393003	0.059332	0.0250608	0.00684672	0.0798284	0.033063	0.0155154	0.0897136
é	0.0469806	0.139433	0.168998	0.0912486	0.124192	0.083605	0.0790962	0.0475585	0.0239778	0.0661291	0.0567022	0.0266103	0.0454691
f	0.00566798	0.0243863	0.0562375	0.018019	0.018273	0.00982757	0.0471518	0.0129656	0.0417603	0.351034	0.172083	0.0507312	0.191863
u	0.00064509	0.0312473	0.0762453	0.0183684	0.0182712	0.00729258	0.0612838	0.00630368	0.00419493	0.325151	0.297454	0.0298188	0.123723
u	0.000451207	0.00745572	0.0385156	0.0173521	0.0362326	0.00789451	0.0747547	0.0120494	0.00385079	0.39105	0.225061	0.0527851	0.132547
l	0.00231261	0.0237759	0.0805076	0.055209	0.0724613	0.0267042	0.156057	0.108273	0.0550485	0.128542	0.169615	0.040763	0.0807304
á	0.00748266	0.0200965	0.105352	0.0530614	0.102761	0.0616422	0.255485	0.119417	0.0205277	0.0432187	0.103567	0.0413061	0.0660831
m	0.00509757	0.00548621	0.0171715	0.0295458	0.0453003	0.0342568	0.139167	0.161319	0.297948	0.0422628	0.0689134	0.130172	0.0233604
w	0.000142178	0.00141884	0.00231677	0.000896515	0.00164281	0.0013908	0.00285486	0.00897195	0.955803	0.00750633	0.00322029	0.0097481	0.00408763
á	0.000212925	0.00218468	0.0066283	0.00394356	0.013762	0.00282	0.0336627	0.00622097	0.798449	0.00988363	0.0291904	0.0801215	0.0129206
s	0.00614228	0.00331975	0.0230427	0.0494873	0.155092	0.0700056	0.137585	0.119269	0.323063	0.013571	0.0360892	0.0520365	0.0112983
í	0.00374514	0.0146858	0.0244591	0.0319047	0.0766089	0.0498487	0.489021	0.0485055	0.0566548	0.0472933	0.0259433	0.0436641	0.0876662
l	0.00326357	0.00903497	0.0247031	0.0968885	0.111236	0.106071	0.074423	0.108279	0.0576193	0.127263	0.18022	0.049211	0.0517875
a	0.00732137	0.031553	0.0601255	0.0242395	0.0451948	0.0414333	0.0468935	0.172168	0.00576207	0.123779	0.0894828	0.0485974	0.303449
n	0.00154607	0.0126332	0.0324817	0.0492711	0.0977589	0.0296914	0.0462067	0.202019	0.0137369	0.127748	0.108	0.14643	0.132477
g	0.0129213	0.00470836	0.0267003	0.00640668	0.0184404	0.00227342	0.045231	0.302178	0.0209203	0.0316401	0.0227394	0.4718	0.034041
