 	il	brave	le	danger	</S>
w	0.904866	0.0787552	0.0127935	0.00336204	0.000223574
a	0.948689	0.0171647	0.0306801	0.0032338	0.000232863
l	0.638236	0.202183	0.0999052	0.0107912	0.048885
á	0.111158	0.13161	0.109704	0.0400891	0.607439
a	0.469623	0.145565	0.103374	0.0604434	0.220994
f	0.0559865	0.780447	0.0760611	0.0283021	0.0592027
u	0.0138684	0.909894	0.04757	0.0046789	0.0239885
s	0.00206593	0.977041	0.0146171	0.00138397	0.00489208
á	0.0595701	0.451491	0.400494	0.0403725	0.0480725
e	0.0829549	0.0434655	0.808564	0.0345956	0.0304201
b	0.0226513	0.0240512	0.624036	0.266003	0.0632578
é	0.00683353	0.0118771	0.436613	0.312539	0.232138
e	0.00282088	0.0178423	0.40361	0.291767	0.28396
y	0.00298955	0.00203762	0.329516	0.379886	0.285571
í	0.0232289	0.0103587	0.21084	0.559756	0.195816
p	0.00301655	0.00449476	0.112935	0.530881	0.348673
έ	0.000836603	0.00772138	0.0613554	0.673984	0.256103
ε	0.001002	0.00925547	0.0860192	0.617342	0.286381
l	0.00182951	0.00236792	0.071407	0.292225	0.63217
á	0.00105641	0.00346201	0.101507	0.434772	0.459202
k	0.0047811	0.00528499	0.0698364	0.233052	0.687046
í	0.000729398	0.00563758	0.0579357	0.463155	0.472542
n	0.000361329	0.00136534	0.0192144	0.284821	0.694238
g	0.00117962	0.0236311	0.0364009	0.28282	0.655968
í	0.00194628	0.00863621	0.0350325	0.300411	0.653974
</S>	0.015341	0.010437	0.122696	0.12323	0.728296
