 	avec	la	pluie	qui	était	tombée	on	ne	pouvait	plus	avancer	</S>
l	0.49468	0.260434	0.035968	0.0197897	0.00283347	0.010748	0.0337267	0.037771	0.0498839	0.0468687	0.00430243	0.00299392
a	0.376824	0.38454	0.0354183	0.0305905	0.0281238	0.0151156	0.0246754	0.0325302	0.00313504	0.0298167	0.0203468	0.0188843
m	0.215351	0.416555	0.0398936	0.0343094	0.0201344	0.0039544	0.0122128	0.0169686	0.00223293	0.00946516	0.0681569	0.160765
b	0.125835	0.368401	0.419259	0.0338604	0.0168191	0.00377613	0.00155814	0.00199314	0.000447043	0.000586368	0.00102331	0.0264415
v	0.0151166	0.0604658	0.904453	0.00461615	0.00208295	0.00284392	0.00110292	0.00107455	0.000627028	0.000266606	0.0019563	0.00539421
ú	0.0212468	0.0855722	0.753416	0.0024896	0.00441445	0.0111733	0.00489141	0.00508921	0.0174899	0.0030479	0.0649595	0.0262102
á	0.0529579	0.234463	0.627225	0.0345884	0.0073349	0.0101634	0.00213187	0.00309964	0.00481861	0.000956622	0.00298449	0.0192766
y	0.112599	0.121243	0.12907	0.423175	0.0635211	0.0307159	0.0475421	0.0248148	0.0134623	0.0129099	0.00592324	0.0150237
ε	0.229268	0.239761	0.135107	0.279418	0.0370871	0.00560104	0.0097958	0.00727532	0.000911426	0.00460331	0.0233684	0.0278039
ε	0.0906958	0.0934563	0.138911	0.386915	0.0688185	0.00799212	0.0305533	0.0221811	0.00224907	0.0181287	0.0277679	0.112332
n	0.0407591	0.0506462	0.197319	0.223598	0.259181	0.111061	0.018267	0.0183602	0.0133493	0.0129695	0.00610524	0.0483847
ώ	0.0273548	0.0952784	0.197918	0.192329	0.0768533	0.0559691	0.0449722	0.044121	0.0128085	0.0132862	0.0273884	0.211721
í	0.00826862	0.0386646	0.110222	0.288497	0.118741	0.0814748	0.0854765	0.0535989	0.0220725	0.0291348	0.0244762	0.139374
w	0.00826857	0.00751224	0.0289807	0.223356	0.397953	0.164895	0.0770255	0.0293552	0.013653	0.0143739	0.00204442	0.0325827
ó	0.0264791	0.0321881	0.0442063	0.102029	0.107498	0.145465	0.120866	0.117968	0.0184236	0.0376525	0.0282323	0.218991
l	0.0159373	0.0117436	0.0282787	0.153762	0.101371	0.0833929	0.0914927	0.125088	0.0338836	0.0619949	0.107818	0.185238
e	0.0132806	0.0123555	0.0167396	0.0395588	0.0477456	0.139656	0.106313	0.107118	0.0406835	0.0431179	0.0479118	0.385519
d	0.0022737	0.00393533	0.00858412	0.0360714	0.0520507	0.114126	0.121048	0.217831	0.14551	0.113874	0.109627	0.0750681
í	0.00380695	0.00980316	0.00649318	0.00959756	0.0812144	0.307297	0.184315	0.099386	0.0582371	0.0923834	0.049352	0.0981147
o	0.00128702	0.00127783	0.00254957	0.0231897	0.0581537	0.063357	0.17952	0.122025	0.135683	0.329766	0.0303654	0.0528256
b	0.00102198	0.00259671	0.0050787	0.00520213	0.0278444	0.128266	0.105011	0.112002	0.261114	0.173597	0.0681077	0.110158
h	0.00236109	0.00807394	0.0118662	0.00401709	0.00541998	0.105983	0.0718741	0.066526	0.388831	0.107009	0.109269	0.11877
e	0.0014197	0.00198646	0.00680042	0.00116059	0.00325459	0.0871154	0.0404911	0.0331211	0.617514	0.0699805	0.0916459	0.0455104
r	0.0005839	0.000295178	0.00267017	0.00264479	0.00510974	0.0834463	0.0483807	0.0564281	0.538506	0.135695	0.0377379	0.0885021
á	0.000562293	0.00128489	0.0090736	0.00214884	0.00291294	0.0490332	0.066445	0.143443	0.182664	0.0694927	0.179568	0.293372
o	0.00376381	0.00337832	0.0147229	0.0192334	0.0116466	0.0210815	0.173412	0.143229	0.0863963	0.28164	0.124185	0.117312
b	0.00449338	0.00759112	0.0114183	0.0075267	0.0119693	0.0279418	0.0475505	0.0487586	0.0426729	0.250143	0.20131	0.338624
v	0.00284417	0.0181649	0.0540038	0.022284	0.013291	0.065214	0.0661208	0.0741646	0.0765086	0.203048	0.239171	0.165185
ú	0.00410407	0.00362019	0.0172888	0.00630329	0.00425848	0.0382069	0.090662	0.0730836	0.42426	0.149513	0.136395	0.0523051
r	0.00107388	0.00080426	0.000764211	0.000976282	0.00180323	0.0181943	0.0523423	0.0696346	0.246784	0.395598	0.132445	0.0795806
á	0.00101453	0.00103572	0.00325451	0.00119948	0.00191962	0.0256013	0.0695718	0.157478	0.116428	0.131901	0.327257	0.16334
ω	0.00360522	0.00302792	0.00972631	0.0185653	0.00757423	0.0161486	0.0842187	0.073838	0.0470454	0.222755	0.10487	0.408626
s	0.00484563	0.0141988	0.0100026	0.0209376	0.0137405	0.0236537	0.0485747	0.0297667	0.0197777	0.373827	0.0704625	0.370213
έ	0.000500367	0.00459894	0.00999871	0.0183496	0.018882	0.0101758	0.0273852	0.0124131	0.00771563	0.292578	0.195539	0.401863
l	8.94002e-05	0.000184746	0.000374453	0.000684958	0.00140668	0.00194376	0.0162007	0.0149345	0.00495195	0.117937	0.0799605	0.761331
ε	0.00132794	0.00121968	0.0012888	0.00487447	0.00221968	0.00503827	0.0554902	0.0706627	0.0437413	0.350481	0.224292	0.239364
k	0.00108864	0.000998328	0.00218161	0.00743419	0.00589251	0.00707865	0.0436205	0.0325452	0.00893551	0.130444	0.0559652	0.703816
