 	comme	il	était	pressé	il	passa	avant	moi	</S>
á	0.504119	0.491052	0.00195261	0.00130932	0.000922942	0.000491484	0.000122305	2.47314e-05	5.65059e-06
á	0.0802858	0.553646	0.32739	0.0120649	0.00533537	0.0143353	0.00542593	0.00124632	0.000269519
d	0.0104626	0.0839528	0.790802	0.0184841	0.00232829	0.00847352	0.00998544	0.00825319	0.0672586
z	0.0352788	0.173212	0.706655	0.0289813	0.00368041	0.011295	0.00308059	0.00209397	0.0357236
á	0.212072	0.324109	0.404048	0.0198635	0.0042823	0.00589034	0.00237489	0.011572	0.0157873
w	0.112152	0.17188	0.411888	0.03221	0.0191845	0.01113	0.0137525	0.022757	0.205045
a	0.0880031	0.443387	0.0961173	0.134783	0.136072	0.011234	0.00390107	0.0244936	0.062009
l	0.053034	0.257441	0.403688	0.170603	0.0684058	0.00760915	0.00286652	0.00944003	0.0269132
á	0.0289786	0.0530265	0.272386	0.148582	0.0925871	0.0242389	0.0106812	0.0360368	0.333483
a	0.0418999	0.0464625	0.16821	0.291226	0.254572	0.0638356	0.0131985	0.0264764	0.0941186
k	0.00170096	0.00801825	0.238433	0.437003	0.0636143	0.17983	0.0620997	0.00147248	0.00782775
y	0.000415798	0.00206476	0.0278253	0.358544	0.141386	0.359497	0.0897626	0.000816056	0.0196878
a	0.00209849	0.00678782	0.035547	0.541301	0.154335	0.215778	0.0240365	0.00161064	0.0185063
o	0.00112628	0.00161028	0.0204525	0.563173	0.222841	0.131983	0.017453	0.00127327	0.0400876
k	0.00298456	0.00457278	0.0267447	0.218681	0.118929	0.53814	0.0736942	0.00226175	0.0139914
ó	0.000146538	0.00021804	0.000288908	0.0100997	0.0266913	0.866871	0.081786	0.00200077	0.0118978
r	8.08715e-05	0.000576787	0.0016892	0.0373203	0.0612792	0.847447	0.0469794	0.000553251	0.00407416
ó	0.00192059	0.00183061	0.00435382	0.104022	0.142397	0.507688	0.0532574	0.0121756	0.172356
o	0.00796625	0.0109306	0.00458454	0.0739113	0.474821	0.346575	0.0277645	0.0118227	0.0416244
k	0.0016914	0.00113565	0.0019666	0.00642312	0.041598	0.436559	0.470819	0.0197513	0.020056
ó	0.000217767	0.000385099	0.000306635	0.00429548	0.0130515	0.606126	0.357506	0.00270715	0.0154045
r	0.000113934	0.000264551	0.000486395	0.0209968	0.051886	0.742145	0.168164	0.000718796	0.0152246
ó	0.00073839	0.000836233	0.00069275	0.0139185	0.0582239	0.732968	0.0675968	0.00385701	0.121168
a	0.0064238	0.0115977	0.00230064	0.0183381	0.217202	0.232296	0.158517	0.163911	0.189413
b	0.00253867	0.00244935	0.00344837	0.0120862	0.03485	0.0607502	0.581436	0.182556	0.119885
á	0.00445719	0.00689795	0.00179332	0.0233695	0.075208	0.0678775	0.484424	0.145639	0.190333
r	0.00422167	0.00907365	0.00452158	0.0145847	0.0938468	0.0287258	0.207706	0.187649	0.449671
i	0.00113714	0.000586396	0.000344296	0.00266748	0.0106105	0.0100065	0.0246509	0.755325	0.194672
o	0.000473198	0.000374465	0.000876981	0.00245177	0.019897	0.0154889	0.0495152	0.40884	0.502083
l	0.000460264	0.000654421	0.00145963	0.00311303	0.00445206	0.032581	0.544803	0.216545	0.195932
e	0.000314486	0.000526985	0.00581772	0.00636533	0.0092019	0.0959128	0.455389	0.230707	0.195764
á	0.000366802	0.00049537	0.00461192	0.00387853	0.00285469	0.0205698	0.234193	0.159358	0.573672
o	0.00153994	0.00113637	0.00195752	0.0074901	0.0186788	0.00780521	0.0342348	0.606975	0.320182
b	0.000242425	0.000484482	0.00516177	0.00780115	0.00347288	0.0471767	0.525709	0.238521	0.17143
o	0.000130696	0.000517707	0.00129829	0.0118275	0.00703173	0.0551289	0.846437	0.0361278	0.0415002
s	0.000399572	0.000459667	0.00056401	0.00495028	0.00250785	0.0467821	0.860082	0.0200349	0.06422
ó	0.00352457	0.00107193	0.000817059	0.00763831	0.0120026	0.11515	0.751399	0.0265721	0.0818238
b	0.000854793	0.000491265	0.00131496	0.00652639	0.00734855	0.00931527	0.0608708	0.165448	0.74783
á	0.00207653	0.00241959	0.0011368	0.0216448	0.122783	0.0372342	0.127765	0.223009	0.461932
n	0.00922949	0.00614189	0.000580792	0.00549413	0.018498	0.00326846	0.00776668	0.4993	0.44972
g	0.00533846	0.000773052	8.28546e-05	0.000481399	0.000497666	0.000126405	0.000153392	0.913622	0.0789252
á	0.00581551	0.00271675	0.0004531	0.000481232	0.000677487	0.00047251	0.000865101	0.850829	0.137689
</S>	0.0014287	0.000790617	0.000883812	0.00355118	0.0131875	0.00711104	0.0192975	0.732001	0.221749
