 	les	vieillards	perdent	leur	mémoire	</S>
i	0.719519	0.225412	0.0519799	0.00294426	7.73885e-05	6.77303e-05
d	0.110914	0.87704	0.00985082	0.000710565	0.0010798	0.000404969
u	0.0277273	0.970879	0.000461117	4.12616e-05	0.000131273	0.000759629
n	0.0599929	0.925905	0.00676301	0.00207758	0.000933296	0.00432833
ú	0.213144	0.745432	0.0127675	0.0111676	0.000515435	0.0169736
b	0.169759	0.0517154	0.282903	0.167202	0.054875	0.273546
í	0.160769	0.0215782	0.134838	0.569534	0.00923473	0.104046
i	0.0456261	0.0338073	0.191666	0.442388	0.127249	0.159264
b	0.0129866	0.024308	0.0940881	0.0994066	0.572824	0.196387
h	0.00183327	0.00458518	0.014328	0.0101796	0.951605	0.0174684
o	0.000558628	0.00284486	0.00233487	0.00126204	0.978159	0.0148408
n	0.00420945	0.00835373	0.0109774	0.0369871	0.855197	0.0842754
a	0.0182474	0.0392215	0.01659	0.0204528	0.617629	0.287859
a	0.0228731	0.0051146	0.0386521	0.266507	0.0669052	0.599948
</S>	0.0447817	0.00245366	0.0286532	0.398587	0.0406515	0.484872
