 	ne	fais	pas	de	bruit	</S>
o	0.638787	0.0976791	0.142091	0.0794591	0.0213306	0.0206535
k	0.126429	0.637743	0.0604902	0.0220811	0.101796	0.05146
y	0.0208045	0.581183	0.0440534	0.0248123	0.258303	0.070844
á	0.0838821	0.394658	0.118891	0.0751014	0.280031	0.0474361
l	0.210954	0.183611	0.0843837	0.0427045	0.0675067	0.41084
o	0.183735	0.314633	0.0996901	0.0524426	0.0594563	0.290043
b	0.137001	0.0839665	0.103245	0.0726311	0.408373	0.194783
h	0.0698348	0.103524	0.246706	0.170534	0.255868	0.153533
ó	0.0238288	0.0377662	0.0773461	0.0916794	0.453147	0.316232
k	0.0243727	0.0313985	0.131249	0.181436	0.283636	0.347908
a	0.0160324	0.0201227	0.155844	0.114976	0.0710492	0.621976
á	0.010756	0.0150226	0.114265	0.178736	0.202699	0.478521
</S>	0.0134021	0.0111291	0.0744852	0.158233	0.0544183	0.688332
