 	au	commencement	quand	dieu	créa	l'	homme	celui-ci	était	parfait	</S>
l	0.583552	0.191735	0.0399765	0.160437	0.00517623	0.0167985	0.00121826	0.000454076	0.000101167	0.000513916	3.73834e-05
e	0.606308	0.255039	0.0395816	0.0531637	0.0193487	0.0243041	0.000148475	0.000643809	0.000650323	0.00063591	0.000176344
b	0.251127	0.470577	0.0289009	0.0469502	0.0778814	0.0766919	0.00223899	0.00866248	0.0176327	0.0035044	0.0158331
o	0.0160143	0.884354	0.0156288	0.00681194	0.0203262	0.0396518	0.0135841	0.00128609	0.000300264	0.000388453	0.0016542
s	0.0553492	0.808998	0.0368695	0.0228833	0.0329786	0.0157807	0.00914037	0.0046649	0.00132516	0.00515968	0.00685053
ó	0.146529	0.202905	0.0756407	0.0855125	0.107684	0.0319317	0.0245056	0.0630557	0.0293675	0.0498201	0.183048
l	0.178715	0.0676617	0.566332	0.0652847	0.0281522	0.0205489	0.0201483	0.0225256	0.00415244	0.00106291	0.0254161
á	0.205896	0.0154203	0.134117	0.0680831	0.0346091	0.102899	0.0166637	0.0925976	0.0684679	0.00751889	0.253728
á	0.180262	0.00887722	0.232946	0.479353	0.0214881	0.0428993	0.0151776	0.00618072	0.00314655	0.00095757	0.00871261
y	0.0740986	0.0160805	0.192508	0.350492	0.2371	0.0275834	0.0166129	0.0179367	0.0413757	0.0042762	0.0219354
ε	0.0155451	0.0235662	0.0770147	0.276913	0.438896	0.0182012	0.0034082	0.0223879	0.0712449	0.00273789	0.0500846
s	0.0110306	0.00900246	0.117388	0.113587	0.203145	0.0478953	0.0124485	0.0487678	0.0809797	0.00786413	0.347892
έ	0.0248761	0.0455194	0.152136	0.344444	0.198968	0.0566533	0.00626667	0.0555486	0.025245	0.00737093	0.0829723
n	0.0185267	0.00342249	0.410144	0.256827	0.14654	0.0597181	0.0333916	0.0253864	0.00822822	0.00269467	0.0351208
z	0.00411449	0.00051789	0.069887	0.883138	0.0102497	0.0214428	0.00124344	0.000820781	0.000311038	0.000242017	0.00803317
a	0.00127445	0.00186501	0.0666357	0.782319	0.0253069	0.0713833	0.0134269	0.00601649	0.0022752	0.00245495	0.0270419
m	0.00245935	0.00546473	0.156593	0.150631	0.269587	0.167982	0.0791657	0.0591904	0.0242781	0.00889243	0.0757564
b	0.042647	0.00546985	0.181339	0.166206	0.324597	0.10863	0.083161	0.0340933	0.00287931	0.00313612	0.0478407
é	0.0518576	0.0139093	0.0964217	0.494105	0.203039	0.0196639	0.0799281	0.00876105	0.00202237	0.00423876	0.0260531
m	0.0322727	0.00125904	0.10788	0.0586535	0.398505	0.0975962	0.113814	0.127856	0.0104468	0.00298953	0.0487281
o	0.0301337	0.0021835	0.0559732	0.0143387	0.200412	0.160849	0.408059	0.0938089	0.00847392	0.00139087	0.0243772
r	0.00345212	0.00334979	0.0439945	0.0237411	0.231819	0.309185	0.213456	0.123312	0.0212904	0.0104795	0.015921
o	0.0320832	0.0121617	0.0835707	0.0899795	0.332121	0.32799	0.0572255	0.0298717	0.00756422	0.00240804	0.025024
m	0.00106167	0.000196919	0.0215454	0.0150318	0.126704	0.507674	0.151337	0.142718	0.0176368	0.00204107	0.0140538
o	0.0261903	0.00290335	0.0385268	0.00428498	0.0801781	0.161392	0.285017	0.201565	0.0294214	0.00947339	0.161048
r	0.00105671	0.000889617	0.0189469	0.00753613	0.0617083	0.309897	0.11366	0.350441	0.0695798	0.041486	0.0247984
o	0.0301589	0.0121838	0.0661983	0.0722783	0.146431	0.526862	0.0369321	0.0535823	0.0193275	0.00496744	0.0310788
á	0.0013258	0.000174476	0.0157472	0.00514072	0.0515089	0.351953	0.144084	0.357414	0.0396902	0.00559376	0.0273689
d	0.00537425	0.00131392	0.00822196	0.00121951	0.0306996	0.0703051	0.011616	0.226931	0.563947	0.0417792	0.0385929
z	0.00176677	0.000284655	0.00306042	0.000297605	0.00584295	0.0156384	0.00719411	0.0632281	0.426144	0.0123411	0.464202
á	0.00415268	0.00038792	0.00358109	0.00488089	0.0204079	0.0457314	0.0058804	0.0983563	0.739634	0.0146059	0.0623817
l	0.00245609	0.000206114	0.00678616	0.0013278	0.00505194	0.0840134	0.0328574	0.158759	0.263514	0.128156	0.316872
a	0.000773083	0.000352941	0.00433273	0.000785047	0.00581795	0.0487724	0.0106346	0.0977867	0.269058	0.0878452	0.473841
p	0.00053525	0.000393741	0.00257771	0.000643486	0.0110482	0.0790801	0.0424497	0.0756154	0.139981	0.46535	0.182326
ώ	0.000232576	0.00177875	0.00161297	0.000875018	0.00275493	0.00931876	0.00630293	0.0203879	0.0563572	0.871774	0.0286044
ω	6.11739e-05	0.000479244	0.000132735	9.22489e-05	0.00393381	0.0119455	0.00439365	0.0348904	0.0195945	0.889454	0.0350227
m	0.00149448	0.00017818	0.002701	0.000652736	0.00476425	0.0255299	0.00757334	0.0515082	0.141287	0.229169	0.535142
b	0.0113856	0.00203805	0.0282985	0.00212428	0.0167615	0.0953458	0.0577354	0.129828	0.197192	0.214107	0.245184
v	0.00674266	0.00568742	0.00843949	0.00385973	0.00854325	0.0627371	0.11226	0.0459556	0.0421373	0.317887	0.38575
έ	0.00515093	0.0077633	0.00795875	0.00875835	0.009968	0.0601275	0.0339189	0.027622	0.0403885	0.254519	0.543825
m	0.000148603	4.96814e-05	0.000786034	0.000143716	0.00217483	0.0234569	0.00619754	0.0246078	0.0412448	0.0634378	0.837752
b	0.00669136	0.00129398	0.00807109	0.00195747	0.00468203	0.0570722	0.0257702	0.138492	0.0608683	0.376522	0.318579
v	0.0217462	0.00538268	0.0118902	0.00492279	0.00898357	0.0661607	0.0302656	0.050741	0.0215466	0.669147	0.109214
έ	0.00098192	0.00192813	0.00207741	0.00408765	0.00438956	0.0179355	0.00636271	0.0162669	0.0159421	0.525664	0.404364
</S>	0.0100083	0.000368441	0.00481222	0.00088402	0.00348325	0.0375352	0.00428541	0.0310439	0.0254852	0.11592	0.766174
