 	l'	esprit	de	sa	mère	l'	envoûte	depuis	deux	ans	</S>
o	0.658383	0.285446	0.0261577	0.013812	0.00228768	0.00886243	0.000235876	0.00259018	0.00203991	0.000157302	2.71742e-05
k	0.0845923	0.761889	0.0131965	0.00276615	0.113366	0.00508733	0.00718573	0.00206571	0.00110529	0.00468473	0.00406149
w	0.00941288	0.848673	0.0214197	0.00190973	0.00199018	0.00570802	0.077395	0.0106282	0.00218769	0.00970932	0.0109661
é	0.0102398	0.838336	0.0703693	0.0117099	0.00392709	0.017068	0.0252791	0.0120546	0.00488501	0.00366232	0.00246898
m	0.0460997	0.57194	0.20949	0.02214	0.000920644	0.0131543	0.0133675	0.0088935	0.00367163	0.00340266	0.10692
á	0.137056	0.129045	0.371414	0.194644	0.0331234	0.0511207	0.00258035	0.0452995	0.00737101	0.00425067	0.0240956
n	0.0366921	0.00620042	0.157234	0.643053	0.0646045	0.0608524	0.00716045	0.0120551	0.0034139	0.000441241	0.0082929
g	0.00548014	0.00186199	0.0197892	0.612063	0.332493	0.0162465	0.00199911	0.00409798	0.00141405	0.000361285	0.00419379
ó	0.00443258	0.00245833	0.00942293	0.120897	0.839345	0.0106255	0.00485636	0.00249566	0.000786083	0.000656534	0.00402336
o	0.0181505	0.0108516	0.0491275	0.17107	0.480339	0.149236	0.0213505	0.0626694	0.0183316	0.00421509	0.0146592
m	0.00794513	0.00146147	0.090824	0.245261	0.0338166	0.521595	0.0339749	0.049013	0.0141054	0.000759088	0.00124431
ó	0.0795254	0.0146453	0.114726	0.311339	0.0338175	0.165276	0.0760893	0.139697	0.0331128	0.00480255	0.0269691
o	0.0187832	0.00512579	0.0960558	0.265415	0.0757433	0.131087	0.169411	0.199562	0.017927	0.00802232	0.0128687
l	0.00251845	0.00694493	0.0117383	0.0031898	0.00619792	0.0524036	0.840301	0.0330618	0.0180652	0.0200845	0.00549488
ω	0.00188293	0.0124991	0.00653376	0.00277252	0.00670771	0.010597	0.890614	0.00718319	0.00605382	0.0183765	0.0367799
ώ	0.00106217	0.00231382	0.0355342	0.00117139	0.00711085	0.0281857	0.8082	0.0675006	0.00897337	0.00956495	0.0303827
w	0.00418918	0.000825494	0.0327225	0.0382557	0.000730818	0.158548	0.0482435	0.589799	0.114993	0.00506686	0.00662518
a	0.00482953	0.0101673	0.0861423	0.172084	0.00172453	0.127059	0.0638924	0.347496	0.0579994	0.0122449	0.11636
w	0.000364742	0.000246995	0.00885906	0.0181012	0.000783989	0.104181	0.0328823	0.61421	0.147648	0.0202606	0.0524619
ú	0.00245065	0.00125163	0.0564715	0.207806	0.00196091	0.104742	0.0281777	0.444249	0.0786042	0.0141646	0.0601222
r	0.000777655	0.000210999	0.0052349	0.00701339	0.000146328	0.0446706	0.0303757	0.785944	0.0904897	0.0148632	0.0202731
á	0.00401677	0.00271964	0.00841761	0.0325853	0.000114165	0.0985165	0.163878	0.482354	0.0671147	0.0208319	0.119451
i	0.000521295	8.86979e-05	0.00426895	0.0146979	0.000260776	0.0489959	0.00756103	0.172258	0.56683	0.137867	0.0466508
b	0.000383856	0.00129633	0.00729346	0.000138626	0.000166333	0.00611607	0.0243266	0.050545	0.241238	0.495403	0.173093
h	0.000293797	0.000586652	0.00541604	0.000203199	1.14812e-05	0.00314841	0.00414293	0.00303107	0.123228	0.847467	0.0124722
a	0.000529397	0.0016615	0.00324581	0.000108326	5.70025e-06	0.00242626	0.0124752	0.00876111	0.114917	0.724008	0.131862
n	0.000537722	0.000224906	0.00124137	0.000507512	1.65454e-05	0.00351961	0.00743474	0.0517192	0.110778	0.361918	0.462102
á	0.000207231	0.00172823	0.00520068	0.00133661	8.22431e-05	0.0114549	0.0359252	0.0761299	0.0764404	0.194018	0.597477
a	0.000723542	0.00049672	0.00810093	0.005262	0.000286798	0.011199	0.00487903	0.151757	0.178437	0.231026	0.407832
í	0.00159089	0.000716532	0.0214667	0.00215838	0.000695623	0.0181482	0.0655709	0.055315	0.141129	0.352918	0.340291
b	0.00308566	0.00220668	0.0951279	0.00130507	0.00252714	0.0880928	0.140354	0.0321061	0.19669	0.224967	0.213538
a	0.000306676	0.00171649	0.0110782	0.00015848	0.000150221	0.011043	0.104135	0.00980326	0.0975421	0.608462	0.155604
á	0.00014873	0.00046766	0.00294157	7.64163e-05	4.80508e-05	0.00562573	0.037198	0.0182706	0.072473	0.316021	0.54673
</S>	0.00410972	0.00100376	0.0251738	0.0233797	0.000868968	0.0310567	0.00384068	0.0509496	0.120463	0.187227	0.551927
