 	il	faut	que	tu	viennes	me	voir	demain	</S>
n	0.25553	0.707958	0.0191052	0.00842195	0.0037118	0.00376914	0.000940173	0.000520641	4.28425e-05
ω	0.110797	0.178819	0.0741192	0.227874	0.0556233	0.287501	0.00208288	0.0625585	0.000624787
k	0.200887	0.540571	0.0674076	0.0468901	0.0495623	0.0434955	0.00223076	0.0402049	0.00875067
á	0.0444717	0.686756	0.0767119	0.0265636	0.00161346	0.010211	0.0201424	0.0101044	0.123425
a	0.208118	0.248061	0.153221	0.0456044	0.00551776	0.024436	0.0326792	0.00377469	0.278589
l	0.0948293	0.0874489	0.502913	0.154146	0.070128	0.0438737	0.0274522	0.00265732	0.0165522
ó	0.0203016	0.0279214	0.305515	0.174772	0.0585757	0.17366	0.0954874	0.00905351	0.134713
o	0.0282123	0.0148654	0.328356	0.29068	0.174885	0.0547201	0.0115107	0.00756112	0.0892098
y	0.00378552	0.0115852	0.181704	0.217093	0.227589	0.0650212	0.18146	0.0600311	0.0517317
a	0.00140254	0.00411493	0.0916374	0.236973	0.543436	0.0342069	0.016933	0.0433689	0.027928
á	0.0107878	0.00488558	0.233432	0.196066	0.196569	0.0605841	0.024231	0.0290118	0.244433
o	0.00618596	0.00277731	0.15412	0.220424	0.288721	0.247231	0.0697006	0.00383674	0.00700421
t	0.000828822	0.000753412	0.0105224	0.0405284	0.271916	0.224424	0.348868	0.0867849	0.0153743
á	0.000659303	0.00707226	0.0399441	0.066293	0.0635369	0.0810608	0.495512	0.0978224	0.148099
á	0.0017575	0.00736447	0.101757	0.0982681	0.120832	0.0846388	0.381146	0.0177779	0.186459
n	0.00742519	0.00308077	0.0488975	0.118818	0.0854196	0.402331	0.294379	0.0223967	0.0172524
g	0.008018	0.00148587	0.0219893	0.181929	0.0474449	0.484948	0.0291708	0.0802809	0.144734
á	0.00132337	0.000536781	0.011963	0.149858	0.28155	0.25403	0.00973684	0.245165	0.0458373
i	0.0022897	0.00232205	0.0337293	0.137583	0.0497125	0.321222	0.33268	0.0501572	0.0703045
m	0.00176138	0.00184619	0.00526756	0.00879002	0.00890884	0.0501521	0.387034	0.37661	0.15963
b	0.00113889	0.000475519	0.00313279	0.0023156	0.00359016	0.0420376	0.0605917	0.58519	0.301527
y	3.83246e-05	3.00885e-05	0.000261117	0.000538896	0.000217973	0.00744692	0.00660123	0.898604	0.0862618
é	4.07899e-05	9.92902e-05	0.000592334	0.00214511	0.000591915	0.0358681	0.00439693	0.432805	0.52346
n	1.77563e-05	0.000176865	0.00228175	0.00492522	0.00203662	0.024366	0.00728499	0.376411	0.5825
g	0.000278287	0.0011323	0.00302644	0.00561518	0.00197872	0.0784018	0.028306	0.256854	0.624408
í	0.00105912	0.00273521	0.00606958	0.0243722	0.00414229	0.118029	0.00396299	0.270177	0.569452
</S>	0.00322081	0.00180565	0.0123132	0.010403	0.00164965	0.126529	0.0889825	0.0230329	0.732064
