 	elle	parle	la	bouche	pleine	</S>
w	0.853305	0.0971687	0.0217794	0.0225863	0.00403431	0.00112588
a	0.810792	0.0925067	0.0660488	0.0174852	0.0123393	0.000827959
l	0.793288	0.0936978	0.0513156	0.0131849	0.0102979	0.0382162
á	0.206633	0.0789515	0.16316	0.0240114	0.0882007	0.439043
a	0.18007	0.220479	0.165597	0.0478221	0.205913	0.180119
t	0.0495295	0.895588	0.0249195	0.00489061	0.0011866	0.0238859
i	0.0515756	0.884017	0.0258669	0.00269972	0.00084673	0.0349943
á	0.176748	0.28743	0.320599	0.00917302	0.00457626	0.201473
l	0.123958	0.0911507	0.578253	0.135917	0.0433469	0.0273742
a	0.040604	0.0867378	0.558399	0.157559	0.0762089	0.0804906
n	0.102485	0.0673709	0.542725	0.127001	0.0967605	0.0636575
g	0.00768679	0.00473268	0.312455	0.163276	0.470332	0.0415169
á	0.00496311	0.0132936	0.202323	0.42789	0.298212	0.0533182
o	0.0123968	0.00512941	0.488101	0.203277	0.077501	0.213595
n	0.00977664	0.0109855	0.22918	0.357125	0.133895	0.259038
ω	0.0119479	0.00192073	0.239117	0.167829	0.219387	0.359799
ω	0.00451821	0.00414715	0.425347	0.213805	0.164041	0.188142
o	0.0160767	0.00281787	0.200758	0.0792268	0.205135	0.495986
n	0.0596916	0.0558232	0.242217	0.104788	0.198359	0.339121
y	0.00851152	0.00106191	0.13628	0.0439011	0.40087	0.409376
á	0.00271005	0.000598235	0.0226492	0.0606981	0.542277	0.371068
á	0.00119885	0.000776031	0.0298194	0.020059	0.0722742	0.875873
n	0.0066832	0.00136909	0.0530317	0.0114414	0.771265	0.15621
á	0.00042965	3.28981e-05	0.00992974	0.0085311	0.941461	0.0396156
n	0.00229312	0.00257915	0.0369613	0.0200321	0.775323	0.162811
y	0.00094309	0.000221629	0.0111304	0.00855967	0.961616	0.0175294
a	0.000184795	6.39327e-05	0.00279359	0.00344847	0.978964	0.0145449
a	0.000477504	0.00058448	0.0126712	0.0629878	0.597759	0.32552
n	0.000744958	0.000173695	0.0271495	0.00833023	0.606252	0.357349
a	0.0084562	0.00239405	0.0457524	0.02637	0.593775	0.323252
</S>	0.000977445	0.000752716	0.0289063	0.0188912	0.354153	0.596319
