 	cet	enfant-ci	a	mangé	trois	morceaux	de	manioc	</S>
m	0.588515	0.401525	0.00302187	0.000432903	0.00230805	0.00201291	0.00146626	0.000509702	0.000207952
w	0.0925652	0.904266	0.00179821	0.000228269	4.29068e-05	0.000870152	0.000121539	5.1327e-07	0.000106992
á	0.00266799	0.997013	9.66946e-05	8.8141e-05	3.34521e-05	7.96659e-05	5.73273e-06	2.93421e-06	1.23662e-05
n	0.18145	0.814962	0.00164557	0.000106151	8.87862e-05	0.000442218	0.000174833	3.21197e-05	0.00109796
a	0.123201	0.762679	0.0411187	0.015323	0.00209771	0.00516186	0.00104089	6.946e-05	0.0493089
w	0.82331	0.0896183	0.0316121	0.0361694	0.00419742	0.00212216	0.00767681	0.00212834	0.0031654
ó	0.281155	0.0708656	0.28718	0.0153644	0.0474061	0.0577327	0.0760815	0.029638	0.134578
á	0.0391359	0.0426425	0.655437	0.085238	0.0296892	0.0233536	0.0288566	0.00525233	0.0903954
d	0.00135116	0.00102764	0.268274	0.498787	0.173111	0.0173379	0.0140706	0.00807975	0.0179603
z	0.0006511	0.000427803	0.0608268	0.894509	0.0271401	0.00369719	0.00140652	0.000118499	0.0112228
é	0.0506117	0.00173269	0.0226315	0.916508	0.00700351	0.000846195	0.000224233	1.02059e-05	0.000432048
e	0.00185671	0.00113425	0.135048	0.431524	0.262916	0.0280389	0.0430964	0.026376	0.0700092
a	0.000648739	0.00321102	0.0680528	0.0528979	0.675051	0.135844	0.0263035	0.0193829	0.0186084
m	0.00106	0.00190311	0.0687974	0.0729457	0.560629	0.127129	0.0565294	0.0403184	0.0706881
b	0.0103255	0.0149836	0.0357423	0.222275	0.272734	0.34179	0.0602827	0.00384456	0.0380223
v	0.00476392	0.131729	0.017427	0.0496012	0.368489	0.285613	0.0416135	0.0131387	0.0876247
ú	0.00375066	0.0683001	0.0252561	0.0444438	0.184918	0.393137	0.0695199	0.00638527	0.204289
u	0.016225	0.00129537	0.0554946	0.00680894	0.588895	0.113665	0.0950228	0.0811885	0.0414045
m	0.000407127	3.09636e-05	0.0247836	0.000679225	0.161344	0.348586	0.349241	0.0663725	0.0485562
í	0.0368973	0.00310619	0.0251842	0.00235456	0.0559845	0.116125	0.0970712	0.0113229	0.651954
k	0.000731499	0.000137392	0.00896776	0.00312849	0.0492894	0.114046	0.176306	0.589971	0.0574234
ώ	2.06205e-05	6.29566e-06	0.000188408	5.81127e-05	0.00574713	0.00234008	0.0121818	0.969553	0.00990506
ώ	1.59836e-05	6.98211e-06	0.000142841	3.0275e-05	0.00342743	0.00280622	0.00868215	0.971596	0.0132925
á	0.000539962	3.01403e-05	0.00679961	0.000240597	0.0146859	0.222498	0.365336	0.16351	0.22636
s	0.00461321	0.000250252	0.0424839	0.0502108	0.0961699	0.208159	0.386562	0.0867048	0.124847
á	0.00373539	0.00048413	0.00704561	0.0799414	0.03753	0.34027	0.270829	0.0106295	0.249535
r	0.0010963	0.000170961	0.00263123	0.00651554	0.0126885	0.145184	0.364129	0.105895	0.361688
e	0.00383655	0.000570371	0.00150473	0.00340568	0.00865554	0.370969	0.250325	0.0407752	0.319958
</S>	0.000866344	4.39938e-05	0.002984	0.00338341	0.00465621	0.0705624	0.191135	0.0685966	0.657772
