 	dans	cette	région	le	bétail	est	assez	beau	</S>
s	0.694417	0.234928	0.0148794	0.0152227	0.0263673	0.012759	0.000419699	0.000452434	0.000554532
a	0.413051	0.324059	0.0483717	0.053789	0.0749102	0.0597567	0.00181626	0.00410982	0.0201367
e	0.103159	0.701075	0.102531	0.0230623	0.0550686	0.0112355	0.000179129	0.000133369	0.00355636
k	0.184469	0.491969	0.20862	0.0393566	0.0116429	0.00321129	0.00241184	0.002769	0.0555509
y	0.0108982	0.188319	0.615472	0.0972187	0.029227	0.00428182	0.00502215	0.0148883	0.0346728
e	0.0324256	0.297336	0.598504	0.0320608	0.0171204	0.00136088	0.000468729	0.00464756	0.0160763
n	0.0319127	0.210396	0.438061	0.0265003	0.0148693	0.00479242	0.00208472	0.00763727	0.263746
á	0.0662773	0.169519	0.516178	0.0388823	0.0407337	0.00427491	0.000322217	0.00323208	0.16058
á	0.178123	0.115104	0.248582	0.278169	0.129567	0.0135476	0.00219363	0.00295061	0.0317633
y	0.0891909	0.0594052	0.324454	0.372436	0.0775034	0.0106345	0.00438626	0.00298857	0.0590006
é	0.0657294	0.103982	0.408348	0.244661	0.0501225	0.0668351	0.0028664	0.000230072	0.0572263
a	0.0240741	0.0351136	0.206137	0.408502	0.189938	0.0548615	0.00496932	0.000883167	0.0755216
n	0.0223478	0.026634	0.141345	0.488453	0.16348	0.0456316	0.0230055	0.00780021	0.081302
y	0.0130969	0.0369711	0.177337	0.299477	0.267789	0.0739885	0.00414008	0.00303277	0.124168
a	0.000610463	0.0110991	0.197888	0.159031	0.568117	0.039048	0.00166194	0.00508139	0.0174633
m	0.00153161	0.0107292	0.0876451	0.184532	0.456072	0.0725962	0.039437	0.0254943	0.121963
a	0.0106542	0.0153443	0.0323895	0.218151	0.308476	0.186468	0.00600309	0.00666812	0.215846
á	0.0105269	0.00623638	0.027382	0.156655	0.0676349	0.15779	0.163729	0.0728267	0.337219
d	0.0115978	0.0109404	0.0363091	0.0462042	0.0083123	0.0539086	0.532317	0.133529	0.166882
í	0.0116198	0.00338058	0.00438628	0.0123965	0.00438394	0.021038	0.256969	0.0262203	0.659606
a	0.00226267	0.000802271	0.00161306	0.0197911	0.0125691	0.0338773	0.645808	0.197814	0.0854625
b	0.00240924	0.00387933	0.00559114	0.00687685	0.00189775	0.00663087	0.26873	0.669349	0.0346366
v	0.00266187	0.007864	0.0127851	0.01312	0.00668127	0.00330862	0.0615938	0.879615	0.0123701
έ	0.00128065	0.00125629	0.0101163	0.015999	0.010919	0.00674434	0.0437219	0.879269	0.0306933
a	0.00141749	0.00037053	0.00115156	0.0027272	0.00158675	0.00981457	0.036333	0.141988	0.804611
b	0.0126707	0.005738	0.0155457	0.0428993	0.0111282	0.04275	0.110296	0.341029	0.417944
v	0.00476045	0.00789817	0.0151444	0.0483494	0.0236359	0.00570347	0.0290862	0.844777	0.0206452
έ	0.00665255	0.00166488	0.00675656	0.0224865	0.0277036	0.0129064	0.019208	0.86593	0.0366911
</S>	0.00223894	0.00113522	0.00250575	0.00767857	0.00253871	0.0240308	0.0645753	0.174284	0.721012
