 	le	vanier	est	en	train	de	redresser	la	liane	</S>
o	0.948759	0.0439605	0.00298704	0.000602023	0.00235552	0.000431245	7.40855e-05	0.00062681	0.00017053	3.35077e-05
t	0.232243	0.735978	0.0141564	0.00697821	0.00368209	0.000208491	0.00201106	0.00165855	0.00254432	0.0005398
ó	0.372635	0.485213	0.0152795	0.0400846	0.0325882	0.00136521	0.0109081	0.0048308	0.0331397	0.00395677
n	0.267345	0.660849	0.00763953	0.0273757	0.0104076	0.00071759	0.00185207	0.0013551	0.00315839	0.0193006
g	0.446134	0.473705	0.0233121	0.0174772	0.00901881	0.00255471	0.00143605	0.00376461	0.0103148	0.0122828
i	0.63321	0.272653	0.0256385	0.0202642	0.0178546	0.00220371	0.00148485	0.00149199	0.00196302	0.0232362
n	0.288708	0.28326	0.233096	0.0957293	0.0605525	0.0207069	0.00451378	0.00353638	0.000241243	0.00965539
g	0.0694249	0.712432	0.12217	0.0320811	0.000930668	0.0010681	0.000459282	0.00321849	0.00377376	0.0544417
ó	0.0187097	0.789125	0.131276	0.0390748	0.0019288	0.000748265	0.000612462	0.00183707	0.00764052	0.00904777
l	0.00984034	0.380461	0.148434	0.321369	0.0699786	0.00603609	0.0146356	0.0026629	0.0118366	0.0347468
ó	0.0318045	0.0862531	0.0987829	0.34786	0.352683	0.0344994	0.0181981	0.00711433	0.00313439	0.0196701
b	0.0144816	0.0162212	0.163403	0.284412	0.347921	0.112513	0.0460299	0.00849624	0.0035523	0.0029693
ó	0.189204	0.0105386	0.213966	0.200301	0.106847	0.235707	0.00639422	0.00706339	0.00155269	0.0284273
l	0.0731169	0.0092496	0.0873481	0.1302	0.315015	0.182744	0.145758	0.0379048	0.00962848	0.00903558
á	0.0408759	0.00439943	0.132092	0.0217702	0.00817085	0.166534	0.231228	0.113459	0.013532	0.267938
a	0.121466	0.00375834	0.39679	0.0254044	0.00227446	0.14224	0.0515251	0.201445	0.0268563	0.0282404
k	0.00767177	0.00532657	0.0195649	0.00325392	0.00138161	0.0939415	0.680512	0.102103	0.0459697	0.0402745
ώ	0.000404195	0.000270843	0.0185149	0.0105477	0.00952	0.0759167	0.664379	0.114029	0.00789427	0.0985231
l	0.00486607	0.00123743	0.0296969	0.0498414	0.0201843	0.13672	0.517038	0.0475025	0.0601057	0.132808
e	0.00532183	0.000185477	0.0476945	0.00654841	0.00140596	0.0914908	0.0654682	0.389248	0.104884	0.287753
n	0.00177654	0.000284241	0.0177002	0.00520368	0.000521672	0.0574684	0.0177457	0.410868	0.191333	0.297098
g	0.00122827	0.000185024	0.00745735	0.00397903	0.000212364	0.00563071	0.00157911	0.105895	0.780161	0.0936717
ω	0.00220763	0.00165869	0.0134584	0.0062194	0.000184694	0.000616224	0.00045948	0.0105247	0.895507	0.0691639
s	0.00059739	0.000168737	0.00261767	0.000879169	4.06928e-05	0.00101203	0.000585268	0.0139381	0.644979	0.335182
í	0.000701869	0.0001145	0.00158006	0.00102001	0.000178495	0.00391749	0.00202218	0.0399961	0.21231	0.738159
</S>	0.0160535	0.000817663	0.00574648	0.00131249	0.000579975	0.00928156	0.00206313	0.100141	0.281679	0.582325
