 	il	est	très	bavard	</S>
w	0.966431	0.0247705	0.00429592	0.00431206	0.000190508
a	0.956994	0.0196667	0.00802404	0.0149396	0.000375596
a	0.135384	0.630666	0.182114	0.00677729	0.0450582
p	0.0708914	0.583824	0.224962	0.0495352	0.0707868
é	0.00918896	0.271835	0.377768	0.124389	0.216819
n	0.0176314	0.210239	0.348232	0.241749	0.182149
d	0.051343	0.185377	0.468492	0.191184	0.103604
í	0.12342	0.262955	0.396238	0.119068	0.0983188
o	0.107239	0.0285437	0.128583	0.509099	0.226535
t	0.00069585	0.0254765	0.0784732	0.863477	0.0318777
i	0.00064007	0.0431669	0.309586	0.568028	0.0785788
á	0.000461859	0.0704715	0.391245	0.325567	0.212255
o	0.0343398	0.0248468	0.198469	0.265971	0.476373
y	0.00152229	0.0734333	0.328343	0.427395	0.169306
í	0.000745837	0.0556247	0.427086	0.146628	0.369915
í	0.00086694	0.00960013	0.157852	0.0678824	0.763799
</S>	0.00333385	0.0182374	0.118772	0.11622	0.743437
