 	leur	ainé	est	un	paralytique	</S>
o	0.695546	0.275852	0.0164216	0.00739718	0.00449802	0.000285578
n	0.0340413	0.942933	0.0120535	0.00392465	0.00420189	0.00284604
y	0.00529679	0.925668	0.0114067	0.0062515	0.0193845	0.0319929
ε	0.0249327	0.935928	0.00939335	0.00511473	0.00547463	0.0191565
b	0.0316185	0.898159	0.00704627	0.00798399	0.0148262	0.0403661
h	0.316228	0.440062	0.0196461	0.00575922	0.00354215	0.214762
í	0.0616132	0.172726	0.0265758	0.00679367	0.00507605	0.727216
y	0.310281	0.0400035	0.501489	0.121885	0.0161568	0.0101846
a	0.792567	0.0853468	0.0441298	0.028742	0.0247757	0.0244387
b	0.904893	0.00886505	0.0555593	0.0230559	0.00198887	0.00563755
á	0.966384	0.00813226	0.0150413	0.00501429	0.00328839	0.0021399
a	0.864276	0.0132607	0.0735779	0.0337444	0.00454082	0.0106006
a	0.0121113	0.00177696	0.659646	0.246821	0.0212248	0.0584195
d	0.00377489	0.0130095	0.268132	0.450275	0.20023	0.0645783
í	0.0103813	0.00152797	0.116664	0.188517	0.0725458	0.610364
e	0.00814237	0.00196347	0.112713	0.486758	0.175989	0.214434
s	0.0141456	0.00737519	0.0292593	0.164728	0.459184	0.325308
έ	0.00253988	0.0038421	0.00710595	0.0555425	0.787266	0.143703
l	0.00177134	0.00209895	0.0124346	0.0373855	0.251617	0.694692
ε	0.00494928	0.00742698	0.0815936	0.249226	0.29643	0.360375
</S>	0.00295331	0.00306361	0.0366322	0.123285	0.171409	0.662656
