 	il	lui	donna	une	bourrade	amicale	</S>
w	0.702049	0.284699	0.00840704	0.00394761	0.000455622	0.00035734	8.36007e-05
a	0.925368	0.0705663	0.00100227	0.00141037	0.00135861	0.000181217	0.000113069
a	0.141583	0.789629	0.0480559	0.0180771	0.000953946	7.16837e-05	0.00162901
t	0.0381652	0.378973	0.370112	0.168936	0.00989068	8.71801e-05	0.0338354
í	0.00199122	0.0493787	0.774104	0.146145	0.0191997	0.000197026	0.0089845
n	0.00242869	0.0430881	0.759527	0.144697	0.0189451	0.00239674	0.0289181
d	0.0261015	0.0578125	0.397562	0.341669	0.0716149	0.0320127	0.0732268
z	0.0916162	0.104546	0.187749	0.463026	0.0507676	0.0439133	0.0583823
í	0.0419891	0.0868063	0.156602	0.462312	0.100409	0.0232966	0.128585
w	0.0684419	0.21886	0.105091	0.272714	0.257606	0.050608	0.0266787
a	0.0295098	0.0326374	0.0407138	0.330538	0.521126	0.0105766	0.0348983
l	0.0144145	0.016824	0.0252838	0.111328	0.558088	0.181962	0.0920986
a	0.000763094	0.000965627	0.00725144	0.0680792	0.744691	0.097706	0.0805439
n	0.00443908	0.005185	0.00248686	0.033421	0.161516	0.668648	0.124304
g	2.69201e-05	6.62826e-05	0.000118212	0.0016	0.00963161	0.971638	0.0169186
ω	1.85033e-05	0.000101246	0.000195936	0.00190503	0.00421043	0.988321	0.00524761
n	4.89665e-07	9.7147e-06	2.57629e-05	0.000455449	0.000837087	0.991888	0.00678326
g	6.83609e-05	0.000174706	0.000333661	0.00970728	0.0460606	0.675349	0.268306
ω	0.000498031	0.000317315	0.000155065	0.00236773	0.00759411	0.695297	0.293771
</S>	0.000366442	0.000342619	0.000280966	0.00902247	0.0555497	0.0658338	0.868604
