 	aujourd'	hui	nous	allons	manger	de	la	viande	</S>
p	0.49193	0.405588	0.0763202	0.0127296	0.000403671	0.0043746	0.00803063	0.000518333	0.000105583
á	0.0651406	0.930648	0.00202071	0.000493863	0.000245581	0.000855963	0.00039509	3.74037e-05	0.000162733
b	0.00881436	0.959811	0.0136215	0.00103366	0.00315353	0.0040398	0.000582622	8.59072e-05	0.00885794
h	0.637808	0.250091	0.049283	0.0106883	0.00515576	0.00746224	0.00377301	0.0066009	0.0291377
a	0.0951076	0.775996	0.0697379	0.00717211	0.00796997	0.00476671	0.00202623	0.00219376	0.0350293
y	0.294222	0.154968	0.276287	0.218041	0.00519759	0.00963119	0.0094235	0.00184439	0.0303858
é	0.246589	0.113263	0.261171	0.280607	0.00660718	0.00913947	0.0113405	0.022486	0.0487969
b	0.0558257	0.0269326	0.570841	0.276071	0.0131784	0.00466105	0.00804651	0.00671063	0.0377322
í	0.070634	0.118494	0.596881	0.166961	0.0187717	0.0073532	0.00292093	0.0042091	0.0137752
s	0.018761	0.0386272	0.882501	0.0377025	0.00254502	0.00187348	0.00174449	0.00243283	0.0138122
í	0.0134658	0.00101382	0.440162	0.250495	0.0193839	0.00622376	0.00590238	0.159163	0.10419
l	0.00330219	0.00502905	0.139201	0.3608	0.273038	0.0733014	0.0396796	0.00306409	0.102584
é	0.00871618	0.00206584	0.12052	0.303338	0.102904	0.0300483	0.0250368	0.0266937	0.380676
e	0.0048976	0.000568529	0.0507639	0.304113	0.501884	0.0461493	0.0340022	0.0103547	0.0472666
d	0.002534	0.000291349	0.00118322	0.0177225	0.859056	0.0880503	0.0156858	0.00157763	0.0138988
z	4.82636e-05	3.60437e-05	0.00111233	0.00534317	0.938699	0.0400892	0.0102302	0.00116143	0.00328013
á	0.00166957	0.000447466	0.00189108	0.0280504	0.882686	0.0611872	0.0109533	0.000774323	0.0123403
á	0.00275943	0.00392297	0.0457687	0.0301503	0.103877	0.349333	0.249176	0.0550257	0.159987
n	0.00542709	0.00336233	0.0126015	0.0209772	0.0221676	0.0964094	0.261209	0.514397	0.0634488
y	0.000480568	7.27777e-05	0.0105183	0.00441889	0.000338556	0.00624879	0.0159734	0.924906	0.0370422
a	8.56481e-05	3.25603e-05	0.00905237	0.00170853	0.000215393	0.00608114	0.0123976	0.960877	0.00954942
m	0.000214094	2.93941e-05	0.00224467	0.00429868	0.00745572	0.0691152	0.135407	0.531259	0.249976
a	0.0121848	0.0022559	0.00175502	0.00364229	0.00393603	0.0974182	0.200823	0.22109	0.456895
</S>	0.00165799	0.000735783	0.00167289	0.00603787	0.0105319	0.100885	0.17595	0.102996	0.599533
