 	ce	poisson	a	beaucoup	d'	arêtes	</S>
s	0.595518	0.278137	0.0688295	0.0198387	0.0252604	0.00802917	0.00438672
w	0.327062	0.382799	0.071171	0.0514284	0.143278	0.0051844	0.0190765
é	0.135495	0.825414	0.011458	0.00893077	0.010031	0.00765812	0.00101378
w	0.314392	0.324272	0.107846	0.0465697	0.108917	0.0524562	0.0455463
ó	0.149172	0.119009	0.260904	0.093256	0.0685986	0.0830117	0.226048
a	0.180626	0.0590588	0.45497	0.13473	0.0663832	0.0107944	0.0934369
d	0.0263558	0.0157078	0.409174	0.381639	0.0914925	0.0105265	0.0651044
í	0.00848679	0.0218552	0.370309	0.48587	0.0299551	0.000395967	0.0831281
l	0.048976	0.0155303	0.188584	0.368026	0.116137	0.042332	0.220414
a	0.015156	0.0150523	0.183425	0.332868	0.245267	0.0321283	0.176104
k	0.0171461	0.00930602	0.107273	0.197943	0.370062	0.195104	0.103165
ú	0.00110455	0.00062019	0.0111691	0.0199591	0.0258475	0.93409	0.00720949
b	0.000586274	0.000306295	0.00101969	0.00598897	0.0219508	0.966233	0.00391524
h	0.0171595	0.00234233	0.0130339	0.0477466	0.098329	0.570833	0.250556
ε	0.0247054	0.00358063	0.111449	0.179098	0.200973	0.116976	0.363218
n	0.00366003	0.000931044	0.0606113	0.192414	0.268053	0.076921	0.39741
d	0.0261557	0.0179217	0.0551627	0.16264	0.434976	0.0293199	0.273825
z	0.0093999	0.0360838	0.0345426	0.0615057	0.250633	0.0817218	0.526113
í	0.000928525	0.00106967	0.0130797	0.051404	0.175433	0.382689	0.375396
í	0.000717841	0.000585679	0.0289809	0.048537	0.0570256	0.058092	0.806061
</S>	0.00302958	0.00122295	0.039306	0.074073	0.0918878	0.0151862	0.775295
