 	cette	femme	est	en	train	de	verser	les	cendres	dans	la	poubelle	</S>
o	0.958453	0.0127562	0.00374076	0.0120438	0.00344643	0.00124086	0.0014792	0.00171094	0.00346327	0.000663374	0.000976459	4.24837e-06	2.09653e-05
y	0.0942259	0.892518	0.00644366	0.00194804	0.000139638	0.000257258	0.000569409	0.000220854	0.000503282	0.000129849	0.000201712	0.00244203	0.000400839
ú	0.87351	0.115747	0.00434937	0.00410304	4.35838e-05	0.000335681	0.000192069	0.000110677	9.63375e-05	5.77904e-05	0.000108048	0.00128433	6.20286e-05
r	0.845097	0.0755353	0.0056473	0.00662062	3.1105e-05	0.00107052	0.00100521	0.00219969	0.00174089	0.00236325	0.00439125	0.0418044	0.0124938
u	0.641171	0.219436	0.0553618	0.0338666	0.000935396	0.00588883	0.00562942	0.00671675	0.00679409	0.0024289	0.00674249	0.00609824	0.00893115
w	0.225708	0.125712	0.362567	0.185231	0.0199218	0.0349959	0.00347922	0.0116008	0.000705541	0.00709993	0.00825156	0.00244221	0.0122854
ó	0.250423	0.043227	0.158033	0.145246	0.0594087	0.0728273	0.0271349	0.0437615	0.0277611	0.0284865	0.0259559	0.00876786	0.108968
b	0.0107647	0.00755697	0.352324	0.480131	0.0574343	0.0525507	0.00469079	0.0082981	0.00141377	0.00435057	0.00472994	0.00157772	0.0141771
ó	0.191325	0.00278947	0.0905885	0.275217	0.100752	0.210588	0.0168572	0.0504908	0.0265227	0.01796	0.00768321	0.00014352	0.00908231
l	0.02051	0.00707451	0.142994	0.43339	0.136785	0.169835	0.0295385	0.0196523	0.00342511	0.0104302	0.00769247	0.00136389	0.0173086
á	0.0566185	0.00295633	0.0956214	0.112251	0.0300388	0.121248	0.0206404	0.0670579	0.0073449	0.0933931	0.0672502	0.0153297	0.310249
a	0.195988	0.00893573	0.132145	0.0915004	0.148588	0.252779	0.0403908	0.0517632	0.0130934	0.0163558	0.0119585	0.00145823	0.0350435
b	0.00945965	0.00922186	0.0422107	0.03962	0.0133622	0.203248	0.63488	0.0113279	0.0152209	0.00293669	0.00113036	0.00580332	0.0115786
h	0.000408307	0.000288358	0.0157674	0.0238493	0.017718	0.102456	0.745279	0.0222159	0.0600067	0.00537422	0.000947855	0.000333993	0.00535465
o	0.000600907	2.75447e-05	0.00336774	0.00984011	0.00421313	0.0183675	0.867069	0.0112987	0.0788813	0.00331236	0.000524213	3.02162e-05	0.00246687
o	0.0105595	0.000169071	0.0167587	0.0487299	0.207619	0.0519184	0.609998	0.020608	0.0265065	0.00224342	0.00126269	0.000562673	0.00306414
b	0.000219455	4.80336e-05	0.0155336	0.0275259	0.015112	0.0877562	0.441798	0.264952	0.098868	0.0298346	0.00517815	0.000432426	0.012742
h	0.000948317	1.35107e-05	0.00793889	0.0159618	0.00505573	0.120425	0.323073	0.403571	0.0342324	0.0396968	0.0211813	0.000336268	0.0275665
á	0.00131136	6.35516e-05	0.00686982	0.0404242	0.0127877	0.0765991	0.240866	0.386713	0.115493	0.0368427	0.0168913	0.00151425	0.0636252
o	0.00218315	5.51271e-05	0.00710479	0.017631	0.00367793	0.042376	0.0806446	0.629773	0.107574	0.0523727	0.0403701	0.00097258	0.0152648
b	0.000316199	7.75655e-05	0.000821148	0.0013734	0.000218447	0.00273667	0.114934	0.149239	0.543237	0.153631	0.017884	0.010167	0.00536381
v	1.85738e-05	9.12972e-06	0.000413118	0.000697305	0.000296193	0.000561658	0.0424627	0.0123805	0.928605	0.0116279	0.00143886	0.000346736	0.00114243
u	4.1581e-05	5.75015e-06	0.000284743	0.000798458	0.000838965	0.00104981	0.0457052	0.0186798	0.914685	0.0158856	0.00103316	6.3614e-05	0.000928679
l	0.0411874	0.000104666	0.00282321	0.0102666	0.0260579	0.0327941	0.141383	0.319074	0.283433	0.0868744	0.032261	0.00403991	0.0197019
u	0.000803303	3.39039e-06	0.00117177	0.00161164	0.000117905	0.003645	0.0165518	0.293974	0.149265	0.262739	0.162832	0.00666304	0.100622
s	0.000855342	1.69584e-05	0.00222995	0.00242241	5.20892e-05	0.00310732	0.00227937	0.0757858	0.0252391	0.479747	0.358903	0.00701751	0.0423434
á	0.000747625	4.7576e-05	0.00115084	0.00194206	5.35777e-05	0.00402919	0.00281168	0.0577763	0.0653129	0.251276	0.308133	0.126898	0.179821
d	0.00348288	0.000146918	0.00124953	0.00229936	0.000309442	0.0013613	0.000870988	0.0157662	0.0281111	0.076574	0.238692	0.615363	0.0157729
z	0.0012121	0.000310068	0.000275265	0.000233384	2.46157e-06	0.000284763	0.000262138	0.00253797	0.0136015	0.0296872	0.0394256	0.895962	0.0162056
a	0.000174853	0.00022395	0.000273666	0.000110576	2.01321e-06	0.00015505	0.000118837	0.0010303	0.00647845	0.0112539	0.0131633	0.958945	0.00807011
l	0.00016185	9.08942e-05	0.000182218	0.000221357	0.000116843	0.000330631	0.000211516	0.00299795	0.00522261	0.0488789	0.0448199	0.808633	0.088132
a	0.000134595	5.06739e-05	0.00191356	0.00139668	6.29464e-05	0.00275852	0.00470251	0.0140507	0.0211108	0.114703	0.190649	0.315212	0.333254
l	0.000347315	3.2406e-05	0.00190814	0.00253489	0.000308081	0.00357262	0.00102653	0.0115767	0.00310907	0.106593	0.211828	0.132702	0.524461
a	0.000218352	3.53464e-05	0.000964342	0.00112574	0.000268741	0.00341512	0.00315303	0.00722465	0.00454585	0.0503149	0.0794219	0.358777	0.490535
</S>	0.000345316	2.15378e-05	0.00247603	0.00253941	0.000264735	0.00205125	0.00086157	0.00654142	0.0015055	0.0266571	0.282742	0.451224	0.22277
