 	j'	envisage	de	rentrer	au	pays	</S>
n	0.852853	0.00504159	0.0411117	0.0474688	0.0470137	0.00599987	0.000511432
g	0.996557	0.00115414	0.00167445	0.000234752	0.000374249	7.37539e-07	4.51848e-06
á	0.981936	0.0148425	0.00216619	0.00051818	0.000505027	6.22821e-06	2.55604e-05
í	0.154256	0.123647	0.242035	0.0541719	0.186118	0.00333238	0.236441
m	0.0533122	0.855038	0.0546864	0.0191609	0.00529319	0.000145063	0.0123642
i	0.000799167	0.786682	0.16777	0.0144876	0.0135319	0.000137918	0.0165916
s	0.000402092	0.936422	0.0497643	0.00971729	0.00114438	0.000299419	0.00225055
ó	0.00022637	0.993083	0.00464757	0.0013296	5.94517e-05	1.41781e-05	0.00063936
á	0.00303741	0.783583	0.138415	0.0257755	0.00422813	0.000387912	0.0445732
i	0.00832935	0.0718493	0.522354	0.192424	0.157188	0.0365116	0.0113444
b	0.00090078	0.0191969	0.390993	0.524242	0.035055	0.0189822	0.0106302
v	0.000747841	0.00963113	0.206084	0.758334	0.0110824	0.011015	0.00310504
ú	3.98661e-05	0.0124194	0.20075	0.757441	0.0201731	0.000400313	0.00877613
r	0.000533472	0.0085888	0.272358	0.541568	0.142907	0.00553512	0.0285099
a	0.00746398	0.0139476	0.295584	0.323521	0.113538	0.0118347	0.23411
l	0.000319518	0.00620637	0.117724	0.191214	0.487393	0.0229177	0.174225
á	0.0126487	0.0129969	0.0929767	0.17418	0.196772	0.0376824	0.472743
p	0.0284886	0.0113449	0.0715988	0.0693315	0.422738	0.347775	0.0487241
o	2.0064e-05	2.92797e-05	0.00120295	0.00450164	0.00120227	0.991147	0.00189729
o	1.39049e-05	8.70202e-05	0.00262647	0.0164109	0.00976626	0.946184	0.0249112
</S>	0.00016248	0.00277185	0.014638	0.0592571	0.209117	0.0390568	0.674996
