 	jésus	a	vécu	sur	terre	sans	pécher	</S>
y	0.60598	0.379706	0.00971033	0.00297408	0.000599528	0.000619603	0.000188442	0.000222378
e	0.99286	0.00526072	0.0014353	0.000127075	7.27293e-05	0.000143776	2.55197e-05	7.44612e-05
s	0.55282	0.278303	0.122995	0.00908881	0.0127402	0.00382794	0.000168796	0.0200566
ú	0.968274	0.0192289	0.00652634	0.000525003	0.00197511	0.00059298	4.03636e-05	0.0028373
á	0.0586596	0.819	0.0558723	0.0276945	0.00356114	0.0132522	0.00094388	0.0210163
d	0.0224399	0.320081	0.527183	0.0892662	0.0135465	0.0131472	0.00354842	0.0107875
z	0.00268094	0.05034	0.866482	0.0418834	0.00348033	0.00920901	7.04998e-05	0.025854
e	0.139328	0.00523425	0.849795	0.00368172	0.00121046	0.000374766	3.05434e-06	0.000373198
e	0.00725305	0.0618259	0.5228	0.276989	0.0178144	0.0295132	0.00365066	0.0801544
m	0.00183346	0.0236578	0.195824	0.486668	0.205225	0.0251401	0.0127419	0.0489095
á	0.00126135	0.0320842	0.285797	0.427345	0.120963	0.115872	3.69173e-05	0.01664
ó	0.000128383	0.00968646	0.102701	0.658297	0.0835336	0.0675336	0.000761854	0.0773585
t	0.000904603	0.0040238	0.0488065	0.274994	0.491362	0.0690226	0.0795866	0.0312998
s	5.32726e-05	0.00161173	0.00923616	0.059232	0.869514	0.0114193	0.0167434	0.0321901
ε	2.70295e-05	0.000431882	0.00534916	0.0649258	0.846376	0.0176268	0.0383021	0.0269613
n	0.000296768	0.00219168	0.0103968	0.110931	0.477188	0.171099	0.00649938	0.221397
g	0.00116419	0.00289539	0.0109684	0.107549	0.718338	0.0764688	0.0119731	0.0706429
ε	0.00087708	0.0024278	0.00576906	0.0312897	0.86891	0.0182745	0.00150194	0.0709501
w	0.000394009	0.00262091	0.00221802	0.0612998	0.118504	0.686055	0.0749574	0.0539512
a	0.00104773	0.0214686	0.00445699	0.153159	0.275814	0.343565	0.0266663	0.173823
a	0.000196965	0.00270316	0.00247278	0.0325066	0.0297714	0.638672	0.0747523	0.218925
s	0.00022597	0.00602742	0.00577495	0.0433823	0.0143946	0.38531	0.489861	0.0550237
ú	0.00558206	0.00619656	0.0317015	0.0203047	0.0143265	0.410283	0.0974126	0.414194
m	0.000663271	0.000960187	0.00463284	0.0143997	0.00602704	0.631868	0.0335889	0.30786
u	0.000272397	0.00164045	0.00224982	0.0238174	0.00394939	0.771777	0.00103433	0.195259
o	0.000346752	0.00122551	0.00104085	0.0141124	0.00923575	0.273861	0.201474	0.498704
k	0.000408824	0.00129156	0.00313099	0.016799	0.0114237	0.126699	0.651915	0.188332
y	8.4022e-06	0.000124081	0.000454086	0.00165733	0.00410388	0.00908991	0.825473	0.159089
a	0.000180645	0.000584287	0.000622484	0.00642443	0.0219238	0.0482284	0.648709	0.273327
k	0.000125138	0.000530245	0.00115589	0.00564616	0.00505939	0.0660849	0.274314	0.647084
a	4.44128e-05	0.000456346	0.000452716	0.00425978	0.0119414	0.0245222	0.370006	0.588318
á	4.20447e-05	0.000153487	0.000444959	0.00147526	0.00233765	0.0130302	0.0509548	0.931562
</S>	0.000849489	0.00770042	0.0140014	0.0253301	0.00402296	0.126784	0.0433858	0.777926
