 	c'	était	lui	qui	m'	a	fait	soigné	les	maux	de	tête	</S>
e	0.899631	0.0374468	0.0211832	0.0125865	0.0064754	0.0154772	0.00276809	0.00063118	0.00157589	0.000620953	0.00135618	0.00020021	4.72053e-05
d	0.15914	0.614171	0.0338521	0.0137116	0.00299646	0.0509247	0.0321465	0.0196871	0.023476	0.0373089	0.00746865	0.00478075	0.000335364
z	0.260688	0.430069	0.0845978	0.0657115	0.0046796	0.0213068	0.0575654	0.0309116	0.0148202	0.00840954	0.00925308	0.000930029	0.0110581
e	0.151054	0.627871	0.0765057	0.0668447	0.0108987	0.0217098	0.0191539	0.00895981	0.00472253	0.00292428	0.00294082	0.000566339	0.00584816
w	0.212021	0.528953	0.0904615	0.0422634	0.00831687	0.0163646	0.00866782	0.00577479	0.00790914	0.0031804	0.00814363	0.00136834	0.0665755
a	0.165192	0.0211538	0.108489	0.111325	0.0732466	0.154062	0.0869096	0.0446535	0.0386755	0.0189785	0.0301093	0.0111307	0.136075
m	0.171811	0.0503519	0.210632	0.180298	0.107285	0.0908789	0.0318312	0.0201214	0.0264201	0.00931931	0.028025	0.00256881	0.0704572
o	0.109057	0.0654717	0.327982	0.198066	0.109064	0.13649	0.0174423	0.0047079	0.0124352	0.00085852	0.0029127	0.000171875	0.0153396
r	0.135944	0.0990413	0.250318	0.157747	0.0416382	0.206446	0.0436353	0.0080539	0.0155519	0.00303986	0.0123439	0.00947916	0.0167617
o	0.0937919	0.0205268	0.148207	0.314651	0.0829893	0.0877362	0.11297	0.0494832	0.0257867	0.007117	0.0161621	0.00130725	0.0392714
y	0.0318439	0.0155867	0.108481	0.220184	0.233776	0.22285	0.0800552	0.0479879	0.011491	0.00337193	0.00981806	0.000333186	0.0142211
e	0.0759692	0.0611643	0.199537	0.305294	0.169647	0.105959	0.0442852	0.0136792	0.00698218	0.00170002	0.00501805	0.000353455	0.0104115
e	0.03639	0.00694088	0.116887	0.264152	0.276157	0.167962	0.062675	0.0335235	0.00911165	0.00339289	0.00933352	0.000506067	0.0129685
s	0.00303009	0.0119284	0.0629428	0.0492844	0.0140919	0.106534	0.468264	0.148505	0.0434202	0.0201314	0.0100114	0.00979671	0.0520603
á	0.00120474	0.048374	0.0378378	0.098569	0.0116073	0.0266289	0.51712	0.170809	0.0237085	0.0298049	0.00756312	0.000886663	0.0258864
l	0.00140247	0.0204726	0.0730342	0.12214	0.0545723	0.0883084	0.30142	0.142202	0.0414774	0.0275074	0.0147509	0.000960392	0.111753
í	0.00126851	0.00127505	0.0919676	0.186996	0.12915	0.169222	0.229707	0.0918607	0.0297508	0.0184402	0.0126475	0.00156208	0.0361532
s	0.0022618	0.00157686	0.043021	0.0976726	0.302389	0.195021	0.0662726	0.180928	0.070657	0.0120666	0.0193743	0.00123268	0.00752715
í	0.00163215	0.00306177	0.0100451	0.0446092	0.0922823	0.0571309	0.125568	0.521058	0.0674372	0.0173736	0.0225476	0.000742795	0.0365118
n	0.0020109	0.000981577	0.00820382	0.0505564	0.497732	0.17118	0.0245042	0.109901	0.0826706	0.00967925	0.0281154	0.00154418	0.0129209
g	0.000134491	9.69643e-05	0.00182787	0.0178099	0.31585	0.0233931	0.0291763	0.518428	0.0484078	0.0168875	0.0149894	0.000797266	0.0122012
á	0.000200885	0.000277647	0.00426324	0.0412191	0.437168	0.0313718	0.0344666	0.357626	0.0370505	0.0232572	0.0137957	0.0029891	0.0163138
i	0.00136661	0.000309428	0.00651321	0.0145217	0.0289003	0.0765553	0.0490116	0.216249	0.411722	0.0666207	0.109353	0.00851659	0.0103609
b	0.00107271	0.00174743	0.00500894	0.00557649	0.0020214	0.01194	0.0559109	0.183991	0.159436	0.239018	0.161938	0.119759	0.0525794
o	0.000530937	0.000188886	0.00441343	0.00625598	0.00104135	0.00744583	0.039327	0.090097	0.0863705	0.328675	0.0786885	0.333236	0.0237291
ó	5.46039e-05	0.000152704	0.00309552	0.0064843	0.000461412	0.00452884	0.0619608	0.0765749	0.0717929	0.361876	0.134059	0.184021	0.094938
b	0.00137723	0.000177137	0.00319894	0.00565773	0.00380878	0.0107242	0.0176417	0.0807473	0.189706	0.175144	0.353223	0.0441692	0.114424
v	0.00148364	0.000567412	0.00690134	0.0176084	0.0173722	0.0236213	0.0323065	0.133049	0.145788	0.224685	0.115689	0.165066	0.115862
ú	0.000371169	6.31598e-05	0.00124524	0.00549133	0.00599521	0.00419278	0.0255592	0.0991714	0.141552	0.397599	0.0617249	0.14842	0.108615
a	0.000107782	4.09333e-05	0.00309817	0.0101569	0.00132898	0.00592652	0.0250935	0.027968	0.130153	0.293824	0.271969	0.158993	0.0713405
</S>	0.000458528	0.000127173	0.00194628	0.00308983	0.00102849	0.00386281	0.00695496	0.0387748	0.154931	0.103937	0.322714	0.120547	0.241628
