 	il	m'	a	promis	de	la	nourriture	</S>
w	0.957445	0.0327281	0.00506428	0.00175743	0.00132746	0.0011871	0.000367322	0.000123449
a	0.879097	0.0898648	0.0113854	0.00626486	0.00677705	0.0060492	0.000520881	4.0986e-05
á	0.283609	0.22528	0.439559	0.0171284	0.0141442	0.012291	9.2601e-05	0.00789625
l	0.0354708	0.106575	0.749781	0.0578347	0.015641	0.00830671	0.000453314	0.0259371
ε	0.00457687	0.0498082	0.70172	0.126137	0.010928	0.00455688	0.00012659	0.102146
i	0.0145616	0.0858235	0.625119	0.145454	0.0226626	0.0109422	0.000150345	0.0952863
n	0.0513683	0.451656	0.150689	0.238598	0.0585948	0.0228225	0.00870287	0.0175687
g	0.0384464	0.725704	0.0881407	0.11208	0.0168662	0.0119421	0.00100529	0.00581521
á	0.019393	0.769509	0.0920628	0.0855324	0.0122582	0.00661993	0.000223178	0.0144019
b	0.027647	0.0351977	0.064259	0.345802	0.395595	0.107171	0.017273	0.00705533
e	0.0509201	0.028393	0.0806073	0.27394	0.0440445	0.00727213	0.510913	0.00390976
a	0.00491014	0.0206518	0.0329258	0.148134	0.142041	0.0403624	0.590237	0.0207384
b	0.00129668	0.00756096	0.0891168	0.123476	0.461443	0.262775	0.0147505	0.0395807
í	0.0276446	0.0139587	0.0491731	0.140606	0.231247	0.0838959	0.248455	0.205019
d	0.00349452	0.0767488	0.0137384	0.0525493	0.113476	0.136125	0.435391	0.168476
z	0.000260154	0.000562669	0.00357184	0.0859148	0.26393	0.297436	0.0308439	0.317481
á	0.000544128	0.00124189	0.0154047	0.116636	0.40534	0.313936	0.0255252	0.121372
a	2.83468e-05	0.000127135	0.00408931	0.0355677	0.0996235	0.140008	0.0981566	0.622399
</S>	0.000267118	0.000831183	0.0147677	0.020496	0.0606756	0.24718	0.116508	0.539275
