 	ce	chanteur	est	un	bon	accompagnateur	</S>
n	0.319939	0.652797	0.0186598	0.00241176	0.00394925	0.00131692	0.000926644
z	0.206461	0.772982	0.000942852	0.000716809	0.00104907	0.017335	0.000512621
é	0.0188185	0.906749	0.00250169	0.00672272	0.000809825	0.0615926	0.00280582
m	0.0911014	0.818788	0.0167168	0.00880581	0.00447066	0.0471935	0.0129239
b	0.290361	0.41846	0.206271	0.0297082	0.00297936	0.00205914	0.0501611
é	0.335091	0.475004	0.10091	0.0339956	0.0069044	0.0132452	0.03485
w	0.173215	0.0195315	0.626378	0.110675	0.0434528	0.00542463	0.0213231
ó	0.186125	0.0615261	0.333445	0.206147	0.0423211	0.0125752	0.157861
a	0.11582	0.00763458	0.513223	0.185563	0.0356168	0.0109569	0.131185
d	0.00992551	0.00630024	0.291248	0.482954	0.131063	0.020982	0.0575277
í	0.0116114	0.00700563	0.278362	0.501147	0.0577536	0.00463974	0.13948
o	0.0373748	0.00178914	0.145612	0.343889	0.342901	0.0521339	0.0763005
k	0.00180586	0.00270738	0.0102175	0.11217	0.0856226	0.740038	0.0474382
y	0.00249626	0.0026416	0.0330823	0.269088	0.0972723	0.273704	0.321715
é	0.0271285	0.0345731	0.0679289	0.310117	0.100336	0.260631	0.199286
n	0.00190136	0.00206503	0.023676	0.176965	0.395296	0.174037	0.22606
i	0.00737161	0.00542016	0.00783235	0.0501535	0.0962388	0.650013	0.18297
i	0.0132874	0.00178429	0.0324646	0.0624842	0.190168	0.233291	0.46652
o	0.0176697	0.00213778	0.0150685	0.0285981	0.0525478	0.399494	0.484484
n	0.00911489	0.0135366	0.0417782	0.0545852	0.09111	0.437644	0.352231
έ	0.00130835	0.00451632	0.00189762	0.00804355	0.00749113	0.878763	0.09798
</S>	0.000748316	0.000358895	0.00511848	0.0458028	0.0523682	0.122489	0.773114
