 	cet	enfant	a	des	selles	à	l'	anus	</S>
m	0.669855	0.291095	0.0166268	0.00717446	0.00446119	0.00736079	0.00323108	6.27287e-05	0.000133398
w	0.0753419	0.899074	0.00914155	0.00304164	0.00617651	0.0021763	0.00303249	0.000115379	0.00189995
á	0.0136072	0.98281	0.000862011	0.000626577	0.00160249	0.000230937	7.20292e-05	0.000174756	1.40965e-05
n	0.339027	0.642472	0.00863068	0.00316292	0.00152123	0.00171104	0.000823457	0.00023487	0.00241642
a	0.0825671	0.449223	0.100944	0.0330033	0.016309	0.0136483	0.00507664	0.0272515	0.271978
w	0.746883	0.0605052	0.0841812	0.0760626	0.00799988	0.00527942	0.0118791	0.00137774	0.00583182
ó	0.388747	0.0819026	0.201634	0.0859281	0.0307791	0.0461451	0.0669302	0.016761	0.0811723
i	0.0221613	0.00837407	0.591105	0.264851	0.0233758	0.0123301	0.00946684	0.00390031	0.0644356
n	0.0112321	0.00300102	0.235517	0.415534	0.132708	0.0678049	0.0339626	0.0220582	0.0781826
d	0.0812415	0.0155363	0.125116	0.263546	0.24222	0.0618188	0.126626	0.034873	0.0490232
u	0.00997209	0.0133135	0.147785	0.445317	0.255458	0.0414222	0.0323732	0.025668	0.0286919
n	0.0683115	0.0017593	0.0747247	0.2481	0.255869	0.178809	0.125463	0.0239852	0.0229781
g	0.140142	0.00921868	0.084978	0.16872	0.379241	0.100113	0.0849924	0.0102728	0.0223219
u	0.149949	0.02244	0.0419551	0.184482	0.190593	0.155157	0.229606	0.0115438	0.0142735
í	0.00412024	0.000506644	0.116362	0.126783	0.0668158	0.241976	0.392705	0.0242822	0.0264488
d	0.00119989	0.000104473	0.101775	0.178469	0.0646528	0.143382	0.0884128	0.361558	0.060445
í	0.00205468	0.000257074	0.0179443	0.0531933	0.0640259	0.0772296	0.0221591	0.213795	0.549341
l	0.00577736	0.000293965	0.0326584	0.0562829	0.0152068	0.0976673	0.121663	0.208878	0.461572
a	0.000416036	0.000375652	0.00641656	0.0138529	0.0155666	0.0370605	0.0295485	0.278152	0.618611
m	0.00357538	0.000741564	0.0111832	0.0476371	0.0391426	0.0886456	0.0899511	0.597317	0.121807
b	0.00304295	0.00194343	0.00160833	0.00932627	0.0441847	0.0213451	0.0261584	0.840963	0.051428
í	0.0015469	0.000345417	0.00230311	0.0123702	0.0454138	0.162559	0.115987	0.440692	0.218783
</S>	0.000970801	0.000116557	0.00127006	0.00219599	0.00308716	0.0341821	0.0159333	0.0785864	0.863658
