 	le	poisson	éléphant	est	gras	</S>
l	0.622558	0.264246	0.0911425	0.0175948	0.000277521	0.00418182
e	0.222211	0.315718	0.331695	0.0497539	0.0641766	0.0164454
m	0.170779	0.143672	0.315696	0.0161308	0.0695481	0.284174
b	0.0682864	0.477311	0.218401	0.0582889	0.144544	0.0331686
v	0.0398775	0.153107	0.434607	0.0735992	0.255752	0.0430581
ú	0.0281885	0.0859131	0.283457	0.0319425	0.485618	0.0848814
b	0.0500798	0.0780133	0.424654	0.103916	0.209818	0.133519
h	0.0640652	0.0221666	0.141324	0.0701385	0.0337455	0.668561
ε	0.152883	0.172289	0.119163	0.153702	0.275004	0.126958
í	0.0645422	0.0555308	0.0794423	0.312255	0.0404806	0.447749
d	0.067687	0.044509	0.147965	0.414468	0.0403207	0.28505
í	0.00645989	0.0239212	0.027915	0.118354	0.0728788	0.750471
l	0.045347	0.0748288	0.078042	0.283889	0.0363423	0.481551
a	0.00592536	0.0102162	0.0151478	0.0499966	0.0951973	0.823517
w	0.0234083	0.0558877	0.0256201	0.130473	0.427318	0.337292
ú	0.0809445	0.157241	0.0545706	0.150815	0.341428	0.215
r	0.0144788	0.041069	0.10669	0.180587	0.268489	0.388686
a	0.00392057	0.0111712	0.0750474	0.0480779	0.702414	0.159369
</S>	0.00709478	0.0029973	0.0193108	0.044611	0.0146172	0.911369
